"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"11","Travis Kelce","KC","TE","17","2022","545","0.196","2.39","0.26","25.5","22.8","2.6","0.2","7.9","147","110","1338","12","932","6.8","163","0.184","2.55","0.27","28.2","260","0.227","2.56","0.26","28.1","120","0.150","1.54","0.25","16.7","2","0.000","13.00","0.67","0.0"
"12","Christian Kirk","JAX","WR","17","2022","544","0.134","1.98","0.23","22.2","18.8","2.8","0.7","12.9","127","84","1108","8","994","6.3","125","0.072","2.12","0.25","17.6","415","0.154","1.93","0.22","23.9","1","0.000","","","0.0","3","0.000","3.33","0.67","0.0"
"13","Josh Palmer","LAC","WR","16","2022","544","0.103","1.38","0.18","20.8","18.2","2.2","0.4","13.2","99","72","769","3","437","6.8","398","0.108","1.48","0.18","22.1","145","0.090","1.11","0.18","17.2","1","0.000","","","0.0","","","","","0.0"
"14","Stefon Diggs","BUF","WR","16","2022","537","0.255","2.59","0.27","28.9","23.8","3.7","1.3","9.5","151","108","1429","11","1369","7.7","348","0.305","2.79","0.29","33.0","189","0.164","2.22","0.24","21.2","","","","","0.0","","","","","0.0"
"15","CeeDee Lamb","DAL","WR","17","2022","536","0.157","2.50","0.28","25.2","22.4","2.4","0.4","12.5","152","107","1359","9","1365","6.6","193","0.150","2.51","0.35","26.4","339","0.162","2.52","0.24","24.8","","","","","0.0","4","0.000","0.75","0.25","0.0"
"16","George Pickens","PIT","WR","17","2022","535","0.140","1.46","0.15","22.2","18.7","3.2","0.4","12.0","84","52","801","4","1225","7.4","461","0.141","1.47","0.16","23.0","73","0.137","1.42","0.14","17.8","1","0.000","","","0.0","","","","","0.0"
"17","Terry McLaurin","WAS","WR","17","2022","532","0.135","2.21","0.21","25.9","22.7","2.8","0.4","15.6","114","77","1191","5","1000","8.3","418","0.115","2.08","0.20","25.8","114","0.211","2.70","0.24","26.3","","","","","0.0","","","","","0.0"
"18","Chris Godwin","TB","WR","15","2022","531","0.087","1.90","0.26","15.6","14.7","0.4","0.6","8.3","138","104","1023","3","391","4.7","146","0.164","2.24","0.31","21.2","384","0.057","1.78","0.24","13.5","1","0.000","","","0.0","","","","","0.0"
"19","K.J. Osborn","MIN","WR","17","2022","525","0.107","1.21","0.16","19.0","15.6","3.0","0.4","12.0","86","60","650","5","622","7.4","215","0.098","0.78","0.16","20.9","309","0.113","1.51","0.16","17.8","","","","","0.0","1","0.000","","","0.0"
"20","Gabe Davis","BUF","WR","15","2022","524","0.210","1.56","0.17","28.6","24.0","4.0","0.6","12.8","91","48","836","7","1191","10.1","481","0.208","1.66","0.17","28.7","40","0.150","0.15","0.13","22.5","3","1.333","2.67","0.33","100.0","","","","","0.0"
"21","Amari Cooper","CLV","WR","17","2022","522","0.209","2.16","0.24","29.9","23.9","5.2","0.8","14.8","128","78","1160","9","1387","8.8","386","0.163","1.84","0.23","27.7","135","0.333","3.07","0.25","35.6","","","","","0.0","1","1.000","","","100.0"
"22","Donovan Peoples-Jones","CLV","WR","17","2022","522","0.084","1.57","0.18","18.6","15.7","2.5","0.4","13.2","95","61","839","3","1116","8.1","361","0.069","1.62","0.19","19.4","160","0.119","1.46","0.15","16.9","","","","","0.0","1","0.000","3.00","1.00","0.0"
"23","T.J. Hockenson","DET, MIN","TE","17","2022","521","0.084","1.71","0.24","18.4","16.5","1.5","0.4","11.7","126","86","914","6","756","5.3","91","-0.066","1.63","0.23","16.5","188","0.191","1.79","0.20","25.0","242","0.058","1.67","0.27","14.0","","","","","0.0"
"24","DeVonta Smith","PHI","WR","17","2022","519","0.183","2.25","0.25","25.4","20.4","4.2","0.8","12.7","133","95","1196","7","893","7.8","385","0.127","1.85","0.23","21.3","134","0.343","3.39","0.32","37.3","","","","","0.0","","","","","0.0"
"25","Tyler Boyd","CIN","WR","16","2022","513","0.084","1.46","0.15","20.7","18.7","1.6","0.4","14.2","79","58","762","5","614","6.3","82","0.073","0.90","0.18","22.0","431","0.086","1.56","0.15","20.4","","","","","0.0","","","","","0.0"
"26","Tyreek Hill","MIA","WR","17","2022","512","0.248","3.29","0.32","24.8","17.8","5.3","1.8","8.8","168","119","1710","7","1468","7.3","275","0.236","3.91","0.36","24.4","224","0.277","2.66","0.29","25.9","5","0.200","2.80","0.20","20.0","8","-0.125","","0.13","12.5"
"27","Tyler Lockett","SEA","WR","16","2022","507","0.241","2.02","0.22","26.2","22.1","3.6","0.6","6.5","112","84","1033","9","896","7.2","290","0.269","2.25","0.20","29.0","210","0.210","1.72","0.24","23.3","4","0.000","0.25","0.25","0.0","3","0.000","2.75","0.50","0.0"
"28","Zay Jones","JAX","WR","16","2022","502","0.080","1.59","0.23","18.5","16.7","1.2","0.6","12.7","117","82","823","5","854","7.6","332","0.136","1.90","0.26","22.6","169","-0.030","1.00","0.17","10.7","1","0.000","","","0.0","","","","","0.0"
"29","Marquez Valdes-Scantling","KC","WR","17","2022","498","0.040","1.35","0.15","18.3","15.1","2.4","0.8","18.3","78","42","687","2","832","8.4","300","0.033","1.09","0.16","18.0","195","0.051","1.75","0.15","19.0","3","0.000","","","0.0","","","","","0.0"
"30","A.J. Brown","PHI","WR","17","2022","495","0.218","2.94","0.27","27.3","23.8","2.4","1.0","9.9","136","88","1496","11","1321","6.9","365","0.247","3.52","0.32","29.6","129","0.140","1.27","0.13","20.9","","","","","0.0","1","0.000","11.00","1.00","0.0"
"31","Jaylen Waddle","MIA","WR","17","2022","494","0.158","2.71","0.23","23.9","17.6","5.7","0.6","14.8","117","75","1356","8","1135","8.9","366","0.134","2.59","0.23","22.4","121","0.231","3.19","0.25","28.9","","","","","0.0","7","0.143","0.57","0.14","14.3"
"32","Tee Higgins","CIN","WR","16","2022","494","0.200","2.05","0.20","30.2","27.5","2.2","0.4","13.0","102","74","1029","7","1066","6.9","398","0.219","2.18","0.21","31.2","95","0.116","1.52","0.15","25.3","1","1.000","3.00","1.00","100.0","","","","","0.0"
"33","Courtland Sutton","DEN","WR","15","2022","490","0.135","1.66","0.21","26.7","23.1","3.3","0.4","16.5","107","64","829","2","1364","8.7","432","0.123","1.64","0.21","26.2","57","0.228","1.85","0.22","31.6","1","0.000","","1.00","0.0","","","","","0.0"
"34","Ja'Marr Chase","CIN","WR","12","2022","485","0.134","2.11","0.26","27.6","25.4","2.1","0.2","15.9","127","87","1046","9","905","6.2","371","0.127","2.18","0.24","28.6","109","0.183","1.95","0.29","25.7","1","-1.000","","","0.0","4","-0.250","0.75","0.50","0.0"
"35","JuJu Smith-Schuster","KC","WR","16","2022","474","0.068","1.93","0.20","20.0","18.4","1.5","0.2","15.2","99","78","933","3","551","6.5","275","0.051","1.92","0.21","23.6","199","0.090","1.94","0.19","15.1","","","","","0.0","","","","","0.0"
"36","Brandon Aiyuk","SF","WR","17","2022","468","0.244","2.12","0.24","30.1","24.8","4.3","1.1","12.0","113","78","1015","8","750","8.6","358","0.209","1.90","0.22","28.2","110","0.355","2.85","0.29","36.4","","","","","0.0","","","","","0.0"
"37","Elijah Moore","NYJ","WR","16","2022","466","0.144","0.94","0.13","22.1","18.9","2.8","0.4","11.2","61","37","446","1","591","8.4","231","0.186","1.32","0.17","27.3","234","0.103","0.57","0.09","17.1","1","0.000","","","0.0","","","","","0.0"
"38","Evan Engram","JAX","TE","17","2022","462","0.048","1.61","0.20","15.6","14.5","0.9","0.2","11.7","97","73","766","4","377","5.5","112","0.152","1.63","0.21","26.8","190","-0.016","1.10","0.20","13.2","157","0.051","2.25","0.20","10.8","3","0.000","","","0.0"
"39","Curtis Samuel","WAS","WR","17","2022","462","0.071","1.39","0.18","15.8","13.2","1.9","0.6","11.7","87","64","656","4","335","4.3","126","0.135","1.87","0.25","19.8","327","0.043","1.19","0.16","14.1","2","-0.500","0.50","0.50","0.0","7","0.429","2.71","0.29","28.6"
"40","Amon-Ra St. Brown","DET","WR","16","2022","447","0.119","2.56","0.31","22.8","20.1","2.7","0.0","13.4","143","106","1161","6","581","6.1","179","0.184","3.01","0.32","26.8","263","0.080","2.23","0.31","20.5","1","0.000","","","0.0","4","-0.250","4.25","0.75","0.0"
"41","DeAndre Carter","LAC","WR","17","2022","443","-0.027","1.19","0.14","13.5","11.1","2.3","0.2","18.5","64","46","538","3","499","5.4","174","-0.155","0.97","0.14","9.2","264","0.057","1.31","0.14","16.7","1","0.000","","","0.0","4","0.000","3.00","0.50","0.0"
"42","D.J. Moore","CAR","WR","17","2022","436","0.213","1.99","0.24","25.9","20.2","5.3","0.5","10.6","109","63","888","7","1517","8.8","326","0.202","2.15","0.24","25.5","109","0.248","1.50","0.26","27.5","","","","","0.0","1","0.000","","","0.0"
"43","Marquise Brown","ARZ","WR","12","2022","430","0.067","1.60","0.24","16.3","14.7","1.6","0.0","11.2","104","67","709","3","1175","6.3","277","0.051","1.55","0.22","14.8","151","0.099","1.66","0.26","19.2","","","","","0.0","2","0.000","4.50","0.50","0.0"
"44","Marvin Jones","JAX","WR","16","2022","429","0.065","1.20","0.18","21.7","20.7","0.9","0.0","15.9","80","46","529","3","915","8.5","368","0.082","1.24","0.20","23.4","61","-0.033","1.00","0.06","11.5","","","","","0.0","","","","","0.0"
"45","Alec Pierce","IND","WR","16","2022","427","0.091","1.35","0.17","24.4","20.8","3.0","0.5","18.7","76","41","593","2","552","8.5","400","0.085","1.45","0.18","23.8","27","0.185","","0.03","33.3","","","","","0.0","","","","","0.0"
"46","Mike Williams","LAC","WR","13","2022","425","0.078","2.07","0.21","19.8","18.8","0.7","0.2","13.2","91","63","895","4","1138","7.8","359","0.081","2.30","0.22","20.6","66","0.061","0.85","0.15","15.2","","","","","0.0","","","","","0.0"
"47","Tyler Conklin","NYJ","TE","17","2022","421","0.043","1.28","0.19","12.6","11.4","1.0","0.2","9.5","80","58","552","3","420","3.8","43","-0.140","1.00","0.09","11.6","137","0.109","1.44","0.20","22.6","239","0.038","1.25","0.20","7.1","2","0.000","","","0.0"
"48","Jerry Jeudy","DEN","WR","15","2022","417","0.139","2.27","0.23","20.9","15.1","4.1","1.7","13.7","98","67","972","6","976","7.5","192","0.177","2.39","0.21","22.9","225","0.107","2.17","0.24","19.1","","","","","0.0","","","","","0.0"
"49","Gerald Everett","LAC","TE","16","2022","417","0.038","1.31","0.19","12.0","11.8","0.0","0.2","8.6","82","58","555","4","327","4.5","63","0.000","1.22","0.16","11.1","178","0.084","1.15","0.18","18.0","175","0.006","1.49","0.22","6.3","1","0.000","","","0.0"
"50","Robert Woods","TEN","WR","17","2022","414","0.063","1.26","0.20","16.4","15.0","1.4","0.0","11.6","83","53","527","2","498","8.1","294","0.034","1.05","0.17","15.0","114","0.132","1.83","0.27","20.2","2","0.500","","0.50","50.0","4","0.000","0.75","0.25","0.0"
"51","Noah Brown","DAL","WR","16","2022","413","0.039","1.33","0.17","17.4","16.0","1.2","0.2","14.5","71","43","555","3","756","7.4","234","0.047","1.30","0.18","17.1","177","0.017","1.38","0.16","17.5","1","2.000","","","100.0","1","0.000","","","0.0"
"52","Chris Olave","NO","WR","15","2022","411","0.170","2.48","0.27","24.8","21.4","2.7","0.7","11.9","112","72","1042","4","1422","8.3","271","0.170","2.41","0.27","24.0","140","0.171","2.63","0.26","26.4","","","","","0.0","","","","","0.0"
"53","Cade Otton","TB","TE","16","2022","407","-0.002","0.96","0.15","11.8","11.8","0.0","0.0","11.5","63","42","391","2","46","4.7","45","-0.111","0.54","0.15","8.9","210","-0.019","1.27","0.17","9.5","152","0.053","0.65","0.14","15.8","","","","","0.0"
"54","Dawson Knox","BUF","TE","15","2022","407","0.029","1.22","0.15","13.8","12.5","1.0","0.2","12.3","65","48","517","6","482","4.8","55","0.055","0.80","0.21","16.4","206","0.010","1.17","0.13","13.6","113","0.044","1.70","0.17","15.0","33","0.061","0.48","0.12","6.1"
"55","Mark Andrews","BLT","TE","15","2022","404","0.186","2.06","0.26","27.5","25.2","2.2","0.0","10.9","106","73","847","5","771","7.1","92","0.217","1.29","0.15","34.8","264","0.167","2.18","0.28","25.4","48","0.229","2.79","0.33","25.0","","","","","0.0"
"56","Pat Freiermuth","PIT","TE","16","2022","402","-0.020","1.77","0.23","14.9","14.7","0.0","0.2","17.2","95","63","732","2","583","5.9","24","-0.042","1.08","0.25","12.5","150","-0.047","2.30","0.27","14.7","228","0.000","1.48","0.20","15.4","","","","","0.0"
"57","Brandin Cooks","HST","WR","13","2022","400","0.253","1.74","0.22","31.5","26.3","5.0","0.3","11.8","89","57","699","3","1054","8.4","300","0.270","1.30","0.22","33.7","98","0.184","2.98","0.22","24.5","1","0.000","3.00","1.00","0.0","1","2.000","11.00","1.00","100.0"
"58","Michael Gallup","DAL","WR","14","2022","397","-0.003","1.05","0.18","17.1","15.1","1.8","0.3","19.6","72","39","424","4","654","7.9","369","-0.005","1.06","0.18","17.3","28","0.036","0.93","0.17","14.3","","","","","0.0","","","","","0.0"
"59","Allen Lazard","GB","WR","15","2022","397","0.134","1.92","0.24","25.4","21.9","2.5","1.0","14.9","97","60","788","6","915","6.9","237","0.097","1.75","0.21","23.6","148","0.182","2.36","0.29","28.4","12","0.250","","","25.0","","","","","0.0"
"60","Austin Ekeler","LAC","RB","17","2022","392","0.038","1.81","0.31","5.4","4.8","0.3","0.3","2.3","123","107","722","5","-300","-1.5","14","0.071","0.93","0.07","14.3","40","0.025","0.45","0.24","7.5","2","0.000","","","0.0","336","0.039","2.03","0.33","4.8"
"61","Tyler Higbee","LA","TE","17","2022","391","-0.028","1.57","0.26","14.1","13.3","0.5","0.3","17.1","102","72","620","3","172","4.1","86","0.000","1.23","0.23","18.6","59","0.017","1.07","0.22","18.6","246","-0.049","1.81","0.28","11.4","","","","","0.0"
"62","Chris Moore","HST","WR","16","2022","389","0.057","1.39","0.19","19.0","16.7","2.3","0.0","15.7","73","48","548","2","533","7.1","130","0.100","1.82","0.25","20.8","254","0.043","1.11","0.15","18.5","5","-0.400","4.60","0.40","0.0","","","","","0.0"
"63","Chase Claypool","PIT, CHI","WR","15","2022","389","0.077","1.13","0.20","18.5","16.7","1.8","0.0","12.6","78","46","451","1","583","6.3","151","0.113","1.05","0.19","24.5","238","0.055","1.18","0.20","14.7","","","","","0.0","","","","","0.0"
"64","Drake London","ATL","WR","17","2022","385","0.130","2.20","0.29","28.3","24.4","3.6","0.3","19.2","115","72","866","4","702","8.6","301","0.136","2.04","0.28","29.2","84","0.107","2.78","0.33","25.0","","","","","0.0","","","","","0.0"
"65","Dalton Schultz","DAL","TE","15","2022","381","0.068","1.49","0.22","18.1","16.8","1.0","0.3","12.6","86","57","577","5","426","5.9","55","0.145","1.85","0.25","21.8","169","0.059","1.21","0.18","18.9","152","0.053","1.72","0.26","16.4","5","0.000","","0.17","0.0"
"66","George Kittle","SF","TE","15","2022","378","0.058","1.97","0.21","15.9","13.5","1.9","0.5","12.7","82","60","765","11","484","4.7","44","0.000","1.38","0.11","13.6","106","0.019","1.95","0.24","21.7","222","0.090","2.13","0.22","14.0","6","0.000","0.83","0.17","0.0"
"67","David Njoku","CLV","TE","14","2022","378","-0.011","1.64","0.20","10.6","9.8","0.5","0.3","12.7","77","58","628","4","572","4.4","44","0.114","1.59","0.25","18.2","143","-0.007","1.86","0.21","14.7","191","-0.042","1.48","0.18","5.8","","","","","0.0"
"68","Nick Westbrook-Ikhine","TEN","WR","17","2022","374","0.061","1.05","0.12","19.5","18.2","0.8","0.5","15.0","46","25","397","3","584","8.3","169","0.065","0.64","0.08","24.3","205","0.059","1.38","0.15","15.6","","","","","0.0","","","","","0.0"
"69","Jakobi Meyers","NE","WR","14","2022","370","0.135","2.13","0.25","19.2","15.9","2.4","0.8","9.5","96","67","804","6","729","6.5","113","0.248","2.59","0.33","28.3","253","0.083","1.83","0.21","15.0","","","","","0.0","4","0.250","8.25","0.75","25.0"
"70","Leonard Fournette","TB","RB","16","2022","368","-0.005","1.42","0.21","2.7","2.7","0.0","0.0","3.0","79","73","523","3","-220","-1.2","16","-0.188","","0.06","0.0","5","0.000","2.40","0.40","0.0","","","","","0.0","347","0.003","1.47","0.22","2.9"
"71","Corey Davis","NYJ","WR","13","2022","366","0.093","1.43","0.16","18.0","14.5","3.3","0.3","12.3","59","32","536","2","534","8.9","292","0.068","1.48","0.16","17.8","70","0.200","1.28","0.17","18.6","4","0.000","","","25.0","","","","","0.0"
"72","Hayden Hurst","CIN","TE","13","2022","364","-0.011","1.12","0.18","10.4","10.4","0.0","0.0","11.0","65","52","414","2","183","3.6","72","-0.014","1.53","0.18","11.1","106","-0.085","0.79","0.12","11.3","183","0.033","1.11","0.21","9.8","3","0.000","3.33","0.33","0.0"
"73","Ben Skowronek","LA","WR","14","2022","362","0.041","1.02","0.16","18.2","16.6","1.7","0.0","15.2","59","39","376","0","343","7.1","181","0.017","1.13","0.18","19.9","163","0.055","0.70","0.14","15.3","4","0.000","","","50.0","14","0.214","3.53","0.20","21.4"
"74","Trent Sherfield","MIA","WR","17","2022","362","-0.008","1.14","0.13","11.6","10.2","1.4","0.0","13.5","49","30","417","2","387","6.4","178","0.045","1.38","0.13","16.3","182","-0.060","0.86","0.13","7.1","","","","","0.0","2","0.000","4.00","0.50","0.0"
"75","Darius Slayton","NYG","WR","16","2022","360","0.081","1.98","0.19","20.3","18.3","1.1","0.8","14.7","70","46","724","2","449","9.2","259","0.066","2.14","0.22","22.8","99","0.121","1.60","0.12","14.1","2","0.000","-0.50","0.50","0.0","","","","","0.0"
"76","Cole Kmet","CHI","TE","17","2022","359","0.025","1.48","0.18","13.9","12.3","1.4","0.3","13.4","66","50","544","7","141","3.8","50","0.140","1.14","0.16","18.0","167","-0.030","1.07","0.12","11.4","138","0.058","2.15","0.26","15.9","4","-0.250","","","0.0"
"77","Hunter Henry","NE","TE","17","2022","357","0.109","1.39","0.16","16.8","14.8","1.4","0.6","7.6","58","41","509","2","272","5.9","44","0.091","0.27","0.16","22.7","163","0.037","1.58","0.16","12.3","140","0.207","1.62","0.15","21.4","10","0.000","","0.20","0.0"
"78","Christian McCaffrey","CAR, SF","RB","17","2022","355","0.101","2.07","0.29","11.5","10.7","0.6","0.3","2.5","104","85","741","5","-149","-1.3","25","0.240","3.92","0.40","24.0","58","0.241","2.84","0.40","24.1","4","0.250","1.50","0.25","25.0","268","0.056","1.74","0.26","7.5"
"79","Isaiah McKenzie","BUF","WR","15","2022","352","0.205","1.17","0.18","24.7","22.2","2.6","0.0","6.5","64","42","423","4","374","6.7","73","0.151","0.41","0.11","15.1","279","0.219","1.36","0.19","27.2","","","","","0.0","","","","","0.0"
"80","Josh Reynolds","DET","WR","14","2022","351","0.105","1.35","0.16","21.9","18.8","3.1","0.0","14.5","56","38","479","3","546","9.0","229","0.135","1.60","0.17","23.1","122","0.049","0.89","0.13","19.7","","","","","0.0","","","","","0.0"
"81","Deebo Samuel","SF","WR","13","2022","345","-0.029","1.80","0.26","13.3","11.3","1.7","0.3","18.0","91","56","632","2","35","4.8","211","-0.095","1.62","0.25","11.8","92","0.033","1.74","0.23","17.4","1","0.000","6.00","1.00","0.0","41","0.171","2.78","0.37","12.2"
"82","Quez Watkins","PHI","WR","17","2022","341","0.047","1.01","0.14","12.6","10.9","1.5","0.3","10.0","49","33","354","3","295","5.9","89","0.101","2.28","0.22","14.6","251","0.032","0.56","0.11","12.0","1","-1.000","","","0.0","","","","","0.0"
"83","Juwan Johnson","NO","TE","16","2022","338","0.065","1.47","0.18","17.8","17.5","0.3","0.0","11.2","61","42","508","7","576","5.7","53","0.113","0.98","0.16","24.5","182","0.110","1.90","0.20","20.9","103","-0.039","0.96","0.14","8.7","","","","","0.0"
"84","Demarcus Robinson","BLT","WR","17","2022","338","0.210","1.33","0.22","28.1","24.6","3.0","0.6","11.2","74","48","458","2","416","6.8","310","0.213","1.43","0.22","28.4","28","0.179","0.21","0.21","25.0","","","","","0.0","","","","","0.0"
"85","Jahan Dotson","WAS","WR","12","2022","337","0.142","1.52","0.17","23.7","20.5","3.3","0.0","12.8","59","35","523","7","502","7.8","252","0.151","1.64","0.18","25.4","85","0.118","1.18","0.14","18.8","","","","","0.0","","","","","0.0"
"86","Dalvin Cook","MIN","RB","17","2022","336","0.021","0.86","0.15","4.8","4.5","0.3","0.0","3.0","52","39","295","2","-110","-2.2","32","0.031","3.38","0.19","15.6","6","-0.167","","","0.0","37","0.027","0.51","0.13","2.7","261","0.023","0.63","0.15","3.8"
"87","Logan Thomas","WAS","TE","14","2022","334","-0.054","0.96","0.17","9.6","8.7","0.9","0.0","15.9","57","39","323","1","296","5.2","41","-0.171","0.49","0.10","7.3","218","-0.060","1.00","0.16","10.1","74","0.027","1.08","0.24","9.5","1","0.000","","","0.0"
"88","Mike Gesicki","MIA","TE","17","2022","330","0.042","1.08","0.15","14.2","13.9","0.0","0.3","10.6","50","32","362","5","455","5.0","75","0.040","0.65","0.10","13.3","168","0.054","0.97","0.14","15.5","85","0.024","1.72","0.21","12.9","2","0.000","","","0.0"
"89","Devin Duvernay","BLT","WR","14","2022","327","0.089","1.23","0.14","16.8","14.4","1.8","0.6","11.0","48","37","407","3","269","6.1","218","0.133","1.46","0.14","18.3","108","-0.009","0.75","0.15","13.0","1","1.000","","","100.0","","","","","0.0"
"90","Dallas Goedert","PHI","TE","12","2022","325","0.068","2.10","0.20","16.6","15.4","1.2","0.0","10.8","68","55","702","3","401","6.0","37","0.135","2.05","0.23","18.9","163","0.025","1.20","0.13","13.5","123","0.098","3.32","0.30","19.5","2","0.500","","","50.0"
"91","Foster Moreau","LV","TE","15","2022","323","0.028","1.30","0.15","14.9","13.3","1.5","0.0","13.3","50","33","420","2","210","4.6","56","-0.089","1.04","0.14","14.3","140","0.129","0.95","0.13","19.3","120","-0.050","1.73","0.18","10.0","7","0.286","2.86","0.29","14.3"
"92","Josh Jacobs","LV","RB","17","2022","322","0.031","1.24","0.19","7.8","7.5","0.0","0.3","4.7","62","53","400","0","-28","0.5","32","-0.125","1.09","0.06","6.3","7","-0.286","0.57","0.14","0.0","2","0.000","","","0.0","281","0.057","1.28","0.21","8.2"
"93","Noah Fant","SEA","TE","17","2022","322","-0.025","1.48","0.19","12.1","11.8","0.0","0.3","15.2","63","50","486","4","270","4.8","52","-0.096","0.87","0.19","11.5","144","-0.007","0.89","0.14","15.3","110","-0.009","2.60","0.27","10.0","16","-0.063","0.88","0.06","0.0"
"94","Keenan Allen","LAC","WR","10","2022","321","0.075","2.30","0.26","18.4","15.6","2.8","0.0","13.7","86","66","752","4","242","6.8","108","0.056","2.34","0.26","17.6","212","0.085","2.30","0.27","18.9","","","","","0.0","1","0.000","","","0.0"
"95","DeAndre Hopkins","ARZ","WR","9","2022","320","0.100","2.19","0.28","18.8","15.9","2.8","0.0","10.0","92","64","717","3","935","7.0","237","0.110","2.29","0.30","21.1","83","0.072","1.92","0.22","12.0","","","","","0.0","","","","","0.0"
"96","Russell Gage","TB","WR","13","2022","318","0.126","1.32","0.22","18.2","15.7","1.6","0.9","8.2","70","51","426","5","379","6.2","211","0.123","1.20","0.19","18.5","107","0.131","1.58","0.28","17.8","","","","","0.0","","","","","0.0"
"97","Olamide Zaccheaus","ATL","WR","17","2022","317","0.110","1.63","0.19","18.3","14.5","3.5","0.3","11.0","61","40","533","3","465","7.9","127","0.126","1.27","0.16","23.6","189","0.101","1.89","0.20","14.8","","","","","0.0","1","0.000","","1.00","0.0"
"98","D.J. Chark","DET","WR","11","2022","316","-0.009","1.59","0.16","19.0","17.1","1.9","0.0","21.2","51","30","502","3","519","8.1","235","-0.026","1.96","0.20","20.9","81","0.037","0.52","0.06","13.6","","","","","0.0","","","","","0.0"
"99","Zach Ertz","ARZ","TE","10","2022","313","0.112","1.26","0.20","20.1","19.8","0.3","0.0","9.3","65","47","406","4","496","6.2","45","0.089","1.33","0.24","24.4","174","0.115","1.14","0.18","19.0","87","0.115","1.50","0.23","20.7","7","0.143","0.86","0.14","14.3"
"100","A.J. Green","ARZ","WR","15","2022","311","-0.006","0.74","0.14","13.5","13.2","0.3","0.0","14.5","45","24","236","2","534","7.2","269","-0.011","0.84","0.16","14.9","42","0.024","0.12","0.02","4.8","","","","","0.0","","","","","0.0"
