"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"15","Puka Nacua","LA","WR","17","2023","533","0.114","2.75","0.29","21.4","20.3","0.6","0.6","11.6","155","105","1486","6","1421","7.8","379","0.116","2.92","0.31","22.7","153","0.111","2.31","0.23","18.3","","","","","0.0","","","","","0.0"
"16","Elijah Moore","CLV","WR","17","2023","528","0.068","1.19","0.19","12.5","11.4","0.8","0.4","7.2","100","59","640","2","1130","7.2","280","0.039","1.45","0.21","12.1","235","0.094","0.84","0.14","12.8","","","","","0.0","","","","","0.0"
"17","Alec Pierce","IND","WR","17","2023","522","0.013","0.96","0.12","16.1","14.0","1.7","0.4","16.7","64","32","514","2","986","9.3","462","0.009","1.08","0.13","16.5","60","0.050","","0.03","13.3","","","","","0.0","","","","","0.0"
"18","Chris Godwin","TB","WR","17","2023","519","0.091","1.95","0.24","18.9","17.0","1.7","0.2","11.6","128","83","1024","2","1319","7.4","320","0.063","1.78","0.26","19.4","199","0.136","2.24","0.22","18.1","","","","","0.0","","","","","0.0"
"19","Tyler Lockett","SEA","WR","17","2023","518","0.127","1.70","0.22","18.1","15.3","2.3","0.6","8.3","118","79","894","5","1399","7.1","327","0.135","1.98","0.26","19.6","187","0.123","1.24","0.17","16.0","1","-1.000","","","0.0","","","","","0.0"
"20","Darius Slayton","NYG","WR","17","2023","518","0.060","1.46","0.14","12.2","10.8","1.2","0.2","7.3","75","50","770","4","932","8.6","353","0.065","1.52","0.16","13.9","164","0.049","1.33","0.10","8.5","1","0.000","","","0.0","","","","","0.0"
"21","Tyler Boyd","CIN","WR","17","2023","516","0.017","1.28","0.17","11.0","9.9","1.0","0.2","10.7","91","67","667","2","642","6.5","76","0.053","2.16","0.26","14.5","440","0.011","1.13","0.16","10.5","","","","","0.0","","","","","0.0"
"22","A.J. Brown","PHI","WR","17","2023","516","0.174","2.77","0.29","25.0","22.7","1.9","0.4","10.3","154","106","1456","7","1916","8.0","409","0.176","2.96","0.31","26.7","106","0.170","2.03","0.21","18.9","1","0.000","4.00","1.00","0.0","","","","","0.0"
"23","Jonathan Mingo","CAR","WR","15","2023","514","0.002","0.81","0.16","12.8","10.5","2.1","0.2","15.2","83","43","418","0","890","7.6","344","-0.029","1.00","0.18","12.5","170","0.065","0.42","0.13","13.5","","","","","0.0","","","","","0.0"
"24","Michael Pittman","IND","WR","16","2023","509","0.132","2.19","0.29","20.0","17.3","2.6","0.2","9.6","151","109","1152","4","1172","7.3","376","0.144","2.62","0.32","22.1","124","0.089","0.82","0.17","13.7","9","0.222","3.50","0.40","22.2","","","","","0.0"
"25","Cade Otton","TB","TE","17","2023","508","0.018","0.89","0.13","9.3","9.3","0.0","0.0","7.3","67","47","455","4","440","4.2","98","0.122","0.35","0.11","16.3","245","0.008","0.86","0.12","8.6","161","-0.031","1.30","0.17","6.2","","","","","0.0"
"26","Mike Evans","TB","WR","17","2023","507","0.227","2.46","0.26","25.6","19.3","5.5","0.8","9.7","131","79","1255","13","1927","8.0","358","0.218","2.74","0.27","26.3","149","0.248","1.78","0.23","24.2","","","","","0.0","","","","","0.0"
"27","Chris Olave","NO","WR","16","2023","507","0.160","2.18","0.27","21.3","18.3","2.0","1.0","8.9","137","87","1123","5","1838","7.1","298","0.141","2.19","0.24","21.1","203","0.187","2.09","0.30","21.7","","","","","0.0","","","","","0.0"
"28","K.J. Osborn","MIN","WR","16","2023","503","0.050","1.05","0.14","15.9","14.9","0.6","0.4","12.3","74","48","540","3","675","8.6","316","0.044","1.32","0.16","16.8","187","0.059","0.61","0.12","14.4","","","","","0.0","","","","","0.0"
"29","Amari Cooper","CLV","WR","15","2023","497","0.093","2.47","0.25","18.9","15.7","2.4","0.8","12.9","126","72","1250","5","1825","8.1","386","0.091","2.55","0.25","19.4","111","0.099","2.24","0.24","17.1","","","","","0.0","","","","","0.0"
"30","George Pickens","PIT","WR","17","2023","495","0.149","2.25","0.21","22.0","20.4","1.0","0.6","9.3","105","63","1140","5","1417","8.0","415","0.137","2.28","0.21","21.9","80","0.213","2.06","0.17","22.5","","","","","0.0","","","","","0.0"
"31","Zay Flowers","BLT","WR","16","2023","495","0.178","1.70","0.21","20.4","17.0","2.6","0.8","6.9","106","77","858","5","945","7.4","338","0.180","1.52","0.20","21.3","157","0.172","2.11","0.23","18.5","","","","","0.0","","","","","0.0"
"32","DK Metcalf","SEA","WR","16","2023","493","0.099","2.22","0.23","18.5","15.0","2.6","0.8","12.4","113","66","1114","8","1575","8.3","417","0.094","2.44","0.24","19.4","76","0.132","0.99","0.17","13.2","","","","","0.0","","","","","0.0"
"33","David Njoku","CLV","TE","16","2023","485","0.027","1.78","0.24","6.4","5.6","0.6","0.2","4.7","120","81","882","6","580","3.8","46","0.000","1.45","0.28","6.5","187","0.016","1.38","0.19","8.0","251","0.040","2.15","0.28","5.2","","","","","0.0"
"34","Brandin Cooks","DAL","WR","16","2023","484","0.157","1.32","0.16","20.2","15.9","3.5","0.8","9.7","81","54","657","8","1110","7.1","304","0.161","1.14","0.18","21.7","180","0.150","1.64","0.14","17.8","","","","","0.0","","","","","0.0"
"35","Gabe Davis","BUF","WR","17","2023","482","0.108","1.50","0.16","22.2","19.5","2.3","0.4","14.1","79","45","746","7","1219","9.6","408","0.125","1.56","0.15","23.3","71","0.014","1.11","0.20","16.9","2","0.000","","","0.0","","","","","0.0"
"36","Jake Ferguson","DAL","TE","17","2023","478","-0.004","1.54","0.20","8.4","7.3","0.6","0.4","10.3","97","71","761","5","577","4.5","56","-0.107","0.82","0.07","5.4","213","0.019","2.02","0.21","11.7","203","0.000","1.13","0.21","5.9","","","","","0.0"
"37","Jakobi Meyers","LV","WR","16","2023","474","0.127","1.67","0.22","20.0","17.3","2.1","0.6","9.9","106","71","807","8","1025","7.7","345","0.110","1.56","0.22","20.0","128","0.172","1.98","0.22","20.3","","","","","0.0","","","","","0.0"
"38","Keenan Allen","LAC","WR","13","2023","470","0.202","2.56","0.31","23.8","17.9","4.9","1.1","10.4","148","108","1243","7","1441","7.4","190","0.232","3.43","0.37","28.9","277","0.181","1.94","0.25","20.2","","","","","0.0","","","","","0.0"
"39","Logan Thomas","WAS","TE","16","2023","469","-0.026","1.04","0.16","8.7","8.1","0.4","0.2","11.9","76","55","496","4","488","5.7","130","-0.100","0.91","0.15","10.0","274","-0.004","0.96","0.15","8.8","65","0.031","1.67","0.21","6.2","","","","","0.0"
"40","T.J. Hockenson","MIN","TE","15","2023","469","0.062","2.01","0.27","13.4","11.9","1.3","0.2","8.7","127","95","960","5","941","5.7","58","-0.034","1.86","0.24","13.8","171","0.064","2.11","0.25","14.6","240","0.083","1.98","0.29","12.5","","","","","0.0"
"41","DeAndre Hopkins","TEN","WR","17","2023","461","0.132","2.27","0.29","21.3","16.9","3.3","1.1","13.2","133","75","1057","7","1920","8.0","365","0.107","2.07","0.27","20.0","93","0.215","2.95","0.34","24.7","","","","","0.0","","","","","0.0"
"42","Drake London","ATL","WR","16","2023","453","0.079","1.98","0.24","15.7","13.7","1.5","0.4","10.2","108","69","905","2","1230","8.5","335","0.075","2.05","0.23","16.4","118","0.093","1.77","0.25","13.6","","","","","0.0","","","","","0.0"
"43","Sam LaPorta","DET","TE","17","2023","451","0.033","1.95","0.26","11.1","10.0","0.9","0.2","9.1","118","86","889","10","855","5.5","137","-0.015","1.61","0.26","12.4","118","0.085","2.51","0.30","16.1","194","0.036","1.87","0.23","7.2","","","","","0.0"
"44","Romeo Doubs","GB","WR","17","2023","447","0.096","1.47","0.21","19.7","17.2","2.0","0.4","12.3","95","59","674","8","1182","8.8","377","0.109","1.41","0.21","21.0","70","0.029","1.78","0.18","12.9","","","","","0.0","","","","","0.0"
"45","Jaxon Smith-Njigba","SEA","WR","17","2023","444","0.086","1.39","0.21","13.7","12.6","0.9","0.2","6.5","93","63","628","4","592","5.9","137","0.102","2.57","0.33","13.9","307","0.078","0.87","0.15","13.7","","","","","0.0","","","","","0.0"
"46","D.J. Chark","CAR","WR","15","2023","443","-0.016","1.17","0.15","13.5","13.5","0.0","0.0","14.9","65","35","525","5","999","7.6","334","0.000","1.28","0.15","14.4","109","-0.064","0.83","0.12","11.0","","","","","0.0","","","","","0.0"
"47","Travis Kelce","KC","TE","15","2023","443","0.122","2.12","0.26","17.2","15.6","1.4","0.2","6.8","120","93","984","5","826","6.4","103","0.155","2.15","0.25","22.3","224","0.138","1.87","0.26","18.3","111","0.063","2.66","0.27","10.8","","","","","0.0"
"48","Quentin Johnston","LAC","WR","17","2023","439","-0.062","0.96","0.15","13.2","12.8","0.5","0.0","18.9","67","38","431","2","884","7.7","387","-0.067","1.01","0.15","14.0","51","-0.020","0.63","0.12","7.8","1","0.000","-2.00","1.00","0.0","","","","","0.0"
"49","Tyreek Hill","MIA","WR","16","2023","439","0.180","4.05","0.38","21.6","17.5","3.0","1.1","8.9","168","119","1799","13","1869","5.9","262","0.233","4.45","0.37","25.2","166","0.114","3.45","0.38","17.5","5","0.000","4.80","0.60","0.0","","","","","0.0"
"50","Rondale Moore","ARZ","WR","17","2023","435","0.048","0.79","0.14","9.0","7.8","0.9","0.2","5.3","61","40","352","1","379","4.1","114","0.132","1.01","0.13","15.8","299","0.020","0.55","0.12","6.7","","","","","0.0","","","","","0.0"
"51","Kyle Pitts","ATL","TE","17","2023","430","-0.023","1.53","0.20","7.4","6.3","0.9","0.2","10.7","86","53","667","3","1022","6.5","119","-0.109","1.09","0.26","8.4","250","0.024","1.75","0.16","7.6","61","-0.049","1.46","0.21","4.9","","","","","0.0"
"52","Josh Reynolds","DET","WR","17","2023","429","0.117","1.41","0.14","16.1","12.6","3.0","0.5","8.4","61","40","608","5","672","9.1","280","0.136","1.94","0.19","17.9","149","0.081","0.43","0.06","12.8","","","","","0.0","","","","","0.0"
"53","Josh Downs","IND","WR","17","2023","425","0.146","1.76","0.22","19.3","17.4","1.6","0.2","6.8","95","68","771","2","714","5.2","63","0.063","2.51","0.34","15.9","358","0.165","1.58","0.19","20.1","1","-1.000","","","0.0","","","","","0.0"
"54","Trey Palmer","TB","WR","17","2023","423","0.040","0.90","0.15","13.9","12.3","0.9","0.7","12.1","66","39","385","3","730","6.3","181","-0.033","0.89","0.14","11.6","241","0.095","0.92","0.16","15.8","","","","","0.0","","","","","0.0"
"55","Tyler Conklin","NYJ","TE","17","2023","421","0.036","1.45","0.19","8.6","6.7","1.4","0.5","7.4","83","61","621","0","575","3.9","39","-0.026","1.95","0.22","5.1","251","0.040","1.39","0.19","9.6","131","0.046","1.43","0.20","7.6","","","","","0.0"
"56","Jerry Jeudy","DEN","WR","16","2023","414","0.164","1.75","0.20","20.3","16.9","2.9","0.5","7.7","85","54","758","2","1099","7.6","165","0.152","1.44","0.21","21.2","246","0.171","1.93","0.19","19.5","","","","","0.0","","","","","0.0"
"57","Marquise Brown","ARZ","WR","14","2023","414","0.089","1.35","0.22","18.4","16.7","1.7","0.0","10.6","95","51","574","4","1203","7.7","325","0.089","1.24","0.21","19.1","88","0.091","1.77","0.27","15.9","","","","","0.0","","","","","0.0"
"58","Darnell Mooney","CHI","WR","15","2023","413","0.051","0.98","0.13","12.1","10.4","1.5","0.2","9.0","57","31","414","1","610","7.8","136","0.037","1.24","0.12","14.0","270","0.059","0.87","0.13","11.1","1","0.000","","","0.0","","","","","0.0"
"59","George Kittle","SF","TE","16","2023","413","0.099","2.42","0.21","13.3","10.9","1.5","1.0","6.1","89","65","1020","6","867","5.3","39","0.077","1.85","0.24","15.4","127","0.071","2.89","0.23","14.2","244","0.119","2.29","0.19","12.7","","","","","0.0"
"60","Tyler Higbee","LA","TE","15","2023","412","0.012","1.19","0.16","8.3","8.3","0.0","0.0","7.0","67","47","495","2","383","4.9","60","-0.050","0.45","0.08","3.3","122","0.008","1.02","0.15","9.8","230","0.030","1.47","0.19","8.7","","","","","0.0"
"61","Dalton Kincaid","BUF","TE","16","2023","409","0.037","1.59","0.21","14.7","13.2","0.7","0.7","13.2","89","73","673","2","580","5.4","84","-0.012","1.41","0.14","16.7","237","0.051","1.50","0.22","16.0","81","0.037","2.05","0.26","8.6","","","","","0.0"
"62","Rashid Shaheed","NO","WR","15","2023","408","0.074","1.74","0.18","14.0","11.3","2.0","0.7","9.6","75","46","719","5","1062","6.4","221","0.045","2.38","0.21","13.1","185","0.108","1.00","0.15","15.1","","","","","0.0","","","","","0.0"
"63","Brandon Aiyuk","SF","WR","16","2023","403","0.228","3.27","0.25","24.6","18.6","4.7","1.2","8.4","103","75","1342","7","1480","10.2","305","0.190","2.91","0.23","23.6","98","0.347","4.37","0.30","27.6","","","","","0.0","","","","","0.0"
"64","Courtland Sutton","DEN","WR","16","2023","402","0.114","1.86","0.21","19.7","16.7","2.5","0.5","11.4","89","59","772","10","1187","8.4","311","0.125","1.93","0.22","20.9","87","0.080","1.64","0.18","16.1","4","0.000","0.50","0.25","0.0","","","","","0.0"
"65","Allen Lazard","NYJ","WR","15","2023","397","0.060","0.77","0.12","16.1","13.9","1.5","0.8","13.1","50","23","311","1","639","7.3","316","0.076","0.80","0.13","16.8","80","0.000","0.68","0.11","13.8","1","0.000","","","0.0","","","","","0.0"
"66","Dallas Goedert","PHI","TE","14","2023","393","0.076","1.47","0.20","14.2","13.0","0.8","0.5","8.4","82","59","592","3","453","6.1","51","0.059","1.08","0.26","21.6","211","0.114","1.30","0.18","16.6","130","0.023","1.86","0.21","7.7","","","","","0.0"
"67","Bijan Robinson","ATL","RB","17","2023","392","0.010","1.22","0.21","2.0","1.3","0.8","0.0","1.8","83","58","487","4","14","-1.1","48","-0.063","0.35","0.13","0.0","81","0.025","1.10","0.25","4.9","","","","","0.0","","","","","0.0"
"68","Marquez Valdes-Scantling","KC","WR","16","2023","387","0.059","0.78","0.10","14.2","10.6","2.1","1.6","13.4","41","21","315","1","738","9.3","259","0.035","0.78","0.09","13.5","128","0.109","0.78","0.13","15.6","","","","","0.0","","","","","0.0"
"69","Rachaad White","TB","RB","17","2023","387","0.005","1.41","0.18","2.6","2.6","0.0","0.0","2.1","70","64","549","3","-45","-1.1","55","-0.036","1.16","0.14","7.3","36","0.028","0.47","0.14","2.8","","","","","0.0","","","","","0.0"
"70","Tutu Atwell","LA","WR","16","2023","379","0.084","1.26","0.17","15.0","13.7","1.1","0.3","7.1","66","39","483","3","766","8.4","217","0.143","1.19","0.16","18.4","162","0.006","1.36","0.20","10.5","","","","","0.0","","","","","0.0"
"71","Curtis Samuel","WAS","WR","16","2023","375","0.035","1.60","0.23","12.8","11.2","1.3","0.3","10.9","87","62","613","4","620","6.3","104","0.029","2.12","0.21","10.6","260","0.031","1.23","0.22","12.7","4","-0.250","2.25","0.25","0.0","","","","","0.0"
"72","Nico Collins","HST","WR","15","2023","375","0.189","3.37","0.28","26.1","23.7","1.6","0.8","10.4","109","80","1297","8","1248","9.7","301","0.216","3.29","0.27","29.2","74","0.081","3.68","0.32","13.5","","","","","0.0","","","","","0.0"
"73","Trey McBride","ARZ","TE","17","2023","374","0.043","2.15","0.27","9.9","9.1","0.5","0.3","6.7","103","81","825","3","648","4.7","25","0.000","1.68","0.28","12.0","197","0.061","1.66","0.22","12.7","150","0.027","2.92","0.34","6.0","","","","","0.0"
"74","Michael Wilson","ARZ","WR","13","2023","373","0.121","1.46","0.15","16.9","14.7","1.9","0.3","7.2","59","38","565","3","827","8.7","281","0.110","1.25","0.15","16.7","92","0.152","2.03","0.14","17.4","","","","","0.0","","","","","0.0"
"75","Dalton Schultz","HST","TE","15","2023","372","0.022","1.65","0.22","8.6","7.8","0.5","0.3","7.3","84","59","635","5","670","4.7","49","0.041","2.06","0.24","12.2","113","0.035","1.70","0.24","11.5","198","0.010","1.56","0.20","6.6","","","","","0.0"
"76","Wan'Dale Robinson","NYG","WR","15","2023","370","0.081","1.40","0.20","11.9","9.7","2.2","0.0","5.7","76","60","525","1","401","5.1","70","0.014","2.18","0.30","5.7","292","0.096","1.20","0.17","13.4","5","-0.200","1.20","0.40","0.0","","","","","0.0"
"77","Cole Kmet","CHI","TE","17","2023","369","0.027","1.88","0.23","9.5","8.4","1.1","0.0","7.9","89","73","719","6","652","4.8","38","0.026","1.60","0.24","7.9","189","0.016","1.59","0.22","9.5","140","0.043","2.38","0.24","10.0","","","","","0.0"
"78","Robert Woods","HST","WR","14","2023","363","0.088","1.13","0.19","16.5","14.3","1.4","0.8","10.7","73","40","426","1","745","7.7","154","0.052","1.30","0.23","17.5","199","0.126","0.99","0.17","16.1","1","-1.000","","","0.0","","","","","0.0"
"79","Christian McCaffrey","SF","RB","16","2023","361","0.078","1.53","0.21","7.5","6.4","0.6","0.6","1.4","79","67","564","7","151","-0.1","45","0.044","2.28","0.32","8.9","80","0.188","1.90","0.24","15.0","10","0.100","","0.10","10.0","","","","","0.0"
"80","Jalin Hyatt","NYG","WR","17","2023","359","0.022","1.02","0.11","11.1","9.5","1.4","0.3","10.9","40","23","373","0","819","8.4","313","0.032","1.14","0.12","11.8","46","-0.043","0.28","0.04","6.5","","","","","0.0","","","","","0.0"
"81","Michael Gallup","DAL","WR","17","2023","358","0.000","1.14","0.15","16.2","15.1","0.6","0.6","17.6","56","34","418","2","633","7.4","324","0.009","1.26","0.16","16.7","34","-0.088","","0.09","11.8","","","","","0.0","","","","","0.0"
"82","Van Jefferson","LA, ATL","WR","17","2023","356","0.008","0.58","0.12","8.7","7.3","0.8","0.6","9.6","42","20","209","0","698","8.7","215","0.037","0.64","0.13","11.2","141","-0.035","0.50","0.10","5.0","","","","","0.0","","","","","0.0"
"83","Deebo Samuel","SF","WR","15","2023","355","0.076","2.46","0.24","14.1","12.4","1.7","0.0","7.9","88","60","892","7","657","5.6","225","0.062","2.23","0.23","14.7","110","0.100","2.75","0.27","13.6","","","","","0.0","","","","","0.0"
"84","Allen Robinson","PIT","WR","17","2023","355","0.045","0.77","0.13","13.8","13.0","0.8","0.0","9.9","48","34","280","0","368","6.3","106","0.038","0.62","0.13","14.2","247","0.049","0.84","0.13","13.8","2","0.000","","","0.0","","","","","0.0"
"85","Justin Jefferson","MIN","WR","10","2023","353","0.210","3.01","0.28","22.7","17.3","4.5","0.8","7.9","100","68","1074","5","1330","9.6","248","0.238","2.96","0.28","24.6","104","0.144","3.16","0.28","18.3","","","","","0.0","","","","","0.0"
"86","Chigoziem Okonkwo","TEN","TE","17","2023","353","0.071","1.47","0.21","11.3","9.9","1.1","0.3","5.9","74","54","528","1","527","4.8","39","0.051","1.80","0.25","7.7","221","0.068","1.05","0.17","12.7","83","0.060","2.21","0.25","9.6","","","","","0.0"
"87","Cooper Kupp","LA","WR","12","2023","352","0.097","2.08","0.26","16.5","15.1","1.1","0.3","8.2","92","59","737","5","775","7.2","142","0.063","1.91","0.24","17.6","209","0.115","2.16","0.27","15.3","1","1.000","9.00","1.00","100.0","","","","","0.0"
"88","Travis Etienne","JAX","RB","17","2023","351","-0.011","1.35","0.19","0.0","0.0","0.0","0.0","1.1","67","58","476","1","-49","-1.8","35","-0.114","1.69","0.08","0.0","18","0.000","1.28","0.28","0.0","","","","","0.0","","","","","0.0"
"89","Tee Higgins","CIN","WR","12","2023","350","0.140","1.85","0.21","20.9","18.3","1.4","1.1","10.6","74","42","656","5","976","7.9","290","0.121","1.77","0.20","20.7","59","0.203","2.26","0.21","20.3","1","2.000","","1.00","100.0","","","","","0.0"
"90","Jayden Reed","GB","WR","16","2023","346","0.061","2.22","0.25","12.7","11.3","1.2","0.3","8.1","91","64","793","8","923","5.7","80","0.050","1.65","0.28","13.8","262","0.065","2.41","0.24","12.6","1","0.000","","","0.0","","","","","0.0"
"91","Rashee Rice","KC","WR","16","2023","345","0.070","2.62","0.28","15.9","14.2","1.4","0.3","11.0","101","79","938","7","524","6.0","174","0.080","2.53","0.29","18.4","167","0.060","2.75","0.27","13.8","3","0.000","1.33","0.33","0.0","","","","","0.0"
"92","Diontae Johnson","PIT","WR","13","2023","344","0.244","2.04","0.25","29.1","27.3","0.9","0.9","7.0","87","51","717","5","1096","8.3","272","0.228","2.21","0.24","28.3","72","0.306","1.37","0.26","31.9","","","","","0.0","","","","","0.0"
"93","Jonnu Smith","ATL","TE","17","2023","344","-0.003","1.67","0.20","3.8","2.6","0.9","0.3","5.5","69","50","582","3","419","3.9","55","-0.073","2.86","0.27","7.3","204","-0.010","1.17","0.15","2.5","83","0.060","1.82","0.25","4.8","","","","","0.0"
"94","Tony Pollard","DAL","RB","17","2023","342","0.023","0.89","0.19","2.6","2.0","0.3","0.3","1.2","66","55","311","0","9","-0.6","35","-0.057","0.19","0.08","5.7","26","0.077","1.22","0.22","3.8","","","","","0.0","","","","","0.0"
"95","Christian Kirk","JAX","WR","12","2023","342","0.173","2.27","0.23","20.5","16.4","2.6","1.5","8.8","80","57","787","3","790","7.6","90","0.178","2.01","0.18","21.1","250","0.172","2.34","0.24","20.4","","","","","0.0","","","","","0.0"
"96","Jaylen Waddle","MIA","WR","14","2023","339","0.171","2.93","0.30","23.0","19.5","2.9","0.6","10.0","104","72","1014","4","1054","7.2","251","0.175","3.04","0.29","23.1","83","0.181","2.75","0.32","24.1","1","0.000","","","0.0","","","","","0.0"
"97","Cedric Tillman","CLV","WR","14","2023","326","0.052","0.68","0.13","15.0","14.1","0.6","0.3","9.8","42","21","224","0","508","7.4","190","0.042","0.77","0.16","16.8","131","0.069","0.57","0.09","13.0","5","0.000","","","0.0","","","","","0.0"
"98","Durham Smythe","MIA","TE","16","2023","325","-0.077","1.11","0.13","3.7","3.4","0.3","0.0","10.5","42","35","366","0","272","2.9","51","-0.078","0.31","0.06","2.0","171","-0.070","0.79","0.09","5.3","97","-0.082","2.04","0.21","2.1","","","","","0.0"
"99","Darren Waller","NYG","TE","12","2023","320","0.078","1.69","0.22","14.4","13.4","0.9","0.0","7.5","73","52","552","1","569","5.8","79","0.038","2.85","0.37","17.7","170","0.100","1.30","0.18","12.9","70","0.071","1.37","0.18","14.3","","","","","0.0"
"100","Hunter Henry","NE","TE","14","2023","313","0.128","1.31","0.19","18.8","16.9","1.6","0.3","8.0","61","42","419","6","544","6.4","25","0.120","0.69","0.15","24.0","164","0.159","1.24","0.19","20.1","124","0.089","1.51","0.20","16.1","","","","","0.0"
"101","Xavier Gipson","NYJ","WR","17","2023","313","0.058","0.72","0.12","11.2","9.6","1.3","0.3","7.3","37","21","229","0","320","6.3","120","-0.025","0.74","0.11","10.0","190","0.111","0.73","0.11","12.1","","","","","0.0","","","","","0.0"
"102","Joe Mixon","CIN","RB","17","2023","311","-0.010","1.19","0.20","1.3","1.3","0.0","0.0","2.3","64","52","376","3","-133","-2.0","20","-0.050","0.65","0.10","0.0","15","0.000","1.80","0.27","6.7","","","","","0.0","","","","","0.0"
"103","Nelson Agholor","BLT","WR","17","2023","310","0.061","1.20","0.14","12.9","11.9","1.0","0.0","7.7","45","35","381","4","441","5.9","79","0.101","0.71","0.11","13.9","224","0.049","1.40","0.15","12.9","7","0.000","0.57","0.14","0.0","","","","","0.0"
