"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"41","Zay Flowers","BLT","WR","17","2024","437","0.192","2.35","0.26","20.1","15.1","4.1","0.9","6.2","115","74","1059","4","1252","9.2","276","0.199","2.52","0.25","21.0","","","","","0.0","1","0.000","1.00","1.00","0.0","","","","","0.0"
"42","Jameson Williams","DET","WR","15","2024","436","0.124","2.26","0.20","14.4","11.5","2.5","0.5","5.5","90","58","1001","7","1071","8.4","280","0.132","2.46","0.24","15.4","","","","","0.0","","","","","0.0","","","","","0.0"
"43","Michael Pittman","IND","WR","16","2024","432","0.063","1.82","0.24","11.8","11.1","0.7","0.0","6.3","108","69","808","3","1154","8.8","319","0.053","1.92","0.25","12.2","","","","","0.0","","","","","0.0","","","","","0.0"
"44","Hunter Henry","NE","TE","16","2024","426","0.026","1.54","0.20","9.9","9.6","0.2","0.0","7.3","87","66","674","2","633","6.3","25","0.000","","","16.0","","","","","0.0","166","0.036","1.52","0.19","7.2","3","0.000","","0.33","0.0"
"45","Cole Kmet","CHI","TE","17","2024","425","-0.014","1.09","0.13","7.3","7.3","0.0","0.0","8.7","55","47","474","4","381","6.2","39","0.000","0.60","0.07","10.3","","","","","0.0","107","0.009","1.94","0.16","6.5","10","0.200","1.30","0.30","20.0"
"46","Tee Higgins","CIN","WR","12","2024","423","0.092","2.12","0.24","17.7","15.8","1.9","0.0","10.4","105","73","911","10","1166","7.6","334","0.108","1.97","0.25","18.6","","","","","0.0","1","0.000","","","0.0","","","","","0.0"
"47","Tyler Conklin","NYJ","TE","16","2024","420","-0.021","1.05","0.16","3.8","3.6","0.2","0.0","6.2","68","51","449","4","375","4.2","44","0.023","0.22","0.09","6.8","","","","","0.0","167","-0.006","1.14","0.20","3.6","1","0.000","7.00","1.00","0.0"
"48","Jaylen Waddle","MIA","WR","15","2024","419","0.057","1.74","0.19","12.6","11.2","1.4","0.0","8.1","82","58","744","2","781","7.7","300","0.037","1.80","0.19","13.3","","","","","0.0","1","0.000","","1.00","0.0","1","0.000","","","0.0"
"49","Demario Douglas","NE","WR","17","2024","417","0.070","1.46","0.19","12.5","10.6","1.9","0.0","7.2","82","66","621","3","463","5.2","84","-0.024","1.32","0.21","8.3","","","","","0.0","","","","","0.0","4","0.000","-0.25","0.25","0.0"
"50","Kayshon Boutte","NE","WR","15","2024","416","0.014","1.39","0.16","11.5","11.3","0.2","0.0","9.9","67","43","589","3","967","8.7","359","0.014","1.56","0.16","11.4","","","","","0.0","3","0.667","","","66.7","","","","","0.0"
