"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"79","Christian McCaffrey","CAR, SF","RB","17","2022","358","0.29","2.07","1.00","97","0.24","1.80","0.48","242","0.31","2.27","0.54","219","0.28","1.97","0.47","139","0.31","2.23","0.66"
"80","Josh Reynolds","DET","WR","14","2022","354","0.16","1.35","0.29","105","0.17","1.29","0.27","230","0.14","1.44","0.26","205","0.16","1.48","0.29","149","0.15","1.17","0.30"
"81","Quez Watkins","PHI","WR","17","2022","352","0.14","1.01","0.24","109","0.16","0.85","0.22","233","0.13","1.10","0.26","180","0.15","0.78","0.23","172","0.13","1.24","0.25"
"82","Deebo Samuel","SF","WR","13","2022","351","0.26","1.80","0.49","89","0.16","1.39","0.30","245","0.29","1.97","0.38","212","0.25","1.83","0.35","139","0.27","1.76","0.41"
"83","Juwan Johnson","NO","TE","16","2022","346","0.18","1.47","0.39","82","0.20","1.46","0.48","247","0.17","1.52","0.35","178","0.17","1.47","0.33","168","0.18","1.47","0.45"
"84","Demarcus Robinson","BLT","WR","17","2022","344","0.22","1.33","0.30","96","0.18","0.89","0.30","236","0.24","1.58","0.32","210","0.23","1.16","0.31","134","0.19","1.60","0.29"
"85","Jahan Dotson","WAS","WR","12","2022","343","0.17","1.52","0.38","80","0.18","1.58","0.65","250","0.17","1.54","0.25","167","0.16","1.43","0.31","176","0.18","1.61","0.44"
"86","Dalvin Cook","MIN","RB","17","2022","342","0.15","0.86","0.71","92","0.11","0.30","0.10","231","0.17","1.05","0.26","139","0.14","0.71","0.18","203","0.16","0.97","0.27"
"87","Logan Thomas","WAS","TE","14","2022","338","0.17","0.96","0.23","74","0.14","0.74","0.16","251","0.18","1.05","0.26","168","0.17","1.05","0.23","170","0.16","0.86","0.23"
"88","Mike Gesicki","MIA","TE","17","2022","336","0.15","1.08","0.29","69","0.14","0.49","0.12","244","0.14","1.21","0.24","145","0.16","0.97","0.37","191","0.14","1.16","0.23"
"89","Dallas Goedert","PHI","TE","12","2022","335","0.20","2.10","0.42","86","0.20","2.30","0.47","235","0.20","2.08","0.39","156","0.24","2.56","0.44","179","0.17","1.69","0.42"
"90","Devin Duvernay","BLT","WR","14","2022","332","0.14","1.23","0.33","90","0.13","0.81","0.28","230","0.15","1.41","0.30","198","0.16","1.62","0.36","134","0.12","0.65","0.18"
"91","Noah Fant","SEA","TE","17","2022","329","0.19","1.48","0.37","82","0.12","0.95","0.31","234","0.21","1.67","0.34","170","0.16","1.61","0.33","159","0.23","1.33","0.42"
"92","DeAndre Hopkins","ARZ","WR","9","2022","327","0.28","2.19","0.47","59","0.31","0.85","0.32","253","0.29","2.64","0.53","161","0.31","1.94","0.46","166","0.25","2.43","0.47"
"93","Keenan Allen","LAC","WR","10","2022","327","0.26","2.30","0.50","87","0.31","2.43","0.64","227","0.25","2.38","0.48","182","0.28","2.38","0.48","145","0.24","2.19","0.53"
"94","Olamide Zaccheaus","ATL","WR","17","2022","326","0.19","1.63","0.34","64","0.17","1.45","0.27","245","0.20","1.75","0.35","181","0.19","1.67","0.33","145","0.19","1.59","0.35"
"95","Foster Moreau","LV","TE","15","2022","324","0.15","1.30","0.27","78","0.15","1.24","0.28","231","0.16","1.38","0.25","145","0.15","1.32","0.23","179","0.16","1.28","0.30"
"96","Josh Jacobs","LV","RB","17","2022","323","0.19","1.24","1.02","56","0.09","1.59","0.23","253","0.21","1.20","0.30","126","0.15","1.17","0.24","197","0.22","1.28","0.32"
"97","Zach Ertz","ARZ","TE","10","2022","322","0.20","1.26","0.36","76","0.21","0.79","0.34","239","0.20","1.40","0.32","155","0.15","0.77","0.26","167","0.25","1.72","0.43"
"98","Russell Gage","TB","WR","13","2022","322","0.22","1.32","0.39","84","0.21","0.90","0.34","222","0.21","1.42","0.30","143","0.22","1.12","0.24","179","0.22","1.49","0.49"
"99","A.J. Green","ARZ","WR","15","2022","318","0.14","0.74","0.19","77","0.18","0.39","0.10","232","0.13","0.86","0.19","166","0.17","0.89","0.20","152","0.11","0.59","0.17"
"100","Richie James","NYG","WR","16","2022","316","0.22","1.80","0.44","75","0.24","2.65","0.61","232","0.21","1.53","0.33","182","0.19","1.81","0.41","134","0.25","1.79","0.48"
"101","D.J. Chark","DET","WR","11","2022","316","0.16","1.59","0.31","80","0.18","1.43","0.41","228","0.16","1.70","0.29","175","0.19","1.99","0.38","141","0.13","1.09","0.22"
"102","Jerick McKinnon","KC","RB","17","2022","314","0.22","1.63","0.63","127","0.19","1.72","0.53","163","0.22","1.62","0.37","167","0.23","2.01","0.52","147","0.20","1.20","0.49"
"103","Greg Dortch","ARZ","WR","16","2022","314","0.20","1.49","0.37","71","0.18","0.89","0.19","234","0.20","1.66","0.35","145","0.23","1.83","0.36","169","0.18","1.19","0.34"
"104","Robert Tonyan","GB","TE","17","2022","313","0.20","1.50","0.36","101","0.11","0.60","0.14","205","0.25","1.89","0.46","149","0.19","1.42","0.34","164","0.22","1.58","0.37"
"105","Devin Singletary","BUF","RB","16","2022","312","0.15","0.90","0.58","83","0.08","0.87","0.24","218","0.18","0.95","0.23","167","0.16","1.07","0.24","145","0.14","0.70","0.22"
"106","Cooper Kupp","LA","WR","9","2022","308","0.31","2.64","0.66","63","0.27","2.29","0.58","229","0.33","2.86","0.61","193","0.33","3.04","0.64","115","0.30","1.97","0.59"
"107","Allen Robinson","LA","WR","10","2022","308","0.17","1.10","0.28","72","0.29","1.25","0.35","222","0.13","1.12","0.24","182","0.20","1.53","0.32","126","0.13","0.48","0.21"
"108","Rhamondre Stevenson","NE","RB","17","2022","304","0.29","1.38","0.82","69","0.20","0.97","0.21","222","0.32","1.58","0.43","164","0.27","1.08","0.30","140","0.31","1.74","0.48"
"109","Saquon Barkley","NYG","RB","16","2022","300","0.24","1.13","0.95","70","0.24","1.13","0.31","224","0.25","1.16","0.31","169","0.20","0.96","0.23","131","0.31","1.34","0.39"
"110","Greg Dulcich","DEN","TE","10","2022","300","0.17","1.37","0.29","83","0.17","1.12","0.22","208","0.17","1.48","0.29","173","0.16","1.62","0.32","127","0.18","1.03","0.24"
"111","Shi Smith","CAR","WR","17","2022","298","0.13","0.99","0.21","70","0.13","1.31","0.19","217","0.13","0.94","0.23","189","0.14","1.05","0.22","109","0.10","0.89","0.20"
"112","Austin Hooper","TEN","TE","17","2022","295","0.19","1.51","0.33","71","0.21","1.61","0.33","206","0.18","1.55","0.32","141","0.20","1.67","0.37","154","0.18","1.35","0.30"
"113","Kalif Raymond","DET","WR","17","2022","294","0.21","2.10","0.38","96","0.18","2.02","0.31","187","0.24","2.24","0.41","187","0.20","2.44","0.42","107","0.22","1.49","0.27"
"114","James Conner","ARZ","RB","13","2022","289","0.19","1.04","0.70","45","0.09","0.78","0.14","238","0.21","1.09","0.29","142","0.12","0.51","0.14","147","0.27","1.54","0.43"
"115","DeVante Parker","NE","WR","13","2022","288","0.16","1.87","0.36","84","0.18","2.10","0.38","189","0.16","1.91","0.34","171","0.18","2.27","0.46","117","0.14","1.28","0.21"
"116","Robby Anderson","ARZ, CAR","WR","16","2022","285","0.15","0.99","0.19","58","0.14","0.16","0.03","222","0.15","1.23","0.23","155","0.16","0.66","0.12","130","0.13","1.38","0.26"
"117","Marquise Goodwin","SEA","WR","13","2022","285","0.14","1.36","0.32","74","0.19","1.84","0.48","197","0.14","1.27","0.27","140","0.11","1.36","0.36","145","0.17","1.35","0.27"
"118","Tyquan Thornton","NE","WR","13","2022","284","0.15","0.87","0.23","78","0.22","0.85","0.33","196","0.13","0.88","0.16","171","0.16","0.84","0.20","113","0.14","0.91","0.22"
"119","Hunter Renfrow","LV","WR","10","2022","282","0.18","1.17","0.28","68","0.16","1.03","0.21","202","0.18","1.23","0.29","111","0.17","1.23","0.23","171","0.18","1.13","0.32"
"120","David Bell","CLV","WR","16","2022","281","0.12","0.76","0.16","95","0.07","0.61","0.11","175","0.15","0.89","0.20","144","0.08","0.82","0.17","137","0.15","0.70","0.16"
"121","Alvin Kamara","NO","RB","15","2022","280","0.26","1.75","0.77","81","0.21","1.96","0.42","188","0.29","1.73","0.43","153","0.25","1.81","0.40","127","0.27","1.68","0.43"
"122","Darnell Mooney","CHI","WR","12","2022","280","0.21","1.76","0.36","80","0.21","2.05","0.49","195","0.21","1.69","0.32","195","0.22","2.04","0.41","85","0.20","1.12","0.24"
"123","Jordan Akins","HST","TE","15","2022","279","0.18","1.77","0.42","92","0.22","2.28","0.59","168","0.15","1.67","0.32","153","0.21","2.19","0.47","126","0.14","1.27","0.34"
"124","Van Jefferson","LA","WR","11","2022","275","0.15","1.34","0.29","78","0.17","1.88","0.53","190","0.15","1.17","0.20","181","0.15","1.44","0.26","94","0.15","1.15","0.34"
"125","Dante Pettis","CHI","WR","17","2022","274","0.14","0.89","0.24","77","0.12","0.27","0.07","189","0.14","1.15","0.26","170","0.13","1.02","0.24","104","0.14","0.68","0.19"
"126","Jauan Jennings","SF","WR","16","2022","273","0.20","1.52","0.30","93","0.23","1.55","0.26","166","0.19","1.60","0.30","167","0.22","1.53","0.33","106","0.16","1.52","0.27"
"127","Aaron Jones","GB","RB","17","2022","272","0.26","1.45","0.93","82","0.27","1.78","0.50","183","0.26","1.34","0.42","128","0.23","1.57","0.50","144","0.29","1.35","0.43"
"128","Terrace Marshall","CAR","WR","14","2022","270","0.17","1.81","0.31","64","0.23","2.02","0.31","194","0.15","1.86","0.32","178","0.19","1.98","0.32","92","0.14","1.50","0.29"
"129","Travis Etienne","JAX","RB","17","2022","269","0.16","1.17","0.77","70","0.16","1.06","0.25","182","0.15","1.24","0.25","132","0.17","1.31","0.28","137","0.15","1.04","0.21"
"130","Kendall Hinton","DEN","WR","11","2022","267","0.12","1.16","0.21","76","0.07","0.58","0.11","184","0.14","1.41","0.24","128","0.06","0.79","0.14","139","0.17","1.51","0.27"
"131","Trey McBride","ARZ","TE","15","2022","266","0.15","1.00","0.23","54","0.19","1.06","0.33","206","0.14","1.01","0.21","139","0.17","1.27","0.24","127","0.13","0.70","0.22"
"132","Romeo Doubs","GB","WR","13","2022","265","0.25","1.60","0.39","99","0.25","1.08","0.25","161","0.24","1.92","0.47","126","0.32","2.11","0.50","139","0.19","1.14","0.28"
"133","Nelson Agholor","NE","WR","16","2022","265","0.19","1.37","0.29","81","0.23","2.57","0.47","173","0.18","0.89","0.23","169","0.21","1.63","0.31","96","0.17","0.90","0.27"
"134","Joe Mixon","CIN","RB","14","2022","264","0.27","1.67","0.91","54","0.22","0.94","0.24","191","0.27","1.91","0.44","96","0.24","1.39","0.35","168","0.28","1.83","0.49"
"135","Nico Collins","HST","WR","10","2022","263","0.24","1.83","0.37","80","0.30","2.10","0.51","174","0.22","1.80","0.32","159","0.26","1.93","0.38","104","0.21","1.67","0.35"
"136","Kendrick Bourne","NE","WR","16","2022","259","0.18","1.68","0.34","66","0.18","2.38","0.37","182","0.18","1.44","0.28","148","0.22","1.96","0.36","111","0.13","1.30","0.28"
"137","Justin Watson","KC","WR","17","2022","258","0.12","1.22","0.23","93","0.13","1.26","0.31","145","0.13","1.37","0.21","150","0.13","0.88","0.17","108","0.11","1.69","0.30"
"138","Rondale Moore","ARZ","WR","8","2022","253","0.22","1.64","0.35","49","0.16","1.12","0.21","196","0.23","1.80","0.39","130","0.22","1.74","0.34","123","0.22","1.53","0.36"
"139","Phillip Dorsett","HST","WR","15","2022","251","0.16","1.02","0.21","70","0.17","0.93","0.15","168","0.17","1.14","0.25","139","0.19","1.38","0.24","112","0.13","0.58","0.17"
"140","Najee Harris","PIT","RB","17","2022","248","0.21","0.92","0.91","58","0.16","0.43","0.23","180","0.23","1.09","0.30","122","0.17","0.71","0.24","126","0.25","1.13","0.41"
"141","Mo Alie-Cox","IND","TE","17","2022","248","0.11","0.76","0.22","82","0.07","0.30","0.13","152","0.13","1.03","0.24","148","0.09","0.54","0.23","100","0.13","1.09","0.21"
"142","Daniel Bellinger","NYG","TE","12","2022","248","0.13","1.08","0.31","58","0.16","1.03","0.22","179","0.13","1.12","0.26","147","0.13","1.19","0.27","101","0.14","0.92","0.28"
