"","","Player Details","","","","","Projection"
"290","Jordan Whittington","WR","LA","2026","1","SF","3.6"
"291","Jacob Saylors","RB","DET","2026","1","NO","3.6"
"292","Emanuel Wilson","RB","SEA","2026","1","NE","3.5"
"293","Tyler Higbee","TE","LA","2026","1","SF","3.5"
"294","Noah Gray","TE","KC","2026","1","DEN","3.5"
"295","Germie Bernard","WR","PIT","2026","1","ATL","3.4"
"296","Tank Bigsby","RB","PHI","2026","1","WAS","3.4"
"297","Jonah Coleman","RB","DEN","2026","1","KC","3.4"
"298","Isaiah Williams","WR","NYJ","2026","1","TEN","3.4"
"299","Cyrus Allen","WR","KC","2026","1","DEN","3.3"
"300","Mack Hollins","WR","NE","2026","1","SEA","3.2"
"301","Travis Hunter","WR","JAX","2026","1","CLV","3.2"
"302","Josh Palmer","WR","BUF","2026","1","HST","3.2"
"303","Daniel Bellinger","TE","TEN","2026","1","NYJ","3.2"
"304","Kimani Vidal","RB","LAC","2026","1","ARZ","3.1"
"305","Erick All","TE","CIN","2026","1","TB","3.1"
"306","Emmett Johnson","RB","KC","2026","1","DEN","3.1"
"307","Kalif Raymond","WR","CHI","2026","1","CAR","3.1"
"308","Elijah Arroyo","TE","SEA","2026","1","NE","3.0"
"309","Demarcus Robinson","WR","SF","2026","1","LA","3.0"
"310","Jaylen Wright","RB","MIA","2026","1","LV","3.0"
"311","Kaelon Black","RB","SF","2026","1","LA","3.0"
"312","Odell Beckham Jr.","WR","NYG","2026","1","DAL","2.9"
"313","Drew Sample","TE","CIN","2026","1","TB","2.9"
"314","Corey Kiner","RB","NE","2026","1","SEA","2.9"
"315","Noah Fant","TE","NO","2026","1","DET","2.9"
"316","Tyrone Tracy Jr.","RB","NYG","2026","1","DAL","2.9"
"317","Marvin Mims Jr.","WR","DEN","2026","1","KC","2.8"
"318","Isaiah Davis","RB","NYJ","2026","1","TEN","2.8"
"319","Austin Hooper","TE","ATL","2026","1","PIT","2.6"
"320","Ashton Dulin","WR","IND","2026","1","BLT","2.5"
"321","Emari Demercado","RB","DAL","2026","1","NYG","2.5"
"322","Elijah Higgins","TE","ARZ","2026","1","LAC","2.4"
"323","Jalen Tolbert","WR","MIA","2026","1","LV","2.4"
"324","Jonnu Smith","TE","GB","2026","1","MIN","2.4"
"325","Troy Franklin","WR","DEN","2026","1","KC","2.4"
"326","Tommy Tremble","TE","CAR","2026","1","CHI","2.4"
"327","Kyle Juszczyk","RB","SF","2026","1","LA","2.3"
"328","Ameer Abdullah","RB","JAX","2026","1","CLV","2.3"
"329","Will Kacmarek","TE","MIA","2026","1","LV","2.2"
"330","Seth McGowan","RB","IND","2026","1","BLT","2.2"
"331","Marquise Brown","WR","PHI","2026","1","WAS","2.2"
"332","Adam Trautman","TE","DEN","2026","1","KC","2.2"
"333","Zachariah Branch","WR","ATL","2026","1","PIT","2.1"
"334","Konata Mumpfield","WR","LA","2026","1","SF","2.0"
"335","Nate Boerkircher","TE","JAX","2026","1","CLV","2.0"
"336","Kenyon Sadiq","TE","NYJ","2026","1","TEN","2.0"
"337","Josh Oliver","TE","MIN","2026","1","GB","2.0"
"338","Kaleb Johnson","RB","GB","2026","1","MIN","2.0"
"339","Brock Wright","TE","DET","2026","1","NO","1.9"
"340","Eli Raridon","TE","NE","2026","1","SEA","1.9"
"341","David Njoku","TE","LAC","2026","1","ARZ","1.9"
"342","Durham Smythe","TE","BLT","2026","1","IND","1.9"
"343","Mo Alie-Cox","TE","IND","2026","1","BLT","1.9"
"344","Malik Benson","WR","LV","2026","1","MIA","1.8"
"345","Josh Cuevas","TE","BLT","2026","1","IND","1.8"
"346","Jake Tonges","TE","SF","2026","1","LA","1.7"
"347","Alec Ingold","RB","LAC","2026","1","ARZ","1.7"
"348","Ollie Gordon II","RB","MIA","2026","1","LV","1.7"
"349","Johnny Mundt","TE","PHI","2026","1","WAS","1.6"
"350","Mitchell Evans","TE","CAR","2026","1","CHI","1.6"
"351","Isaiah Bond","WR","CLV","2026","1","JAX","1.6"
"352","Davis Allen","TE","LA","2026","1","SF","1.6"
"353","Luke Schoonmaker","TE","DAL","2026","1","NYG","1.6"
"354","Zavion Thomas","WR","CHI","2026","1","CAR","1.6"
"355","Colbie Young","WR","CIN","2026","1","TB","1.5"
"356","Ian Thomas","TE","LV","2026","1","MIA","1.5"
"357","Barion Brown","WR","NO","2026","1","DET","1.5"
"358","Luke McCaffrey","WR","WAS","2026","1","PHI","1.5"
"359","Ja'Tavion Sanders","TE","CAR","2026","1","CHI","1.5"
"360","Ben Sinnott","TE","WAS","2026","1","PHI","1.5"
"361","Dylan Laube","RB","LV","2026","1","MIA","1.4"
"362","Eli Heidenreich","RB","PIT","2026","1","ATL","1.4"
"363","Tai Felton","WR","MIN","2026","1","GB","1.4"
"364","Tay Martin","WR","DET","2026","1","NO","1.4"
"365","Hunter Luepke","RB","DAL","2026","1","NYG","1.3"
"366","Kevin Austin Jr.","WR","NO","2026","1","DET","1.3"
"367","Blake Whiteheart","TE","CLV","2026","1","JAX","1.3"
"368","Bo Melton","WR","GB","2026","1","MIN","1.2"
"369","Jeremy Ruckert","TE","NYJ","2026","1","TEN","1.2"
"370","Kaytron Allen","RB","WAS","2026","1","PHI","1.2"
"371","Brenen Thompson","WR","LAC","2026","1","ARZ","1.2"
"372","John Metchie III","WR","CAR","2026","1","CHI","1.2"
"373","Luke Farrell","TE","SF","2026","1","LA","1.2"
"374","Sione Vaki","RB","DET","2026","1","NO","1.1"
"375","Foster Moreau","TE","HST","2026","1","BUF","1.1"
"376","Brevyn Spann-Ford","TE","DAL","2026","1","NYG","1.1"
"377","Chimere Dike","WR","TEN","2026","1","NYJ","1.1"
"378","Josh Whyle","TE","GB","2026","1","MIN","1.0"
"379","Jimmy Horn Jr.","WR","CAR","2026","1","CHI","1.0"
"380","Will Shipley","RB","PHI","2026","1","WAS","1.0"
"381","Kyle Williams","WR","NE","2026","1","SEA","1.0"
"382","CJ Donaldson","RB","NO","2026","1","DET","1.0"
"383","Skyler Bell","WR","BUF","2026","1","HST","1.0"
"384","Cade Stover","TE","HST","2026","1","BUF","0.9"
"385","Pierre Strong","RB","GB","2026","1","MIN","0.9"
"386","Hunter Long","TE","ARZ","2026","1","LAC","0.9"
"387","Bam Knight","RB","ARZ","2026","1","LAC","0.9"
"388","Matthew Hibner","TE","BLT","2026","1","IND","0.9"
"389","Tahj Brooks","RB","CIN","2026","1","TB","0.9"
"390","Roschon Johnson","RB","CHI","2026","1","CAR","0.9"
"391","Devontez Walker","WR","BLT","2026","1","IND","0.9"
"392","Kylen Granson","TE","TEN","2026","1","NYJ","0.9"
"393","Malachi Corley","WR","CLV","2026","1","JAX","0.9"
"394","Nicholas Singleton","RB","TEN","2026","1","NYJ","0.9"
"395","Jalen Royals","WR","KC","2026","1","DEN","0.8"
"396","AJ Dillon","RB","CAR","2026","1","CHI","0.8"
"397","Rasheen Ali","RB","BLT","2026","1","IND","0.8"
"398","Raheim Sanders","RB","CLV","2026","1","JAX","0.8"
"399","Andrew Ogletree","TE","IND","2026","1","BLT","0.8"
"400","DJ Giddens","RB","IND","2026","1","BLT","0.8"
"401","Skyy Moore","WR","GB","2026","1","MIN","0.8"
"402","John Bates","TE","WAS","2026","1","PHI","0.8"
"403","Chris Myarick","TE","LV","2026","1","MIA","0.8"
"404","Sam Roush","TE","CHI","2026","1","CAR","0.8"
"405","Xavier Smith","WR","LA","2026","1","SF","0.8"
"406","Carsen Ryan","TE","CLV","2026","1","JAX","0.8"
"407","Jawhar Jordan","RB","HST","2026","1","BUF","0.8"
"408","Jahdae Walker","WR","CHI","2026","1","CAR","0.8"
"409","Seydou Traore","TE","MIA","2026","1","LV","0.8"
"410","Antonio Williams","WR","WAS","2026","1","PHI","0.8"
"411","Montorie Foster Jr","WR","SEA","2026","1","NE","0.8"
"412","Eric Saubert","TE","SEA","2026","1","NE","0.7"
"413","Israel Abanikanda","RB","DAL","2026","1","NYG","0.7"
"414","Nate Adkins","TE","DEN","2026","1","KC","0.7"
"415","Tanner Hudson","TE","CIN","2026","1","TB","0.7"
"416","Kevin Coleman Jr.","WR","MIA","2026","1","LV","0.7"
"417","Brevin Jordan","TE","HST","2026","1","BUF","0.7"
"418","Charlie Woerner","TE","ATL","2026","1","PIT","0.7"
"419","Payne Durham","TE","TB","2026","1","CIN","0.7"
"420","DeeJay Dallas","RB","MIN","2026","1","GB","0.7"
"421","Jalen Brooks","WR","ARZ","2026","1","LAC","0.6"
"422","Laquon Treadwell","WR","IND","2026","1","BLT","0.6"
"423","KeAndre Lambert-Smith","WR","LAC","2026","1","ARZ","0.6"
"424","Tyler Conklin","TE","DET","2026","1","NO","0.6"
"425","Jackson Hawes","TE","BUF","2026","1","HST","0.6"
"426","Andrew Beck","RB","NYJ","2026","1","TEN","0.6"
"427","Tom Kennedy","WR","DET","2026","1","NO","0.6"
"428","Jacob Cowing","WR","SF","2026","1","LA","0.6"
"429","Marlin Klein","TE","HST","2026","1","BUF","0.6"
"430","Ben Skowronek","WR","PIT","2026","1","ATL","0.5"
"431","Connor Heyward","RB","LV","2026","1","MIA","0.5"
"432","Demond Claiborne","RB","MIN","2026","1","GB","0.5"
