"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"269","New York Giants","DST","NYG","2026","2","LA","4.7"
"270","Andrei Iosivas","WR","CIN","2026","2","HST","4.6"
"271","Washington Commanders","DST","WAS","2026","2","DAL","4.5"
"272","Isaac TeSlaa","WR","DET","2026","2","BUF","4.5"
"273","Indianapolis Colts","DST","IND","2026","2","KC","4.4"
"274","Isaiah Williams","WR","NYJ","2026","2","GB","4.3"
"275","Raheim Sanders","RB","CLV","2026","2","TB","4.3"
"276","Germie Bernard","WR","PIT","2026","2","NE","4.3"
"277","Elic Ayomanor","WR","TEN","2026","2","PHI","4.2"
"278","Noah Fant","TE","NO","2026","2","BLT","4.0"
"279","Charlie Kolar","TE","LAC","2026","2","LV","4.0"
"280","Dawson Knox","TE","BUF","2026","2","DET","4.0"
"281","Miami Dolphins","DST","MIA","2026","2","SF","4.0"
"282","New Orleans Saints","DST","NO","2026","2","BLT","3.9"
"283","Tommy Tremble","TE","CAR","2026","2","ATL","3.9"
"284","Ted Hurst III","WR","TB","2026","2","CLV","3.9"
"285","Darnell Washington","TE","PIT","2026","2","NE","3.9"
"286","Tai Felton","WR","MIN","2026","2","CHI","3.9"
"287","Jonah Coleman","RB","DEN","2026","2","JAX","3.9"
"288","Ray Davis","RB","BUF","2026","2","DET","3.8"
"289","Kendre Miller","RB","NO","2026","2","BLT","3.8"
"290","DeeJay Dallas","RB","MIN","2026","2","CHI","3.7"
"291","Josh Palmer","WR","BUF","2026","2","DET","3.6"
"292","Jonnu Smith","TE","GB","2026","2","NYJ","3.6"
"293","Tyler Badie","RB","DEN","2026","2","JAX","3.6"
"294","Detroit Lions","DST","DET","2026","2","BUF","3.6"
"295","Mike Washington Jr.","RB","LV","2026","2","LAC","3.6"
"296","Noah Gray","TE","KC","2026","2","IND","3.4"
"297","Jared Wayne","WR","HST","2026","2","CIN","3.2"
"298","Oronde Gadsden II","TE","LAC","2026","2","LV","3.1"
"299","Sione Vaki","RB","DET","2026","2","BUF","3.1"
"300","John Bates","TE","WAS","2026","2","DAL","3.0"
"301","Troy Franklin","WR","DEN","2026","2","JAX","3.0"
"302","Dyami Brown","WR","WAS","2026","2","DAL","3.0"
"303","Durham Smythe","TE","BLT","2026","2","NO","3.0"
"304","Olamide Zaccheaus","WR","ATL","2026","2","CAR","3.0"
"305","Emari Demercado","RB","DAL","2026","2","WAS","3.0"
"306","Nate Boerkircher","TE","JAX","2026","2","DEN","2.9"
"307","Theo Johnson","TE","NYG","2026","2","LA","2.9"
"308","Josh Oliver","TE","MIN","2026","2","CHI","2.9"
"309","Drew Sample","TE","CIN","2026","2","HST","2.7"
"310","Kevin Coleman Jr.","WR","MIA","2026","2","SF","2.7"
"311","Foster Moreau","TE","HST","2026","2","CIN","2.7"
"312","Mitchell Evans","TE","CAR","2026","2","ATL","2.5"
"313","Brevyn Spann-Ford","TE","DAL","2026","2","WAS","2.4"
"314","Hunter Luepke","RB","DAL","2026","2","WAS","2.4"
"315","Luke Farrell","TE","SF","2026","2","MIA","2.4"
"316","Kaytron Allen","RB","WAS","2026","2","DAL","2.4"
"317","Adam Trautman","TE","DEN","2026","2","JAX","2.4"
"318","Elijah Arroyo","TE","SEA","2026","2","ARZ","2.4"
"319","Will Shipley","RB","PHI","2026","2","TEN","2.3"
"320","Kyle Juszczyk","RB","SF","2026","2","MIA","2.2"
"321","Kyle Williams","WR","NE","2026","2","PIT","2.2"
"322","KaVontae Turpin","WR","DAL","2026","2","WAS","2.2"
"323","Jaleel McLaughlin","RB","CLV","2026","2","TB","2.1"
"324","Tank Bigsby","RB","PHI","2026","2","TEN","2.1"
"325","Jahdae Walker","WR","CHI","2026","2","MIN","2.0"
"326","Blake Whiteheart","TE","CLV","2026","2","TB","2.0"
