"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"196","Kansas City Chiefs","DST","KC","2026","2","IND","7.3"
"197","Ryan Fitzgerald","K","CAR","2026","2","ATL","7.3"
"198","Cam Little","K","JAX","2026","2","DEN","7.3"
"199","Colby Parkinson","TE","LA","2026","2","NYG","7.3"
"200","Blake Corum","RB","LA","2026","2","NYG","7.3"
"201","Will Reichard","K","MIN","2026","2","CHI","7.2"
"202","Kaelon Black","RB","SF","2026","2","MIA","7.2"
"203","TreVeyon Henderson","RB","NE","2026","2","PIT","7.2"
"204","Nick Folk","K","ATL","2026","2","CAR","7.2"
"205","Evan McPherson","K","CIN","2026","2","HST","7.2"
"206","Evan Engram","TE","DEN","2026","2","JAX","7.2"
"207","Drew Stevens","K","WAS","2026","2","DAL","7.1"
"208","Dominic Zvada","K","NYG","2026","2","LA","7.1"
"209","Pittsburgh Steelers","DST","PIT","2026","2","NE","7.0"
"210","New England Patriots","DST","NE","2026","2","PIT","7.0"
"211","Carolina Panthers","DST","CAR","2026","2","ATL","7.0"
"212","Chicago Bears","DST","CHI","2026","2","MIN","7.0"
"213","Jason Sanders","K","NYJ","2026","2","GB","6.9"
"214","Los Angeles Chargers","DST","LAC","2026","2","LV","6.9"
"215","Jonathon Brooks","RB","CAR","2026","2","ATL","6.9"
"216","Spencer Shrader","K","IND","2026","2","KC","6.9"
"217","Woody Marks","RB","HST","2026","2","CIN","6.9"
"218","Gunnar Helm","TE","TEN","2026","2","PHI","6.9"
"219","Houston Texans","DST","HST","2026","2","CIN","6.8"
"220","Daniel Carlson","K","NO","2026","2","BLT","6.8"
"221","Jauan Jennings","WR","MIN","2026","2","CHI","6.7"
"222","Arizona Cardinals","DST","ARZ","2026","2","SEA","6.6"
"223","AJ Barner","TE","SEA","2026","2","ARZ","6.6"
"224","Darnell Mooney","WR","NYG","2026","2","LA","6.6"
"225","Bryce Lance","WR","NO","2026","2","BLT","6.6"
"226","Kalif Raymond","WR","CHI","2026","2","MIN","6.6"
"227","Matt Gay","K","LV","2026","2","LAC","6.6"
"228","Emmett Johnson","RB","KC","2026","2","IND","6.6"
"229","Rashid Shaheed","WR","SEA","2026","2","ARZ","6.5"
"230","Denver Broncos","DST","DEN","2026","2","JAX","6.5"
"231","Chad Ryland","K","ARZ","2026","2","SEA","6.5"
"232","Atlanta Falcons","DST","ATL","2026","2","CAR","6.4"
"233","Greg Dulcich","TE","MIA","2026","2","SF","6.4"
"234","Braelon Allen","RB","NYJ","2026","2","GB","6.4"
"235","Samaje Perine","RB","CIN","2026","2","HST","6.4"
"236","Devin Singletary","RB","NYG","2026","2","LA","6.2"
"237","Chris Boswell","K","PIT","2026","2","NE","6.2"
"238","Mason Taylor","TE","NYJ","2026","2","GB","6.0"
"239","Malachi Fields","WR","NYG","2026","2","LA","6.0"
"240","Kenyon Sadiq","TE","NYJ","2026","2","GB","6.0"
"241","Andre Szmyt","K","CLV","2026","2","TB","5.9"
"242","Mike Gesicki","TE","CIN","2026","2","HST","5.9"
"243","Riley Patterson","K","MIA","2026","2","SF","5.9"
"244","Joey Slye","K","TEN","2026","2","PHI","5.8"
"245","Chris Rodriguez Jr.","RB","JAX","2026","2","DEN","5.7"
"246","Cleveland Browns","DST","CLV","2026","2","TB","5.7"
"247","Calvin Ridley","WR","TEN","2026","2","PHI","5.7"
"248","Cincinnati Bengals","DST","CIN","2026","2","HST","5.7"
"249","Jacksonville Jaguars","DST","JAX","2026","2","DEN","5.7"
"250","Jahan Dotson","WR","ATL","2026","2","CAR","5.6"
"251","Tennessee Titans","DST","TEN","2026","2","PHI","5.6"
"252","Dallas Cowboys","DST","DAL","2026","2","WAS","5.6"
"253","Derius Davis","WR","LAC","2026","2","LV","5.5"
"254","Xavier Legette","WR","CAR","2026","2","ATL","5.5"
"255","Isaac TeSlaa","WR","DET","2026","2","BUF","5.4"
"256","Chris Bell","WR","MIA","2026","2","SF","5.4"
"257","Charlie Kolar","TE","LAC","2026","2","LV","5.4"
"258","Las Vegas Raiders","DST","LV","2026","2","LAC","5.3"
"259","Keon Coleman","WR","BUF","2026","2","DET","5.3"
"260","Tyquan Thornton","WR","KC","2026","2","IND","5.1"
"261","Cole Kmet","TE","CHI","2026","2","MIN","5.1"
"262","Raheim Sanders","RB","CLV","2026","2","TB","5.0"
"263","Isaiah Williams","WR","NYJ","2026","2","GB","5.0"
"264","Roman Wilson","WR","PIT","2026","2","NE","5.0"
"265","New York Jets","DST","NYJ","2026","2","GB","5.0"
"266","Xavier Hutchinson","WR","HST","2026","2","CIN","4.9"
"267","Brian Robinson","RB","ATL","2026","2","CAR","4.9"
"268","Minnesota Vikings","DST","MIN","2026","2","CHI","4.9"
"269","Ben Sinnott","TE","WAS","2026","2","DAL","4.9"
"270","Buffalo Bills","DST","BUF","2026","2","DET","4.8"
"271","Jack Bech","WR","LV","2026","2","LAC","4.8"
"272","New York Giants","DST","NYG","2026","2","LA","4.8"
"273","Andrei Iosivas","WR","CIN","2026","2","HST","4.7"
"274","Washington Commanders","DST","WAS","2026","2","DAL","4.6"
"275","Darren Waller","TE","CAR","2026","2","ATL","4.6"
"276","Miami Dolphins","DST","MIA","2026","2","SF","4.5"
"277","Indianapolis Colts","DST","IND","2026","2","KC","4.3"
"278","Jaylin Noel","WR","HST","2026","2","CIN","4.3"
"279","Elic Ayomanor","WR","TEN","2026","2","PHI","4.2"
"280","Terrance Ferguson","TE","LA","2026","2","NYG","4.2"
"281","Dawson Knox","TE","BUF","2026","2","DET","4.1"
"282","Josh Palmer","WR","BUF","2026","2","DET","4.1"
"283","Dyami Brown","WR","WAS","2026","2","DAL","4.0"
"284","Detroit Lions","DST","DET","2026","2","BUF","4.0"
"285","Alvin Kamara","RB","NO","2026","2","BLT","3.9"
"286","Jordan Whittington","WR","LA","2026","2","NYG","3.9"
"287","Tommy Tremble","TE","CAR","2026","2","ATL","3.9"
"288","Jonnu Smith","TE","GB","2026","2","NYJ","3.8"
"289","Ray Davis","RB","BUF","2026","2","DET","3.8"
"290","Noah Fant","TE","NO","2026","2","BLT","3.7"
"291","New Orleans Saints","DST","NO","2026","2","BLT","3.7"
"292","Darnell Washington","TE","PIT","2026","2","NE","3.6"
"293","Kendre Miller","RB","NO","2026","2","BLT","3.5"
"294","Theo Johnson","TE","NYG","2026","2","LA","3.5"
"295","Mike Washington Jr.","RB","LV","2026","2","LAC","3.4"
"296","Olamide Zaccheaus","WR","ATL","2026","2","CAR","3.4"
"297","Sione Vaki","RB","DET","2026","2","BUF","3.3"
"298","Noah Gray","TE","KC","2026","2","IND","3.3"
"299","Nate Boerkircher","TE","JAX","2026","2","DEN","3.3"
"300","Xavier Smith","WR","LA","2026","2","NYG","3.1"
"301","Drew Sample","TE","CIN","2026","2","HST","3.1"
