,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB
2023,26,Joe Burrow,CIN,QB,1,3,LA,12.655086848635236,51,53.1,5.29,0,1,59.8,-0.125,0.18,9,44.4,4.22,0,1,17.1,-0.509,0.06,41,56.4,5.67,0,0,72.7,-0.048,0.22,23,39.1,3.7,0,1,32,-0.24,0.1,28,65.4,6.69,0,0,84.5,-0.031,0.25
2023,27,Joe Burrow,CIN,QB,1,5,ARZ,12.655086848635236,51,78.3,6.89,3,1,108.1,0.196,0.49,8,85.7,6.14,2,0,131.8,0.388,1.22,40,75.7,7.32,1,1,93.4,0.246,0.38,15,78.6,5.93,1,0,115.2,0.141,0.49,36,78.1,7.31,2,1,104.9,0.219,0.49
2023,28,Sam Howell,WAS,QB,1,4,PHI,7.193229901269394,51,70.7,7.07,1,0,98.6,0.211,0.37,22,68.8,7.94,0,0,92.4,0.116,0.34,26,72.7,6.82,0,0,91.1,0.165,0.27,35,69.2,7.96,0,0,92.9,0.148,0.33,16,73.3,5.53,1,0,108.5,0.349,0.46
2023,29,Sam Howell,WAS,QB,1,9,NE,7.193229901269394,51,64.4,7.22,1,1,84,0.146,0.37,28,50,5.36,1,0,81.3,-0.013,0.42,22,81.8,9.41,0,0,105.9,0.604,0.38,30,52,6.52,0,0,72.6,0.167,0.32,21,80,8.1,1,1,96.3,0.115,0.45
2023,30,Tyrod Taylor,NYG,QB,1,17,LA,22.421524663677133,50,65.9,7.78,1,1,87.3,-0.018,0.38,10,62.5,15.25,1,0,145.8,0.633,1.2,38,71,6.35,0,1,74.3,-0.172,0.19,35,65.5,9.24,1,1,92.3,0.143,0.49,15,66.7,4.25,0,0,75.3,-0.393,0.14
2023,31,Kirk Cousins,MIN,QB,1,5,KC,15.105740181268882,50,61.7,6.04,2,0,92.9,-0.062,0.39,22,61.9,4.95,2,0,106.1,0.141,0.55,26,64,7.2,0,0,85.4,-0.181,0.28,16,53.3,4.47,1,0,87.4,0.068,0.42,34,65.6,6.78,1,0,95.4,-0.123,0.37
2023,32,Trevor Siemian,NYJ,QB,1,17,CLV,29.94011976047904,50,71.1,5.8,1,1,83.7,-0.285,0.29,15,45.5,9.27,1,0,108.9,0.051,0.58,35,79.4,4.68,0,1,73.9,-0.428,0.17,26,68.2,6.55,1,0,101.3,-0.047,0.4,24,73.9,5.09,0,1,66.8,-0.542,0.17
2023,33,Jared Goff,DET,QB,1,12,GB,7.78816199376947,50,65.9,7.55,2,0,103.6,-0.215,0.44,11,63.6,10.18,0,0,97.5,0.409,0.41,37,67.7,6.71,1,0,97.2,-0.393,0.36,28,62.5,8.38,1,0,103,-0.271,0.44,22,70,6.55,1,0,104.4,-0.143,0.44
2023,34,Patrick Mahomes,KC,QB,1,11,PHI,7.418397626112759,50,55.8,4.12,2,1,71.6,-0.245,0.36,19,52.9,3.47,1,0,80.3,-0.383,0.35,29,62.5,4.92,1,1,71.2,-0.114,0.39,30,60,3.6,2,1,77.1,-0.474,0.46,20,50,4.83,0,0,63.9,0.098,0.21
2023,35,Baker Mayfield,TB,QB,1,11,SF,7.861635220125786,50,64.4,5.47,1,1,76.7,-0.172,0.26,6,50,4,1,0,100,-0.149,0.83,41,69.4,6.06,0,0,85.2,-0.058,0.22,28,61.5,6.31,0,0,79.6,0.081,0.23,22,68.4,4.32,1,1,72.7,-0.494,0.3
2023,36,Josh Allen,BUF,QB,1,1,NYJ,7.680491551459294,50,70.7,5.76,1,3,62.7,0.036,0.28,12,60,5.9,0,1,37.1,0.033,0.11,35,75,6.04,0,2,60,-0.032,0.23,20,76.5,6.82,0,1,69.7,0.131,0.18,30,66.7,5,1,2,57.6,-0.026,0.34
2023,37,Daniel Jones,NYG,QB,1,4,SEA,23.809523809523807,50,79.4,5.97,0,2,67,-0.488,0.23,2,100,12,0,0,116.7,0.093,0.24,48,78.8,5.79,0,2,65.5,-0.513,0.23,23,78.6,7.5,0,1,68.2,-0.721,0.29,27,80,4.9,0,1,66.3,-0.29,0.18
