,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,G,ALIGN,RTE %,TGT %,RTE,TGT,YPRR,TPRR,aDOT,AY,YDS,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,61,Philadelphia Eagles,17,Slot,100,35.45232273838631,2255,145,0.38,0.06,8.94,1296,857,5.91,10.08,85,58.6,345,4.06,143,1.68,1,2.9,16,8,0,39,0.017,66.4,99,0,16,11,117,80.7,19,12.7,16,11,28,13,46.4,3,10,0.12,0,-1.87,-0.163,146.2,100,32.4,3.4,176.7,223.4,10.39,13.14,-2.75,0.08,0.1,223.4
2025,62,Green Bay Packers,17,Slot,100,29.67581047381546,2177,119,0.37,0.05,6.98,831,811,6.82,9.01,90,75.6,375,4.17,155,1.72,8,6.71,19,8,6,46,0.021,105.4,86,0,16,13.4,100,84,12,7.9,4,3.4,25,19,76,1,12,0.13,0,-0.41,0.356,179.8,100,53.8,3.4,219.1,203.2,12.89,11.96,0.93,0.1,0.09,203.2
2025,63,Minnesota Vikings,17,Slot,100,36.92307692307693,1811,120,0.44,0.07,7.94,953,805,6.71,9.7,83,69.2,315,3.8,110,1.33,4,4.2,14,9,3,35,0.019,91.8,88,0,14,11.7,95,79.2,11,9.1,8,6.7,9,4,44.4,0,12,0.14,0,-0.78,0.145,122.5,100,45.8,2.5,187.5,201.6,11.03,11.86,-0.83,0.1,0.11,201.6
2025,64,Cleveland Browns,17,Slot,100,32.686980609418285,1932,118,0.41,0.06,8.48,1001,800,6.78,10.81,74,62.7,387,5.23,131,1.77,4,6.4,18,7,1,41,0.021,86.8,96,0,15,12.7,85,72,15,16.4,7,5.9,16,10,62.5,1,4,0.05,0,-1.01,0.126,150.8,100,50.8,4.2,178,195.3,10.47,11.49,-1.02,0.09,0.1,195.3
2025,65,Cincinnati Bengals,16,Inline,100,19.35483870967742,2070,78,0.36,0.04,5.81,453,736,9.44,13.14,56,71.8,490,8.75,164,2.93,7,6.26,17,6,3,37,0.018,125.8,49,0,7,9,70,89.7,4,30.2,6,7.7,8,0,0,0,12,0.21,0,2.29,0.538,232.1,179.5,98.7,5.1,171.6,160,10.72,10,0.72,0.08,0.08,160
2025,66,Tennessee Titans,17,Inline,100,19.25,2071,77,0.33,0.04,4.74,365,692,8.99,10.65,65,84.4,448,6.89,151,2.32,5,5.02,9,5,3,35,0.017,120.3,48,0,10,13,70,90.9,3,15.5,1,1.3,9,4,44.4,1,6,0.09,0,2.19,0.453,254.5,161,100,3.9,164.2,148.9,9.66,8.76,0.9,0.08,0.07,148.9
2025,67,Miami Dolphins,17,Inline,100,18.453865336658353,2066,74,0.31,0.04,5.39,399,642,8.68,9.88,65,87.8,355,5.46,77,1.18,4,4.66,12,5,3,33,0.016,120.8,59,0,5,6.8,68,91.9,4,12.5,2,2.7,6,4,66.7,0,4,0.06,0,1.68,0.462,243.2,193.2,98.6,5.4,153.2,147.1,9.01,8.65,0.36,0.07,0.07,147.1
2025,68,Indianapolis Colts,17,Inline,100,15.163934426229508,2448,74,0.25,0.03,6.26,463,606,8.19,10.45,58,78.4,305,5.26,92,1.59,1,2.11,9,4,1,33,0.013,105.3,45,0,4,5.4,69,93.2,0,9.3,4,5.4,18,12,66.7,0,2,0.03,0,0.81,0.41,316.2,240.5,100,2.7,124.6,124.3,7.33,7.31,0.02,0.05,0.05,124.3
2025,69,Washington Commanders,17,Inline,100,15.914489311163896,2161,67,0.27,0.03,4.99,334,589,8.79,11.55,51,76.1,384,7.53,120,2.35,6,5.5,12,5,2,29,0.013,132,46,0,4,6,60,89.6,4,15.6,6,9,9,6,66.7,1,7,0.14,0,1.89,0.443,294,223.9,98.5,10.4,145.9,134,8.58,7.88,0.7,0.07,0.06,134
2025,70,San Francisco 49ers,17,Inline,100,18.2648401826484,2236,80,0.26,0.04,6.05,484,587,7.34,10.48,56,70,324,5.79,97,1.73,6,5.83,15,5,3,30,0.013,105.6,47,0,8,10,63,78.8,6,16.3,3,3.8,11,7,63.6,0,7,0.13,0,-0.09,0.154,233.8,207.5,100,6.3,150.7,143.5,8.86,8.44,0.42,0.07,0.06,143.5
2025,71,Tampa Bay Buccaneers,17,Inline,100,16.478555304740404,2255,73,0.25,0.03,5.49,401,574,7.86,9.73,59,80.8,326,5.53,102,1.73,6,4.68,9,2,1,27,0.012,115.4,48,0,7,9.6,65,89,3,6,1,1.4,11,7,63.6,0,10,0.17,0,0.97,0.279,302.7,197.3,100,6.8,152.4,135.6,8.96,7.98,0.98,0.07,0.06,135.6
2025,72,Arizona Cardinals,16,Inline,100,16.666666666666664,2198,71,0.25,0.03,6.44,457,555,7.82,10.88,51,71.8,269,5.27,93,1.82,8,8.51,22,6,3,32,0.015,126.2,52,0,3,4.2,64,90.1,3,15.4,10,14.1,7,1,14.3,1,3,0.06,0,0.48,0.423,278.9,216.9,100,4.2,154.5,161.3,9.66,10.08,-0.42,0.07,0.07,161.3
2025,73,Pittsburgh Steelers,15,Inline,100,13.91304347826087,2425,64,0.23,0.03,4.03,258,555,8.67,9.57,58,90.6,336,5.79,101,1.74,3,2.58,10,2,1,22,0.009,118.4,38,0,2,3.1,60,93.8,0,11.5,2,3.1,6,5,83.3,0,10,0.17,0,2.08,0.311,364.1,251.6,100,3.1,131.5,116.1,8.77,7.74,1.03,0.05,0.05,116.1
