,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,164,Ian Thomas,LV,TE,1,2,LAC,100,100,7,0,1.57,0.14,0,0,3.6,3.4,0,0,0,0,1,1,11,0,1,0,0,0,0,0,6,0,1.83,0.17,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0
2026,165,Luke Schoonmaker,DAL,TE,1,2,WAS,100,0,7,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
2026,166,Blake Whiteheart,CLV,TE,1,2,TB,87.5,100,7,-0.143,2.43,0.29,0,0,7.3,6.7,0,0,0,14.3,2,1,17,1,8,2,-0.5,8.5,0.5,0,5,0,0,0.2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
2026,167,Jacob Cowing,SF,WR,1,2,MIA,100,0,7,0.143,0,0,14.3,7.7,10.7,0,0,14.3,0,14.3,0,0,0,0,0,3,0.333,0,0,33.3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2026,168,Dohnte Meyers,CIN,WR,1,2,HST,100,100,7,0,0,0.14,0,0,0.7,3.2,0,0,0,0,1,0,0,0,-4,1,0,0,0,0,6,0,0,0.17,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0
2026,169,Lewis Bond,HST,WR,1,2,CIN,70,0,7,0.429,0,0,28.6,6.9,11.1,0,14.3,14.3,0,0,0,0,0,0,0,1,1,0,0,100,6,0.333,0,0,16.7,0,0,0,0,0,2,0,0,3,0.667,33.3,0,0,0,1,0,0
2026,170,Nate Boerkircher,JAX,TE,1,2,DEN,100,0,7,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2026,171,Brenen Thompson,LAC,WR,1,2,LV,100,100,7,0.429,1.86,0.43,42.9,42.9,11.9,11.1,28.6,14.3,0,14.3,3,1,13,0,47,1,2,0,1,100,6,0.167,2.17,0.33,33.3,0,0,0,0,0,2,0.5,50,3,0,33.3,1,0,0,0,0,0
2026,172,Sam Roush,CHI,TE,1,2,MIN,100,100,7,0,1.29,0.43,0,0,3.7,8.6,0,0,0,0,3,1,9,0,16,0,0,0,0,0,6,0,1.5,0.5,0,1,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0
2026,173,Demarcus Robinson,SF,WR,1,2,MIA,85.71428571428571,100,6,0.333,5.67,0.5,33.3,15.4,7.7,13.6,33.3,0,0,0,3,3,34,0,26,1,0,0,0,0,5,0.4,6.8,0.6,40,0,0,0,0,0,1,0,0,2,0.5,50,1,1,100,1,0,0
2026,174,KhaDarel Hodge,SF,WR,1,2,MIA,100,100,6,0.333,3,0.17,16.7,7.7,11.7,4.5,0,16.7,0,0,1,1,18,0,16,2,0,0,0,0,4,0.5,4.5,0.25,25,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,100
2026,175,Foster Moreau,HST,TE,1,2,CIN,85.71428571428571,100,6,0.5,5.67,0.33,16.7,3.4,5.2,3.6,0,0,16.7,0,2,2,34,0,13,1,3,0,0,100,5,0,6.8,0.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0
2026,176,Marquise Brown,PHI,WR,1,2,TEN,100,0,6,0.333,0,0,16.7,6.7,4,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,6,0.333,0,0,16.7,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,1,50
2026,177,Adam Trautman,DEN,TE,1,2,JAX,100,0,6,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
2026,178,Alec Pierce,IND,WR,1,2,KC,100,100,6,0.167,1.83,0.17,33.3,9.5,6.5,3.2,16.7,16.7,0,33.3,1,1,11,0,10,3,0.333,0,0,33.3,3,0,3.67,0.33,33.3,0,0,0,0,0,0,0,0,3,0,33.3,0,0,0,0,0,0
2026,179,Nate Adkins,DEN,TE,1,2,JAX,100,100,6,0,5.33,0.5,0,0,2.7,9.7,0,0,0,0,3,3,32,1,23,0,0,0,0,0,6,0,5.33,0.5,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0
2026,180,Davis Allen,LA,TE,1,2,NYG,100,100,6,0,1.17,0.17,0,0,4.5,3.2,0,0,0,0,1,1,7,0,2,1,0,0,0,0,4,0,1.75,0.25,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2026,181,Theo Johnson,NYG,TE,1,2,LA,100,100,6,0.5,0,0.67,50,15,5.5,12.5,50,0,0,0,4,0,0,0,47,3,0.667,0,0.67,66.7,3,0.333,0,0.67,33.3,0,0,0,0,0,0,0,0,2,0,0,1,1,100,0,0,0
2026,182,Jackson Hawes,BUF,TE,1,2,DET,100,0,6,-0.167,0,0,0,0,3,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,-1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
2026,183,J. Sturdivant,GB,WR,1,2,NYJ,100,0,6,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2026,184,Zachariah Branch,ATL,WR,1,2,CAR,100,100,6,0,2.33,0.33,0,0,-1.2,6.3,0,0,0,0,2,2,14,0,-7,1,0,0,0,0,5,0,2.8,0.4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
2026,185,Chris Manhertz,NYG,TE,1,2,LA,100,0,5,-0.2,0,0,0,0,5.4,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,4,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.333,0,1,0,0
2026,186,John Bates,WAS,TE,1,2,DAL,100,0,5,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
2026,187,Brock Wright,DET,TE,1,2,BUF,100,0,5,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2026,188,Andrew Ogletree,IND,TE,1,2,KC,100,100,5,-0.2,0,0.2,0,0,-0.8,3.2,0,0,0,20,1,0,0,0,4,2,-0.5,0,0,0,3,0,0,0.33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2026,189,Nick Muse,ATL,TE,1,2,CAR,100,0,5,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
2026,190,Brevyn Spann-Ford,DAL,TE,1,2,WAS,100,0,5,0.2,0,0,20,7.1,1.8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.25,0,0,25,1,0,0,0,0,3,0,0,0,0,0,1,1,100,0,0,0
2026,191,Jaylin Lane,WAS,WR,1,2,DAL,100,0,5,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
2026,192,Eli Raridon,NE,TE,1,2,PIT,100,100,5,0.2,6,0.2,20,11.1,2.8,4.5,20,0,0,0,1,1,30,0,26,3,0.333,10,0.33,33.3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2026,193,Mo Alie-Cox,IND,TE,1,2,KC,100,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,194,Eric Saubert,SEA,TE,1,2,ARZ,100,100,4,0,-2.5,0.25,0,0,-1.7,3.8,0,0,0,0,1,1,-10,0,-11,0,0,0,0,0,4,0,-2.5,0.25,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0
2026,195,Cody White,LV,WR,1,2,LAC,66.66666666666666,100,4,-0.25,6,0.5,0,0,11.5,6.9,0,0,0,25,2,2,24,2,33,0,0,0,0,0,3,0,0,0,0,1,-1,13,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2026,196,Tylan Wallace,CLV,WR,1,2,TB,100,0,4,-0.25,0,0,0,0,7,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,3,-0.333,0,0,0,0,0,0,0,0,1,-1,0,2,0,0,0,0,0,0,0,0
2026,197,Bo Melton,GB,WR,1,2,NYJ,100,100,4,-0.25,0,0.25,0,0,7.5,3.4,0,0,0,25,1,0,0,0,6,1,-1,0,0,0,3,0,0,0.33,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2026,198,John Metchie,CAR,WR,1,2,ATL,100,0,4,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026,199,Erick All,CIN,TE,1,2,HST,100,100,4,0,1.25,0.5,0,0,-0.7,6.5,0,0,0,0,2,2,5,0,-1,0,0,0,0,0,4,0,1.25,0.5,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2026,200,Jake Briningstool,KC,TE,1,2,IND,100,0,4,-0.25,0,0,0,0,9.5,0,0,0,0,25,0,0,0,0,0,1,-1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2026,201,Jahdae Walker,CHI,WR,1,2,MIN,100,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026,202,Mark Redman,GB,TE,1,2,NYJ,100,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
2026,203,Jalen Royals,KC,WR,1,2,IND,100,100,4,-0.25,1.5,0.5,0,0,1.5,4.3,0,0,0,25,2,2,6,1,8,2,-0.5,0.5,0.5,0,2,0,2.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026,204,Josh Cuevas,BLT,TE,1,2,NO,100,0,4,-0.25,0,0,0,0,5.8,0,0,0,0,25,0,0,0,0,0,1,-1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2026,205,Jonnu Smith,GB,TE,1,2,NYJ,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2026,206,Braxton Berrios,NYG,WR,1,2,LA,100,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,207,Josh Oliver,MIN,TE,1,2,CHI,100,100,3,0,8,0.33,0,0,6.3,5,0,0,0,0,1,1,24,0,5,1,0,24,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026,208,Quintin Morris,JAX,TE,1,2,DEN,100,100,3,0,2.33,0.33,0,0,9,3.4,0,0,0,0,1,1,7,0,3,0,0,0,0,0,3,0,2.33,0.33,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2026,209,Hunter Long,ARZ,TE,1,2,SEA,100,0,3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2026,210,KaVontae Turpin,DAL,WR,1,2,WAS,100,0,3,1,0,0,33.3,7.1,7,0,0,0,33.3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,100
2026,211,Daniel Bellinger,TEN,TE,1,2,PHI,60,100,3,0,0,0.33,0,0,4.3,5,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2026,212,Derius Davis,LAC,WR,1,2,LV,100,100,3,-0.667,0,0.33,0,0,8.3,3.7,0,0,0,66.7,1,0,0,0,19,0,0,0,0,0,3,-0.667,0,0.33,0,0,0,0,0,0,0,0,0,2,-0.5,0,0,0,0,1,-1,0
2026,213,Elijah Higgins,ARZ,TE,1,2,SEA,100,0,3,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
2026,214,Jonathan Mingo,DAL,WR,1,2,WAS,75,0,3,-0.333,0,0,0,0,8.7,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,3,-0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.333,0,0,0,0
2026,215,Tory Horton,SEA,WR,1,2,ARZ,75,0,3,-0.333,0,0,0,0,18,0,0,0,0,33.3,0,0,0,0,0,2,-0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026,216,Cyrus Allen,KC,WR,1,2,IND,100,0,3,-1,0,0,0,0,5.3,0,0,0,0,66.7,0,0,0,0,0,2,-0.5,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0
2026,217,Malik Benson,LV,WR,1,2,LAC,75,100,3,0,0,0.33,0,0,7,3.4,0,0,0,0,1,0,0,0,28,0,0,0,0,0,3,0,0,0.33,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
2026,218,Oscar Delp,NO,TE,1,2,BLT,100,100,3,0,2.67,0.33,0,0,3.7,2.9,0,0,0,0,1,1,8,0,7,0,0,0,0,0,3,0,2.67,0.33,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2026,219,Colbie Young,CIN,WR,1,2,HST,75,100,3,0,2.33,0.33,0,0,6.3,3.2,0,0,0,0,1,1,7,0,6,0,0,0,0,0,3,0,2.33,0.33,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2026,220,Josh Cameron,JAX,WR,1,2,DEN,100,0,3,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2026,221,Odell Beckham,NYG,WR,1,2,LA,100,0,2,0.5,0,0,50,5,6,0,50,0,0,0,0,0,0,0,0,1,1,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026,222,Tyler Conklin,DET,TE,1,2,BUF,100,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,223,Lil'Jordan Humphrey,DEN,WR,1,2,JAX,100,100,2,-0.5,0,0.5,0,0,5,3.2,0,0,0,50,1,0,0,0,14,1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,224,Ben Skowronek,PIT,WR,1,2,NE,100,100,2,0,1,0.5,0,0,7.5,2.5,0,0,0,0,1,1,2,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,225,Kevin Austin,NO,WR,1,2,BLT,100,100,2,0,3.5,0.5,0,0,7.5,2.9,0,0,0,0,1,1,7,0,6,0,0,0,0,0,2,0,3.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026,226,Jelani Woods,NYJ,TE,1,2,GB,100,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026,227,Cameron Latu,NE,TE,1,2,PIT,100,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2026,228,Ryan Miller,MIA,WR,1,2,SF,100,100,2,0.5,38.5,0.5,50,10,8,4.3,50,0,0,0,1,1,77,1,41,0,0,0,0,0,2,0.5,38.5,0.5,50,0,0,0,0,0,0,0,0,2,0.5,50,0,0,0,0,0,0
2026,229,Jayden Reed,GB,WR,1,2,NYJ,100,100,2,0,2,0.5,0,0,-6,3.4,0,0,0,0,1,1,4,0,-5,0,0,0,0,0,2,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2026,230,Jalen McMillan,TB,WR,1,2,CLV,100,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026,231,Keleki Latu,BUF,TE,1,2,DET,100,0,2,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026,232,Isaiah Bond,CLV,WR,1,2,TB,100,100,2,0,5,0.5,0,0,5.5,3.3,0,0,0,0,1,1,10,0,7,2,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,233,Bauer Sharp,TB,TE,1,2,CLV,100,0,2,0.5,0,0,50,3.1,5.5,0,50,0,0,0,0,0,0,0,0,1,1,0,0,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026,234,Tyler Higbee,LA,TE,1,2,NYG,50,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,235,Robert Tonyan,PIT,TE,1,2,NE,100,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,236,Dareke Young,LV,WR,1,2,LAC,50,100,1,0,27,1,0,0,10,3.4,0,0,0,0,1,1,27,0,11,0,0,0,0,0,1,0,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026,237,Brayden Willis,SF,TE,1,2,MIA,100,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026,238,Brycen Tremayne,CAR,WR,1,2,ATL,100,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,239,Jackson Meeks,DET,TE,1,2,BUF,100,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,240,Efton Chism,NE,WR,1,2,PIT,100,100,1,0,-2,1,0,0,-3,4.5,0,0,0,0,1,1,-2,0,-1,0,0,0,0,0,1,0,-2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,241,Arian Smith,NYJ,WR,1,2,GB,100,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,242,Chimere Dike,TEN,WR,1,2,PHI,100,0,1,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,243,Barion Brown,NO,WR,1,2,BLT,100,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,244,Carsen Ryan,CLV,TE,1,2,TB,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,245,Deion Burks,IND,WR,1,2,KC,100,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,246,Marlin Klein,HST,TE,1,2,CIN,100,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-23 21:56 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
