,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,32,Emeka Egbuka,TB,WR,1,2,CLV,96.7741935483871,100,30,0.2,0.53,0.17,30,28.1,8.8,14.7,30,0,0,10,5,3,16,1,81,19,0.263,0.84,0.26,42.1,10,0.1,0,0,10,1,0,0,0,0,2,0,0,7,0.143,14.3,1,0,0,0,0,0
2026,33,Kalif Raymond,CHI,WR,1,2,MIN,96.66666666666667,100,29,-0.034,1.38,0.17,0,0,7.4,14.3,0,0,0,3.4,5,5,40,0,6,2,-0.5,0,0,0,23,0,1.39,0.17,0,4,0,2,0.25,0,8,0,0,8,0,0,1,0,0,6,0,0
2026,34,Isaiah Likely,NYG,TE,1,2,LA,100,100,29,0.069,1.14,0.31,13.8,20,5.5,28.1,6.9,6.9,0,13.8,9,5,33,0,46,13,0.077,0.77,0.31,23.1,16,0.063,1.44,0.31,6.3,0,0,0,0,0,2,0,0,3,0,0,9,0.111,11.1,2,0,0
2026,35,Cade Otton,TB,TE,1,2,CLV,96.66666666666667,100,29,0.138,1.31,0.21,20.7,18.8,3.6,17.6,20.7,0,0,6.9,6,5,38,0,39,20,0.2,1.45,0.25,30,9,0,1,0.11,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0
2026,36,Makai Lemon,PHI,WR,1,2,TEN,93.54838709677419,100,29,0,0.48,0.03,3.4,6.7,4.5,2.7,0,3.4,0,6.9,1,1,14,0,14,5,-0.4,0,0,0,23,0.087,0.61,0.04,4.3,1,0,0,0,0,4,0,0,4,0,0,8,0,0,7,0.286,14.3
2026,37,Jakobi Meyers,JAX,WR,1,2,DEN,100,100,28,0.107,1,0.04,21.4,40,10.9,3.4,17.9,3.6,0,14.3,1,1,28,0,19,12,-0.083,0,0,25,15,0.267,1.87,0.07,20,1,0,0,0,0,3,0,0,2,1,50,3,0.333,33.3,7,0.143,14.3
2026,38,Jared Wayne,HST,WR,1,2,CIN,90.32258064516128,100,28,0,1.18,0.25,14.3,13.8,8.4,12.5,14.3,0,0,14.3,7,2,33,0,102,7,0.143,2.57,0.43,42.9,19,0,0.79,0.21,5.3,2,-0.5,0,0,0,4,0,0,9,0,11.1,2,0,0,4,0,0
2026,39,Malik Nabers,NYG,WR,1,2,LA,100,100,28,-0.143,0.04,0.14,7.1,10,3,12.5,7.1,0,0,21.4,4,1,1,0,83,13,-0.385,0,0.08,0,15,0.067,0.07,0.2,13.3,0,0,0,0,0,2,0,0,4,0.25,25,8,0.125,12.5,1,-1,0
2026,40,Ryan Flournoy,DAL,WR,1,2,WAS,100,100,28,0,0.82,0.21,3.6,7.1,3.6,19.4,3.6,0,0,3.6,6,5,23,0,9,3,0,0,0.33,0,21,0,1.1,0.24,4.8,4,0,0,0,0,8,0,0,2,0,0,8,-0.125,0,3,0.333,33.3
2026,41,Parker Washington,JAX,WR,1,2,DEN,100,100,27,0,3.63,0.44,14.8,26.7,9.5,41.4,14.8,0,0,14.8,12,7,98,0,163,13,0.077,3.46,0.46,30.8,13,-0.077,4.08,0.46,0,1,0,0,0,0,3,-0.333,0,2,0,0,3,0,0,5,0,0
