,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,27,MarShawn Lloyd,GB,RB,1,12,76.92307692307693,72,10,83.3,0,35,3.5,0,1.15,0,2,10,12,34.3,0,0,60,40,-36.5,1.8,40,1.7,48.6,0,0,-0.212,-2.1,5,50,11,0,2.2,40,5,50,24,0,4.8,80,3.5,14.1,3.5,14.06,-10.56
2026,28,Woody Marks,HST,RB,1,11,44.44444444444444,54.8,4,50,0,35,8.75,0,0,0,2,50,22,62.9,0,0,50,0,15.1,6.75,0,2,22.9,4,1,0.439,1.8,0,0,0,0,0,0,4,100,35,0,8.75,50,3.5,2,3.5,2.02,1.48
2026,29,Derrick Henry,BLT,RB,1,13,25,47.1,6,66.7,0,34,5.67,2,0.69,0,3,25,12,35.3,66.7,33.3,83.3,16.7,17.3,2.5,0,3.17,55.9,1,0.17,0.625,3.8,4,66.7,13,2,3.25,75,2,33.3,21,0,10.5,100,15.4,5.8,15.4,5.83,9.57
2026,30,Kyren Williams,LA,RB,1,13,72.72727272727273,61.9,8,50,0,34,4.25,1,0.33,0,3,0,0,0,66.7,12.5,75,25,8.5,2.88,12.5,1.38,32.4,0,0,0.315,2.5,1,12.5,5,1,5,100,7,87.5,29,0,4.14,71.4,9.4,4.5,9.4,4.51,4.89
2026,31,Breece Hall,NYJ,RB,1,13,22.727272727272727,81.8,5,62.5,0,34,6.8,0,0.02,0,4,40,25,73.5,0,0,80,20,12.2,4.6,20,2.2,32.4,0,0,0.359,1.8,1,20,3,0,3,100,4,80,31,0,7.75,75,3.4,2.3,3.4,2.3,1.1
2026,32,Ashton Jeanty,LV,RB,1,21,26.08695652173913,75,6,60,0,34,5.67,0,0.04,0,2,16.7,11,32.4,0,0,83.3,16.7,10.6,2.83,16.7,2.83,50,1,0.17,0.115,0.7,4,66.7,26,0,6.5,75,2,33.3,8,0,4,100,3.4,2.6,3.4,2.61,0.79
2026,33,Jeremiyah Love,ARZ,RB,1,11,63.63636363636363,45.7,7,43.8,0,34,4.86,1,0.98,0,2,16.7,18,52.9,100,14.3,57.1,42.9,-0.6,-0.71,71.4,5.57,114.7,3,0.43,0.24,1.7,6,85.7,34,1,5.67,66.7,1,14.3,0,0,0,0,9.4,9.3,9.4,9.33,0.07
2026,34,Jadarian Price,SEA,RB,1,21,60,100,6,100,0,34,5.67,0,0,0,3,16.7,13,38.2,0,0,83.3,16.7,8.9,2.83,16.7,2.83,50,1,0.17,0.281,1.7,6,100,34,0,5.67,83.3,0,0,0,0,0,0,3.4,2.5,3.4,2.54,0.86
2026,35,Derrick Henry,BLT,RB,1,11,16.666666666666664,33.3,4,50,0,33,8.25,0,0.21,0,1,33.3,22,66.7,0,0,50,50,14.8,6.5,25,1.75,21.2,0,0,0.188,0.8,3,75,31,0,10.33,66.7,1,25,2,0,2,0,3.3,3.1,3.3,3.06,0.24
2026,36,Chase Brown,CIN,RB,1,12,37.5,65,6,60,0,33,5.5,1,0.55,0,2,20,11,33.3,100,16.7,83.3,16.7,8.2,4.5,16.7,1,18.2,0,0,0.347,2.1,1,16.7,11,0,11,100,5,83.3,22,1,4.4,80,9.3,5.8,9.3,5.78,3.52
2026,37,David Montgomery,HST,RB,1,12,20,57.1,4,50,0,32,8,1,0.07,0,1,25,18,56.3,0,25,75,25,14.2,6.75,0,1.25,15.6,1,0.25,0.489,2,1,25,6,0,6,100,3,75,26,1,8.67,66.7,9.2,2.2,9.2,2.22,6.98
