,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2025,148,Tyler Allgeier,ATL,RB,1,16,ARZ,12.605042016806722,49.1,15,50,0,73,4.87,0,0.35,0,4,21.4,33,45.2,25,0,66.7,40,14.6,2.8,40,2.07,42.5,2,0.13,-0.004,-0.1,10,66.7,60,0,6,70,5,33.3,13,0,2.6,60,7.7,8.5,7.7,8.51,-0.81
2025,149,Kenneth Walker,SEA,RB,1,4,ARZ,8.717948717948717,55.1,17,58.6,0,73,4.29,0,0.11,0,2,11.8,41,56.2,0,0,35.3,47.1,1.5,2.65,52.9,1.65,38.4,5,0.29,-0.259,-4.4,10,58.8,60,0,6,30,7,41.2,13,0,1.86,42.9,7.3,9.5,7.3,9.46,-2.16
2025,150,Justice Hill,BLT,RB,1,4,KC,14.285714285714285,33.3,2,18.2,0,72,36,1,0,0,1,50,71,98.6,0,50,50,50,63.7,33.5,50,2.5,6.9,1,0.5,2.799,5.6,2,100,72,1,36,50,0,0,0,0,0,0,21.3,7.7,21.3,7.72,13.58
2025,151,D'Andre Swift,CHI,RB,1,10,NYG,5.641025641025641,61.9,11,61.1,0,72,6.55,0,0.09,0,4,30,48,66.7,100,0,45.5,45.5,26.5,3.27,45.5,3.27,50,3,0.27,0.17,1.9,4,36.4,12,0,3,25,7,63.6,60,0,8.57,57.1,12.7,11.5,12.7,11.51,1.19
2025,152,Kenneth Walker,SEA,RB,1,16,LA,3.5897435897435894,36.6,7,36.8,0,72,10.29,1,0.01,0,2,14.3,55,76.4,0,14.3,71.4,28.6,43.1,9.43,14.3,0.86,8.3,0,0,0.485,3.4,4,57.1,59,1,14.75,50,3,42.9,13,0,4.33,100,21.1,6.2,21.1,6.18,14.92
2025,153,Alvin Kamara,NO,RB,1,10,CAR,19,67.4,19,63.3,0,71,3.74,0,0.15,0,4,11.1,27,38,33.3,0,42.1,52.6,-4.6,1.84,36.8,1.89,50.7,5,0.26,-0.076,-1.4,14,73.7,71,0,5.07,50,5,26.3,0,0,0,20,7.1,8.5,7.1,8.46,-1.36
2025,154,David Montgomery,DET,RB,1,10,WAS,9.933774834437086,54.4,15,51.7,0,71,4.73,0,0.72,0,3,7.1,12,16.9,0,0,46.7,40,-3,3.07,6.7,1.67,35.2,1,0.07,-0.078,-1.2,12,80,56,0,4.67,50,3,20,15,0,5,33.3,7.1,11.7,7.1,11.73,-4.63
2025,155,Breece Hall,NYJ,RB,1,1,PIT,7.8817733990147785,58.7,16,50,0,71,4.44,0,0.23,0,4,13.3,30,42.3,33.3,0,43.8,50,1.9,2.19,25,2.25,50.7,4,0.25,-0.013,-0.2,15,93.8,65,0,4.33,40,1,6.3,6,0,6,100,11.4,9.8,11.4,9.83,1.57
2025,156,Emari Demercado,ARZ,RB,1,5,TEN,8.333333333333332,11.4,2,9.1,0,71,35.5,0,0.01,1,0,50,71,100,0,0,50,50,62.7,35.5,50,0,0,0,0,-1.458,-2.9,0,0,0,0,0,0,2,100,71,0,35.5,50,6.1,0.9,6.1,0.89,5.21
2025,157,Tyrone Tracy,NYG,RB,1,16,MIN,11.594202898550725,62.5,16,55.2,0,71,4.44,0,0.07,0,3,12.5,31,43.7,0,0,37.5,43.8,5.9,1.63,31.3,2.81,63.4,4,0.25,-0.14,-2.2,14,87.5,62,0,4.43,35.7,2,12.5,9,0,4.5,50,8.5,8.4,8.5,8.41,0.09
2025,158,Blake Corum,LA,RB,1,15,DET,8.94308943089431,50,11,39.3,0,71,6.45,1,0.36,0,4,20,35,49.3,33.3,9.1,81.8,27.3,29.5,4,36.4,2.45,38,2,0.18,0.438,4.8,1,9.1,2,0,2,100,10,90.9,69,1,6.9,80,13.1,6.3,13.1,6.3,6.8
2025,159,Jonathan Taylor,IND,RB,1,6,ARZ,6.048387096774194,86.5,15,88.2,0,70,4.67,1,1.03,0,5,18.2,30,42.9,75,6.7,80,26.7,16.9,0.47,40,4.2,90,0,0,0.071,1.1,8,53.3,53,0,6.63,87.5,7,46.7,17,1,2.43,71.4,17.7,15.3,17.7,15.26,2.44
2025,160,Kyren Williams,LA,RB,1,17,ATL,5.217391304347826,72.1,12,70.6,0,70,5.83,0,0.03,0,3,16.7,36,51.4,0,0,50,41.7,21.7,3.83,16.7,2,34.3,2,0.17,-0.337,-4,8,66.7,34,0,4.25,50,4,33.3,36,0,9,50,13.8,10.1,13.8,10.06,3.74
2025,161,Breece Hall,NYJ,RB,1,4,MIA,5.911330049261084,73.5,12,66.7,0,70,5.83,0,0.03,0,3,16.7,40,57.1,0,0,66.7,25,21.9,3.33,25,2.5,42.9,3,0.25,0.022,0.3,7,58.3,31,0,4.43,57.1,5,41.7,39,0,7.8,80,10.3,8.3,10.3,8.27,2.03
2025,162,Devin Neal,NO,RB,1,14,TB,40,71.4,18,64.3,0,70,3.89,1,1.03,0,3,5.9,21,30,100,5.6,50,38.9,-3.1,1.89,27.8,2,51.4,1,0.06,-0.187,-3.4,16,88.9,60,1,3.75,43.8,2,11.1,10,0,5,100,13,13.5,13,13.49,-0.49
2025,163,Chuba Hubbard,CAR,RB,1,3,ATL,13.274336283185843,68.4,15,65.2,0,69,4.6,0,0.12,0,2,0,0,0,0,0,53.3,26.7,-1.3,2.13,33.3,2.47,53.6,0,0,-0.068,-1,7,46.7,24,0,3.43,28.6,8,53.3,45,0,5.63,75,8,10,8,9.95,-1.95
