,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,9,Nico Collins,HST,WR,1,10,JAX,26.5625,25.64102564102564,89.9,17,89.5,10,52.6,6.71,0.59,13.9,139,52.7,114,73.1,11.4,19,6,60,21,3.5,15,2.5,0,0.06,0,2,1,0,4,0.235,99.6,9,56.3,0,0,8,80,2,16.7,1,10,4,2,50,0,0,0,58.8,2.94,-0.057,76.5,23.5,0,0,17.4,13,17.4,13.01,4.39,1.02,0.77,13
2025,10,Jordan Addison,MIN,WR,1,7,PHI,24.637681159420293,37.5,92.5,17,94.4,9,50,6.71,0.53,20.22,182,64.5,114,57.3,12.67,16.29,7,77.8,7,1,5,0.71,0,0.2,0,1,1,0,4,0.235,79.2,8,50,0,0,7,77.8,4,42.9,0,0,0,0,0,0,0,0,50,2.27,0.545,88.2,11.8,0,0,18.4,19.2,18.4,19.22,-0.82,1.08,1.13,19.2
2025,11,Rome Odunze,CHI,WR,1,8,BLT,24.285714285714285,27.27272727272727,93.5,17,85,9,45,6.71,0.53,14.44,130,65.3,114,55.3,12.67,16.29,7,77.8,19,2.71,9,1.29,0,0.07,0,1,0,0,7,0.412,79.2,6,40,0,0,8,88.9,2,50,0,0,4,3,75,0,0,0,45,2.94,0.759,70.6,29.4,0,0,18.4,18.1,18.4,18.12,0.28,1.08,1.07,18.1
2025,12,A.J. Brown,PHI,WR,1,12,DAL,27.77777777777778,34.48275862068966,93.1,15,93.8,10,62.5,7.33,0.67,9.1,91,40.3,110,67.5,11,13.75,8,80,37,4.63,27,3.38,1,1.44,100,2,1,1,6,0.4,145.8,9,69.2,0,0,10,100,0,14.3,1,10,1,0,0,0,2,0.25,66.7,3.12,0.842,100,0,0,0,25,27.8,25,27.8,-2.8,1.67,1.85,27.8
2025,13,Wan'Dale Robinson,NYG,WR,1,12,DET,21.818181818181817,31.818181818181817,81.8,12,100,7,58.3,8.92,0.58,14,98,53,107,55.4,15.29,17.83,6,85.7,25,4.17,0,0,1,1.06,50,0,1,1,3,0.25,118.8,7,58.3,2,28.6,6,85.7,2,33.3,0,0,1,1,100,0,0,0,58.3,6.34,0.578,75,25,0,0,22.7,21.6,22.7,21.56,1.14,1.89,1.8,21.6
2025,14,Michael Wilson,ARZ,WR,1,12,JAX,26.82926829268293,32.5,81.6,22,100,13,59.1,4.86,0.59,9.92,129,58.9,107,71.8,8.23,11.89,9,69.2,17,1.89,7,0.78,0,0.09,0,1,1,0,3,0.136,94.1,12,60,0,0,9,69.2,1,11.1,0,0,6,5,83.3,0,1,0.11,59.1,0.28,0.142,81.8,18.2,0,0,19.7,15.9,19.7,15.91,3.79,0.9,0.72,15.9
2025,15,Jaxon Smith-Njigba,SEA,WR,1,11,LA,33.33333333333333,30.76923076923077,83.5,18,100,12,66.7,5.83,0.67,9.83,118,58.4,105,79.5,8.75,11.67,9,75,30,3.33,17,1.89,0,0.57,0,2,1,0,7,0.389,66.3,11,78.6,0,0,9,75,2,12.5,0,0,1,1,100,1,1,0.11,66.7,1.02,0.023,88.9,11.1,0,0,19.5,21.1,19.5,21.07,-1.57,1.08,1.17,21.1
2025,16,Jaxon Smith-Njigba,SEA,WR,1,7,HST,25.925925925925924,28.205128205128204,88.1,14,100,11,78.6,7.43,0.79,12.45,137,80.6,104,94.5,9.45,14.86,7,63.6,30,4.29,15,2.14,1,0.96,100,1,1,1,5,0.357,124.8,8,72.7,1,9.1,7,63.6,2,16.7,0,0,1,1,100,0,1,0.14,78.6,0.49,0.687,85.7,14.3,0,0,23.4,21.4,23.4,21.44,1.96,1.67,1.53,21.4
2025,17,George Pickens,DAL,WR,1,12,PHI,22.78481012658228,20,77.9,18,90,8,40,5.72,0.44,9.13,73,27.4,103,44.6,12.88,12.88,8,100,31,3.88,19,2.38,1,0.78,100,1,1,1,6,0.333,158.3,6,46.2,0,0,8,100,1,28.6,0,0,5,5,100,0,0,0,44.4,5.08,1.17,83.3,16.7,0,0,24.3,16.9,24.3,16.87,7.43,1.35,0.94,16.9
2025,18,Tetairoa McMillan,CAR,WR,1,11,ATL,19.718309859154928,15.789473684210526,85.3,14,100,6,42.9,7.07,0.43,11.17,67,37.4,99,48.3,16.5,19.8,5,83.3,37,7.4,5,1,1,1.04,50,1,0,0,5,0.357,158.3,5,38.5,0,0,6,100,1,50,0,0,1,0,0,0,1,0.2,42.9,8.06,1.367,92.9,7.1,0,0,20.9,19.3,20.9,19.34,1.56,1.49,1.38,19.3
