,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,20,Kyle Pitts,ATL,TE,1,14,SEA,19.148936170212767,31.57894736842105,91.9,9,100,6,66.7,7.11,0.67,15.67,94,90.4,64,95.5,10.67,21.33,3,50,21,7,42,14,0,0.04,0,0,0,0,2,0.222,48.6,6,85.7,1,16.7,5,83.3,2,66.7,0,0,3,1,33.3,0,0,0,66.7,1.07,-0.347,0,88.9,11.1,0,9.4,10.4,9.4,10.41,-1.01,1.04,1.16,10.4
2025,21,Trey McBride,ARZ,TE,1,17,CIN,21.052631578947366,25.64102564102564,96.3,12,100,10,83.3,5.33,0.83,5.2,52,75.4,64,62.7,6.4,7.11,9,90,33,3.67,12,1.33,1,0.57,50,2,1,1,3,0.25,126.7,8,80,3,30,9,90,1,0,0,0,1,1,100,0,0,0,83.3,-0.34,0.241,8.3,91.7,0,0,21.4,16.6,21.4,16.6,4.8,1.78,1.38,16.6
2025,22,Christian Watson,GB,WR,1,14,CHI,20,16.666666666666664,84.6,6,85.7,2,28.6,10.67,0.33,13.5,27,25.5,64,43.8,32,32,2,100,37,18.5,0,0,2,1,66.7,0,0,0,2,0.333,158.3,2,40,0,0,2,100,1,100,0,0,0,0,0,0,0,0,33.3,22.91,3.919,66.7,33.3,0,0,20.4,10.9,20.4,10.91,9.49,3.4,1.82,10.9
2025,23,Juwan Johnson,NO,TE,1,16,NYJ,23.076923076923077,38.88888888888889,65.4,12,75,7,43.8,5.25,0.58,6.14,43,31.6,63,37.5,9,10.5,6,85.7,25,4.17,9,1.5,0,0.04,0,0,0,0,2,0.167,104.2,5,38.5,1,14.3,6,85.7,0,16.7,0,0,2,2,100,0,1,0.17,50,1.87,0.317,8.3,83.3,8.3,0,12.3,11.2,12.3,11.24,1.06,1.03,0.94,11.2
2025,24,Pat Freiermuth,PIT,TE,1,17,CLV,32.432432432432435,38.46153846153847,70.8,12,85.7,5,35.7,5.25,0.42,8.8,44,33.6,63,63.6,12.6,21,3,60,24,8,8,2.67,0,0.02,0,0,0,0,3,0.25,104.2,3,30,0,0,3,60,1,66.7,0,0,0,0,0,0,0,0,38.5,4.54,0.457,0,75,25,0,9.3,6.7,9.3,6.74,2.56,0.78,0.56,6.7
2025,25,Marquise Brown,KC,WR,1,18,LV,35,50,80.6,7,77.8,4,44.4,8.71,0.57,25.75,103,85.1,61,87.1,15.25,30.5,2,50,22,11,6,3,0,0.26,0,0,1,0,2,0.286,95.8,3,37.5,1,25,2,50,2,50,0,0,1,1,100,0,0,0,44.4,4.29,0.352,28.6,71.4,0,0,8.1,6.3,8.1,6.31,1.79,1.16,0.9,6.3
2025,26,Kyle Pitts,ATL,TE,1,15,TB,23.404255319148938,21.052631578947366,95.5,11,91.7,4,33.3,5.55,0.36,8.25,33,31.1,61,54.5,15.25,15.25,4,100,30,7.5,1,0.25,1,0.85,100,1,1,1,4,0.364,158.3,2,22.2,0,0,4,100,0,33.3,0,0,1,1,100,0,0,0,36.4,8.06,2.162,36.4,54.5,9.1,0,16.1,11.5,16.1,11.49,4.61,1.46,1.04,11.5
2025,27,Josh Downs,IND,WR,1,18,HST,19.230769230769234,14.814814814814813,64.1,10,100,4,40,6.1,0.4,11.75,47,56.6,61,59.8,15.25,15.25,4,100,2,0.5,4,1,0,0.02,0,0,0,0,2,0.2,117.7,4,57.1,0,0,4,100,1,50,0,0,1,1,100,0,0,0,40,7.34,-0.696,10,90,0,0,10.1,9.1,10.1,9.08,1.02,1.01,0.91,9.1
2025,28,Puka Nacua,LA,WR,1,15,DET,20.833333333333336,23.809523809523807,55.1,10,100,5,50,6.1,0.5,10.8,54,40,61,74.4,12.2,20.33,3,60,28,9.33,19,6.33,0,0.06,0,0,0,0,3,0.3,102.9,5,50,0,0,5,100,0,33.3,1,20,2,1,50,0,1,0.33,50,3.8,1.12,40,60,0,0,9.1,10,9.1,9.99,-0.89,0.91,1,10
2025,29,Evan Engram,DEN,TE,1,13,WAS,25,66.66666666666666,55.1,8,72.7,4,36.4,7.5,0.5,3.5,14,13.7,60,55,15,15,4,100,46,11.5,7,1.75,0,0.19,0,1,0,0,2,0.25,118.8,4,44.4,0,0,4,100,0,33.3,0,0,0,0,0,0,1,0.25,50,8.81,0.854,12.5,75,12.5,0,10,7.7,10,7.74,2.26,1.25,0.97,7.7
