,Team Details,Team Details,Team Details,Splits,Splits,Splits,Record,Record,Record,Record,Record,Record,Volume & Pace,Volume & Pace,Volume & Pace,Volume & Pace,Volume & Pace,Drives,Drives,Drives,Drives,Drives,Drives,EPA,EPA,EPA,EPA,EPA,Success,Success,Success,Explosive,Explosive,Explosive,Turnovers,Turnovers,Coverage,Coverage,Coverage,Coverage,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Penalties,Penalties,Penalties,Fantasy,Fantasy,Fantasy,Fantasy
Season,Rank,Name,G,WEEK,OPP,PLAY %,W-L-T,WIN %,PF,PA,DIFF,TO +/-,PLAYS,Y/P,TOP,PACE,AVG START,DR,PTS/DR,SCR %,TD %,FG %,PUNT %,EPA,EPA/P,EPA/DR,EPA/DB,EPA/RU,SUCC %,PASS SUCC %,RUSH SUCC %,EXP %,PASS EXP %,RUSH EXP %,TO,TO/DR %,MAN %,ZONE %,1-HIGH %,2-HIGH %,BASE %,SUB %,PRESS %,BLITZ %,BOX,PASS %,PROE,PEN,PEN YDS,PEN EPA,QB FPG,RB FPG,WR FPG,TE FPG
2022,30,Indianapolis Colts,1,9,NE,5.677655677655678,0-1,0,3,26,-23,0,62,3.274193548387097,1872,30.193548387096776,36.57142857142857,14,1.4285714285714286,35.714285714285715,7.142857142857142,28.57142857142857,50,-19.647318636724002,-0.3168922360761936,-1.403379902623143,-0.37729776875364707,-0.24354266068214286,32.25806451612903,38.23529411764706,25,9.090909090909092,6.666666666666667,12,1,7.142857142857142,14.705882352941178,76.47058823529412,52.94117647058824,47.05882352941176,4.838709677419355,95.16129032258065,26.47058823529412,11.76470588235294,6.354838709677419,54.83870967741935,3.302138632258066,1,5,0.6890108972,9.68,18.7,14.1,14.1
2022,31,Cincinnati Bengals,1,18,BLT,7.530120481927711,1-0,100,27,16,11,3,75,5.1466666666666665,1721,22.946666666666665,28.200000000000003,15,1.0666666666666667,26.666666666666668,6.666666666666667,20,20,-23.498031363511,-0.31330708484681336,-1.5665354242340668,-0.40669532437833333,-0.14728354790188888,38.666666666666664,31.25,51.85185185185185,10.606060606060606,9.523809523809524,12.5,4,26.666666666666668,18.75,72.91666666666666,77.08333333333334,22.916666666666664,41.333333333333336,58.666666666666664,27.083333333333332,20.833333333333336,6.96,64,-10.142017822666665,0,0,0,8.44,20.900000000000002,15.5,27.2
2022,32,Dallas Cowboys,1,13,IND,6.357856494096276,1-0,100,54,19,35,4,70,4.414285714285715,1846,26.37142857142857,26.92857142857143,14,1.3571428571428572,28.57142857142857,14.285714285714285,14.285714285714285,21.428571428571427,-21.49293104815,-0.3070418721164286,-1.535209360582143,-0.41249094728499996,-0.166443105225,42.857142857142854,42.5,43.333333333333336,6.0606060606060606,5.555555555555555,6.666666666666667,5,35.714285714285715,15,85,40,60,2.857142857142857,97.14285714285714,42.5,27.500000000000004,6.4714285714285715,57.14285714285714,-9.582583868571431,1,18,0.9984871442,13.120000000000001,15.7,39.1,11.3
2022,33,Denver Broncos,1,3,SF,4.819277108433735,1-0,100,11,10,1,3,52,5.134615384615385,1525,29.326923076923077,22,14,0.7142857142857143,14.285714285714285,7.142857142857142,7.142857142857142,50,-15.74423677555,-0.3027737841451923,-1.1245883411107143,-0.2798095753690909,-0.342658988861579,40.38461538461539,45.45454545454545,31.57894736842105,10.416666666666668,10,11.11111111111111,3,21.428571428571427,30.303030303030305,66.66666666666666,72.72727272727273,27.27272727272727,40.38461538461539,59.61538461538461,27.27272727272727,30.303030303030305,6.384615384615385,63.46153846153846,5.540493111538462,2,5,0.6440359938,10.44,13.3,29.4,6.8
2022,34,Philadelphia Eagles,1,3,WAS,6.902985074626866,1-0,100,24,8,16,1,74,3.2432432432432434,1967,26.58108108108108,19.5,12,0.5,8.333333333333332,8.333333333333332,0,66.66666666666666,-22.32292449331,-0.3016611418014865,-1.8602437077758334,-0.3501588306758182,-0.16127309506,41.891891891891895,36.36363636363637,57.89473684210527,5.970149253731343,2.083333333333333,15.789473684210526,1,8.333333333333332,21.818181818181817,76.36363636363637,50.90909090909091,49.09090909090909,5.405405405405405,94.5945945945946,27.27272727272727,14.545454545454545,6.4324324324324325,74.32432432432432,4.536532948648651,5,52,7.5060475919,9.64,21.599999999999998,34.5,2.5
2022,35,Los Angeles Rams,1,16,DEN,5.815061963775023,1-0,100,51,14,37,4,61,5.295081967213115,1401,22.9672131147541,25.900000000000006,10,1.4,30,10,20,20,-18.21562294342,-0.2986167695642623,-1.8215622943420002,-0.40546068875976193,-0.06243547450052631,44.26229508196721,38.095238095238095,57.89473684210527,11.666666666666666,10,15,4,40,9.523809523809524,83.33333333333334,61.904761904761905,38.095238095238095,9.836065573770492,90.1639344262295,45.23809523809524,33.33333333333333,5.639344262295082,68.85245901639344,-5.508845867213108,2,1,0,12.06,16.5,31.2,13.9
2022,36,Denver Broncos,1,15,ARZ,5.4680259499536605,1-0,100,24,15,9,1,59,4.067796610169491,1621,27.47457627118644,24.538461538461533,13,1.1538461538461537,30.76923076923077,7.6923076923076925,23.076923076923077,46.15384615384615,-17.326242225076,-0.2936651224589153,-1.3327878634673846,-0.42281608756465,-0.021768353815263156,37.28813559322034,35,42.10526315789473,3.389830508474576,2.5,5.263157894736842,3,23.076923076923077,7.5,92.5,47.5,52.5,22.033898305084744,77.96610169491525,40,7.5,6.084745762711864,67.79661016949152,0.28938809491525874,3,21,1.4909300975,4.92,18.1,18.9,12.6
2022,37,Pittsburgh Steelers,1,10,NO,4.39453125,1-0,100,20,10,10,2,45,4.133333333333334,1248,27.733333333333334,26.200000000000003,10,1,20,10,10,50,-13.07786591675,-0.29061924259444444,-1.307786591675,-0.09244851518225806,-0.7294258532928571,28.888888888888886,38.70967741935484,7.142857142857142,2.2222222222222223,0,6.666666666666667,2,20,29.03225806451613,70.96774193548387,48.38709677419355,51.61290322580645,20,80,22.58064516129032,22.58064516129032,6.288888888888889,68.88888888888889,-0.2067350666666654,2,25,1.8473036035,9.06,7.6,15.9,19.7
2022,38,Jacksonville Jaguars,1,16,NYJ,5.063291139240507,1-0,100,19,3,16,1,56,4.053571428571429,1498,26.75,29.900000000000006,10,0.3,10,0,10,50,-16.14300424854306,-0.2882679330096975,-1.614300424854306,-0.2913414405550765,-0.28058416414625,37.5,37.5,37.5,6.896551724137931,5.263157894736842,10,2,20,22.5,75,55.00000000000001,45,30.357142857142854,67.85714285714286,45,20,6.464285714285714,71.42857142857143,0.6283697732142863,1,15,1.050349655,11.78,13,12.9,11.4
2022,39,Dallas Cowboys,1,7,DET,5.086285195277021,1-0,100,24,6,18,4,56,5.571428571428571,1874,33.464285714285715,24.909090909090907,11,0.5454545454545454,18.181818181818183,0,18.181818181818183,27.27272727272727,-16.13396984651,-0.2881066044019643,-1.466724531500909,-0.2426925130375,-0.34865872622125,57.14285714285714,53.125,62.5,9.090909090909092,6.451612903225806,12.5,5,45.45454545454545,21.875,78.125,65.625,34.375,16.071428571428573,82.14285714285714,34.375,34.375,6.857142857142857,57.14285714285714,-3.58483480535714,2,20,2.4005489727000002,5.5200000000000005,14.5,21.1,18.5
