,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,20,Khalil Shakir,BUF,WR,15,11,92.6208651399491,94.5054945054945,81.6,364,86.1,86,24.4,1.86,0.24,3.65,314,13.4,678,24.7,7.88,9.97,68,79.1,493,7.25,249,3.66,4,2.78,26.7,12,1,1,25,0.069,103.7,64,28.3,25,29.1,77,89.5,5,12.1,4,4.7,13,8,61.5,1,17,0.25,27.8,1.56,0.129,25.8,71.2,2.2,0.8,159.8,137.6,10.65,9.18,1.47,0.44,0.38,137.6
2025,21,Wan'Dale Robinson,NYG,WR,16,11,74.37858508604207,75,90.2,389,94.9,99,28.3,1.74,0.25,8.8,871,30.4,678,31.7,6.85,9.97,68,68.7,286,4.21,107,1.57,2,3.12,18.2,11,6,2,26,0.067,90.4,83,35.8,17,17.2,78,78.8,16,12.3,3,3,16,6,37.5,0,8,0.12,31.8,-0.68,0.128,22.4,76.3,0,1.3,147.8,158.9,9.24,9.93,-0.69,0.38,0.41,158.9
2025,22,DeVonta Smith,PHI,WR,16,11,76.65995975855131,73.45132743362832,94,381,89.4,83,22.8,1.76,0.22,10.6,880,30.2,671,26.4,8.08,11.57,58,69.9,202,3.48,67,1.16,2,2.71,14.3,7,4,1,32,0.084,102,64,28.4,8,9.6,70,84.3,14,15.1,4,4.8,16,7,43.8,1,1,0.02,26.6,-0.04,0.457,34.6,65.4,0,0,137.1,146.9,8.57,9.18,-0.61,0.36,0.39,146.9
2025,23,Jaxon Smith-Njigba,SEA,WR,16,12,25.678496868475992,25.477707006369428,83.8,123,93.9,40,33.1,5.45,0.33,14.03,561,52.9,670,50.4,16.75,19.71,34,85,218,6.41,91,2.68,4,3.7,50,6,4,2,25,0.203,141.7,39,51.3,5,12.5,36,90,10,38.7,0,0,5,3,60,3,5,0.15,39.2,7.65,1.055,86.2,12.2,0.8,0.8,125,107.9,7.81,6.75,1.06,1.02,0.88,107.9
2025,24,Davante Adams,LA,WR,14,11,85,76.57657657657657,77.6,323,84.6,85,23.4,1.95,0.26,13.71,1165,38,630,22.2,7.41,14.32,44,51.8,97,2.2,30,0.68,6,7.65,30,21,17,6,37,0.115,99.6,66,26.2,1,1.2,55,64.7,17,28.2,4,4.7,14,6,42.9,1,4,0.09,27,-1.67,0.304,86.4,13.6,0,0,143,166.3,10.21,11.88,-1.67,0.44,0.51,166.3
2025,25,Brian Thomas,JAX,WR,14,11,83.71559633027523,80.68181818181817,75,365,80.4,71,18,1.71,0.19,14.66,1041,29.6,624,21.2,8.79,15.6,40,56.3,147,3.67,30,0.75,1,2.87,6.7,5,4,1,29,0.079,84.5,61,22.8,1,1.4,57,80.3,21,25.6,7,9.9,13,4,30.8,1,3,0.07,22.3,-0.21,0.29,74.5,25.5,0,0,108.4,136.8,7.74,9.77,-2.03,0.3,0.37,136.8
2025,26,Ladd McConkey,LAC,WR,16,11,76.86567164179104,77.88461538461539,91,412,92,81,21.7,1.47,0.2,10.83,877,28.1,604,22.7,7.46,12.33,49,60.5,247,5.04,57,1.16,6,6.25,28.6,14,11,5,25,0.061,87.7,53,22.6,2,2.5,60,74.1,13,18.6,4,4.9,10,2,20,0,11,0.22,23.9,-0.68,0.036,33.5,65.8,0.7,0,145.4,148,9.09,9.25,-0.16,0.35,0.36,148
2025,27,Alec Pierce,IND,WR,13,11,68.76404494382022,60.71428571428571,81.3,306,84.3,51,15.5,1.92,0.17,19.57,998,40.5,586,25.5,11.49,20.21,29,56.9,103,3.55,30,1.03,5,5.73,33.3,8,9,4,23,0.075,105.5,48,19.5,0,0,37,72.5,17,30.8,1,2,18,7,38.9,1,0,0,18.5,0.95,0.673,87.6,12.4,0,0,117.6,116.4,9.05,8.95,0.1,0.38,0.38,116.4
2025,28,Michael Pittman,IND,WR,17,11,75.04950495049505,76.85185185185185,97.3,379,92.7,83,22.2,1.47,0.22,8.94,742,26.4,558,21.3,6.72,9.46,59,71.1,210,3.56,75,1.27,4,4.41,26.7,10,3,0,34,0.09,86.1,74,26.1,4,4.8,70,84.3,7,5.5,4,4.8,15,6,40,1,5,0.08,24.4,-0.9,0.195,70.7,28,1.1,0.3,138.8,153.1,8.16,9.01,-0.85,0.37,0.4,153.1
2025,29,Quentin Johnston,LAC,WR,13,11,74.46808510638297,73.41772151898735,76.3,350,88.4,58,17.9,1.57,0.17,13.59,788,27.9,551,23.5,9.5,14.5,38,65.5,160,4.21,42,1.11,7,6.19,36.8,8,5,4,21,0.06,135.8,45,21.8,6,10.3,47,81,17,35.5,6,10.3,10,5,50,2,12,0.32,21.2,0.76,0.475,82.9,17.1,0,0,135.1,134.9,10.39,10.37,0.02,0.39,0.39,134.9
2025,30,Rashid Shaheed,"NO, SEA",WR,16,11,85.34482758620689,80.89887640449437,74.9,396,84.3,72,17.2,1.38,0.18,11.5,828,26.6,548,20.9,7.61,10.75,51,70.8,111,2.18,62,1.22,1,0.98,8.3,8,4,0,26,0.066,85.9,56,20.8,4,5.6,54,75,12,8.5,0,0,8,5,62.5,1,2,0.04,20.9,-0.95,0.018,66.9,33.1,0,0,111.8,108.9,6.99,6.81,0.18,0.28,0.28,108.9
