,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2024,36,Mike Williams,NYJ,WR,1,5,MIN,31.57894736842105,23.52941176470588,42,0.1,0.6,0.11,17,0.12,0,0,23,0.09,1.09,0.2,13,0.08,1.38,0.22,29,0.1,0.24,0.06
2024,37,Michael Pittman,IND,WR,1,5,JAX,25.301204819277107,17.073170731707318,42,0.17,0.88,0.35,16,0.13,0.31,0.09,22,0.18,1.41,0.28,19,0.05,0,0,23,0.26,1.61,0.64
2024,38,CeeDee Lamb,DAL,WR,1,5,PIT,19.90521327014218,13.461538461538462,42,0.17,1.48,0.27,8,0,0,0,31,0.23,2,0.36,26,0.27,2.38,0.43,16,0,0,0
2024,39,Jerry Jeudy,CLV,WR,1,3,NYG,20.192307692307693,17.142857142857142,42,0.14,0.64,0.16,20,0.05,0.6,0.11,22,0.23,0.68,0.2,33,0.15,0.82,0.2,9,0.11,0,0
2024,40,Rashod Bateman,BLT,WR,1,1,KC,26.751592356687897,19.230769230769234,42,0.12,1.26,0.17,12,0.17,0,0,26,0.12,2.04,0.28,10,0.2,1.5,0.25,32,0.09,1.19,0.15
2024,41,Nico Collins,HST,WR,1,3,MIN,27.450980392156865,22.727272727272727,42,0.24,2.05,0.3,11,0.45,3.09,0.4,29,0.14,1.79,0.28,11,0.27,5.36,0.72,31,0.23,0.87,0.15
2024,42,Dontayvion Wicks,GB,WR,1,4,MIN,44.21052631578947,41.935483870967744,42,0.31,1.86,0.59,7,0.57,0.86,1.09,35,0.26,2.06,0.49,10,0.3,4.7,0.67,32,0.31,0.97,0.57
2024,43,Jayden Reed,GB,WR,1,4,MIN,29.78723404255319,23.52941176470588,42,0.19,3.31,0.64,6,0.17,2.5,1.42,36,0.19,3.44,0.51,9,0.11,2.33,0.34,33,0.21,3.58,0.72
2024,44,Davante Adams,LV,WR,1,3,CAR,36.283185840707965,30.76923076923077,41,0.2,0.98,0.2,5,0.2,0,0,34,0.21,1.18,0.24,31,0.26,1.29,0.26,10,0,0,0
2024,45,Tyler Conklin,NYJ,TE,1,5,MIN,22.65193370165746,30.76923076923077,41,0.2,1.34,0.28,17,0.06,0.41,0.1,22,0.32,2.18,0.45,16,0.19,0.94,0.22,25,0.2,1.6,0.32
