,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2026,35,Breece Hall,NYJ,RB,1,2,GB,100,16,29,1.81,0,0,68.8,31.3,12.5,6.3,0,0,0,0,0,0,0,1,50,0,0,0,5,12.2,5,63,25.5,12.6,12.6,100,0,0,0,0,0,16.3,14.2,14.2
2026,36,Jeremiyah Love,ARZ,RB,1,2,SEA,100,9,29,3.22,0,0,77.8,66.7,33.3,0,0,0,0,0,0,1,50,2,66.7,0,0,0,3,10.7,3,16,16.8,5.33,5.33,100,0,0,0,0,0,10.6,7.5,7.5
2026,37,Travis Etienne,NO,RB,1,2,BLT,100,8,25,3.13,0,0,75,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.9,2,6,2.4,3,3,100,0,0,0,0,0,7,7.1,7.1
2026,38,Kaelon Black,SF,RB,1,2,MIA,100,7,25,3.57,0,0,85.7,71.4,42.9,0,0,0,0,0,0,0,0,2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2.5,2.5
2026,39,Bam Knight,ARZ,RB,1,2,SEA,100,2,24,12,0,0,100,100,100,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4,2.4
2026,40,Keaton Mitchell,LAC,RB,1,2,LV,100,5,24,4.8,0,0,100,80,40,20,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7,1,15,7.8,15,15,100,0,0,0,0,0,4,4.9,4.9
2026,41,Will Shipley,PHI,RB,1,2,TEN,100,7,24,3.43,0,0,85.7,57.1,57.1,0,0,0,0,0,0,0,0,4,57.1,0,0,0,2,5.4,2,5,1.9,2.5,2.5,100,0,0,0,0,0,9.7,4.9,4.9
2026,42,Kaytron Allen,WAS,RB,1,2,DAL,100,5,24,4.8,0,0,100,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.4,2.4
2026,43,Christian McCaffrey,SF,RB,1,2,MIA,100,10,23,2.3,2,0,90,40,20,0,0,0,0,4,80,4,80,4,57.1,0,0,0,4,18.2,4,43,15,10.75,10.75,100,0,0,0,2,0,15.7,22.6,22.6
2026,44,Rico Dowdle,PIT,RB,1,2,NE,100,7,22,3.14,0,0,100,42.9,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,22,11.8,11,11,100,0,0,0,0,0,6.5,6.4,6.4
2026,45,Quinshon Judkins,CLV,RB,1,2,TB,100,12,21,1.75,0,0,66.7,25,25,0,0,0,0,0,0,0,0,1,100,0,0,0,5,16.7,5,27,11.3,5.4,5.4,100,0,0,0,0,0,14.3,9.8,9.8
2026,46,MarShawn Lloyd,GB,RB,1,2,NYJ,100,6,20,3.33,0,1,100,50,33.3,0,0,0,0,0,0,1,50,2,40,0,0,0,2,6.9,2,6,4.1,3,3,100,1,50,1,1,0,8.3,9.6,9.6
2026,47,Travis Homer,PIT,RB,1,2,NE,100,2,16,8,0,0,100,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1.6
2026,48,Jonathon Brooks,CAR,RB,1,2,ATL,100,5,16,3.2,0,0,80,80,20,0,0,0,0,0,0,1,33.3,3,42.9,0,0,0,1,2.8,1,-5,-1.7,-5,-5,100,0,0,0,1,0,7.2,2.1,2.1
2026,49,Alvin Kamara,NO,RB,1,2,BLT,100,9,15,1.67,0,0,77.8,22.2,11.1,0,0,0,0,0,0,0,0,1,20,0,0,0,6,17.6,5,7,2.8,1.4,1.17,83.3,0,0,0,1,0,15.1,7.2,7.2
2026,50,Jordan James,SF,RB,1,2,MIA,100,4,15,3.75,0,0,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1.5
2026,51,Emmett Johnson,KC,RB,1,2,IND,100,2,15,7.5,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.3,2,20,5.2,10,10,100,0,0,0,0,0,4,5.5,5.5
2026,52,Chris Rodriguez,JAX,RB,1,2,DEN,100,6,13,2.17,0,0,83.3,33.3,16.7,0,0,0,0,1,50,1,50,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1.3,1.3
2026,53,George Holani,SEA,RB,1,2,ARZ,100,4,13,3.25,0,0,75,50,50,0,0,0,0,2,25,2,20,3,20,0,0,0,1,3.8,1,2,0.9,2,2,100,0,0,0,1,0,6.7,2.5,2.5
2026,54,Ameer Abdullah,JAX,RB,1,2,DEN,100,3,11,3.67,0,0,66.7,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4,1,2,1.1,2,2,100,0,0,0,0,0,3,2.3,2.3
2026,55,Chris Brooks,GB,RB,1,2,NYJ,100,4,11,2.75,0,0,75,75,0,0,0,0,0,0,0,1,50,3,60,0,0,0,2,6.9,1,15,10.3,15,7.5,50,0,0,0,0,0,7.4,3.6,3.6
2026,56,Jaylen Wright,MIA,RB,1,2,SF,100,2,11,5.5,0,0,100,100,50,0,0,0,0,0,0,1,25,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1.1,1.1
2026,57,David Montgomery,HST,RB,1,2,CIN,100,6,10,1.67,0,0,66.7,33.3,0,0,0,0,0,0,0,0,0,1,50,0,0,0,2,3.6,2,14,4,7,7,100,0,0,0,0,0,6.8,4.4,4.4
2026,58,Kenny Gainwell,TB,RB,1,2,CLV,100,2,10,5,0,0,100,100,50,0,0,0,0,0,0,0,0,1,25,0,0,0,4,11.8,3,5,2.7,1.67,1.25,75,0,0,0,1,0,8.6,4.5,4.5
2026,59,Tyler Allgeier,ARZ,RB,1,2,SEA,100,5,10,2,0,0,80,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.1,2,9,9.5,4.5,4.5,100,0,0,0,0,0,5.5,3.9,3.9
2026,60,Nicholas Singleton,TEN,RB,1,2,PHI,100,4,10,2.5,0,0,75,50,25,0,0,0,0,0,0,0,0,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1,1
2026,61,Saquon Barkley,PHI,RB,1,2,TEN,100,4,9,2.25,0,0,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.4,1,11,4.2,11,5.5,50,0,0,0,0,0,5,3,3
2026,62,Devin Singletary,NYG,RB,1,2,LA,100,3,9,3,0,0,100,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,3,0.9,0.9
2026,63,DeeJay Dallas,MIN,RB,1,2,CHI,100,2,8,4,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,12,8.4,12,12,100,0,0,0,0,0,2.5,3,3
2026,64,Emari Demercado,DAL,RB,1,2,WAS,100,3,8,2.67,0,0,66.7,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.8,0.8
2026,65,Woody Marks,HST,RB,1,2,CIN,100,8,8,1,0,0,50,37.5,0,0,0,0,0,0,0,0,0,1,50,0,0,0,6,10.7,5,27,7.6,5.4,4.5,83.3,0,0,0,2,0,15.3,8.5,8.5
2026,66,Sione Vaki,DET,RB,1,2,BUF,100,1,7,7,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6,1,13,4,13,13,100,0,0,0,0,0,2,3,3
2026,67,Braelon Allen,NYJ,RB,1,2,GB,100,5,7,1.4,1,0,60,20,20,0,0,0,0,1,100,1,100,1,50,0,0,0,1,2.4,1,8,3.2,8,8,100,0,0,0,1,0,5.5,8.5,8.5
2026,68,Ollie Gordon,MIA,RB,1,2,SF,100,3,7,2.33,0,0,100,33.3,33.3,0,0,0,0,0,0,0,0,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.7,0.7
