,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,FP,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,SNAP %,DB,ATT,CMP,CMP %,YDS,YPA,TD,XTD,INT,1D,RATE,ANY/A,SUCC %,SACK,SACK %,SK YDS,SCR,SCR YDS,SCR TD,ATT,YDS,TD,CPOE,ADJ CMP %,ADOT,AYDS,DEEP %,EZATT,YAC %,1ST RD %,ACC %,CATCH %,OFF TGT %,HERO %,TWT %,DROP %,DROP YDS,TTT,TTP,TTSK,TTSC,QBSK,PRESS %,QK PRES %,P2S %,PRES O/E,RB TGT %,WR TGT %,TE TGT %,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,CKD %,RPO %,TA,BPA,SPK,EPA,EPA/DB,EPA/P,FP/DB,FP/OPP,FP,XFP,FP/G,XFP/G,DIFF,PASS FP,RUSH FP
2026,19,Joe Burrow,CIN,QB,1,2,HST,100,100,36,31,20,64.5,207,6.68,2,1.58,0,9,105.2,6.17,41.9,5,13.9,25,0,0,0,1,-1,0,6,82.1,6.46,181,9.7,2,38.2,64.5,64.5,80.6,9.7,9.7,3.2,9.7,15,2.33,2.15,3.06,0,1,30.6,25,45.5,4.5,14.3,78.6,7.1,53.6,28.6,7.1,10.7,6.5,5.6,1,2,0,-0.5,-0.015,-0.015,0.45,0.45,16.2,16,16.18,15.96,0.22,16.3,-0.1
2026,20,Malik Willis,MIA,QB,1,2,SF,100,98.2,28,23,14,60.9,197,8.57,1,0.34,0,8,103,7.48,39.1,4,14.3,15,1,4,0,2,6,0,-7.9,69.6,6.22,143,8.7,0,55.3,56.5,56.5,73.9,21.7,8.7,0,8.7,15,2.23,2.17,3.75,3.3,0,21.4,14.3,66.7,-2.1,39.1,43.5,17.4,26.1,26.1,17.4,30.4,17.4,0,0,0,0,4.4,0.158,0.217,0.44,0.43,12.5,9.1,12.48,9.07,3.41,11.9,0.6
2026,21,Justin Herbert,LAC,QB,1,2,LV,100,100,31,27,15,55.6,192,7.11,1,0.99,2,8,59.5,3.77,44.4,3,9.7,9,1,2,0,3,2,0,9.4,78.3,9.63,231,11.1,1,55.2,63,55.6,74.1,11.1,7.4,3.7,11.1,52,2.66,2.52,4.5,3.4,0,41.9,29,23.1,10.6,12,56,32,40,36,8,16,11.1,0,1,1,0,-0.8,-0.027,-0.142,0.32,0.3,9.9,16.9,9.88,16.89,-7.01,9.7,0.2
2026,22,Trevor Lawrence,JAX,QB,1,2,DEN,100,100,31,29,17,58.6,189,6.52,0,1.14,1,8,63.7,4.13,44.8,2,6.5,16,0,0,0,2,6,0,2.2,70.4,10.22,276,10.3,0,21.2,69,62.1,75.9,13.8,0,10.3,6.9,18,2.6,2.52,3.65,0,0,35.5,9.7,18.2,2.9,14.8,74.1,11.1,44.4,33.3,7.4,14.8,6.9,0,1,1,0,-4.1,-0.133,-0.113,0.21,0.22,7.2,15.4,7.16,15.4,-8.24,6.6,0.6
2026,23,Aaron Rodgers,PIT,QB,1,2,NE,100,95.5,44,39,23,59,187,4.79,0,0.16,1,10,60.5,2.3,43.6,4,9.1,43,1,5,0,1,5,0,-2.1,76.5,5,175,5.1,0,72.2,64.1,53.8,71.8,17.9,0,0,7.7,7,2.4,2.75,3.18,5.7,0,25,4.5,36.4,-2.9,14.3,65.7,20,48.6,28.6,8.6,14.3,10.3,2.3,4,0,0,-21.2,-0.481,-0.481,0.16,0.16,6,10,5.98,9.97,-3.99,6.5,-0.5
2026,24,Cam Ward,TEN,QB,1,2,PHI,100,100,24,20,13,65,183,9.15,0,0.16,0,7,94.4,7.68,40,2,8.3,14,2,5,1,4,7,2,7.9,82.4,7.18,122,0,1,54.6,70,60,70,15,0,5,5,11,2.76,2.61,2.6,6.15,1,29.2,20.8,28.6,-2.3,17.6,64.7,17.6,58.8,17.6,5.9,17.6,10,0,2,0,0,1.3,0.055,0.154,0.58,0.77,20,16.5,20.02,16.52,3.5,7.3,12.7
2026,25,Baker Mayfield,TB,QB,1,2,CLV,100,100,40,34,21,61.8,182,5.35,1,1.97,1,7,73.4,4.08,41.2,3,7.5,6,3,26,0,4,29,0,2.6,69.7,12.48,412,29.4,4,46.2,73.5,61.8,70.6,23.5,5.9,5.9,5.9,29,2.84,2.68,4.97,5.37,2,40,20,18.8,6.7,24.2,57.6,18.2,36.4,30.3,12.1,21.2,11.8,0,1,0,0,-9.4,-0.235,-0.218,0.32,0.32,13.2,21.2,13.18,21.19,-8.01,10.3,2.9
2026,26,Jordan Love,GB,QB,1,2,NYJ,100,100,32,29,16,55.2,145,5,2,1.23,0,8,91.9,5.5,37.9,3,9.4,9,0,0,0,0,0,0,-7.3,67.9,7.86,220,10.3,1,65.5,79.3,48.3,79.3,13.8,0,0,10.3,18,2.13,2.25,4.4,0,1,34.4,21.9,27.3,10,14.3,75,10.7,32.1,42.9,14.3,10.7,6.9,12.5,1,0,0,-3.2,-0.099,-0.099,0.43,0.43,13.8,11.9,13.8,11.92,1.88,13.8,0
2026,27,Carson Wentz,MIN,QB,1,2,CHI,100,100,24,20,11,55,143,7.15,0,0.9,0,6,77.7,5.52,35,3,12.5,16,1,4,0,3,6,0,-8.8,63.2,8.63,164,15,1,53.1,75,50,80,10,5,5,5,3,2.31,2.51,3.37,6.4,2,29.2,16.7,42.9,4.3,10.5,63.2,26.3,31.6,26.3,26.3,15.8,10,4.2,1,0,0,0.1,0.005,-0.063,0.26,0.24,6.3,11.3,6.32,11.26,-4.94,5.7,0.6
2026,28,Caleb Williams,CHI,QB,1,2,MIN,100,85.7,32,26,15,57.7,138,5.31,0,0.85,1,5,56.2,2.52,34.6,3,9.4,20,3,27,0,5,42,0,-2.6,77.3,4.41,97,0,0,83.3,30.8,61.5,76.9,7.7,0,3.8,7.7,11,3.59,2.75,4.3,6.93,0,59.4,21.9,15.8,17.1,27.3,50,22.7,36.4,22.7,4.5,36.4,26.9,0,3,1,0,1.6,0.049,0.056,0.23,0.26,8.7,13.2,8.72,13.23,-4.51,4.5,4.2
