,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2022,196,Kenneth Walker,SEA,RB,1,16,KC,14.285714285714285,24.4,6,75,0,23,3.83,0,0.02,0,0,0,0,0,0,0,33.3,50,-7.1,1.83,33.3,2,52.2,2,0.33,-0.099,-0.6,3,50,13,0,4.33,33.3,3,50,10,0,3.33,33.3,2.3,3.1,2.3,3.14,-0.84
2022,197,Cordarrelle Patterson,ATL,RB,1,1,NO,26.666666666666668,50,4,80,0,22,5.5,0,0.01,0,3,0,0,0,0,0,75,0,3.4,2.5,0,3,54.5,1,0.25,0.151,0.6,4,100,22,0,5.5,75,0,0,0,0,0,0,5.7,8.5,5.7,8.52,-2.82
2022,198,Derrick Henry,TEN,RB,1,8,HST,7.894736842105263,46.2,3,60,0,22,7.33,0,0.05,0,0,0,0,0,0,0,66.7,0,8.5,4.33,0,3,40.9,0,0,0.166,0.5,2,66.7,16,0,8,100,1,33.3,6,0,6,0,2.2,1.7,2.2,1.65,0.55
2022,199,Marlon Mack,DEN,RB,1,16,LA,66.66666666666666,19.2,4,26.7,0,22,5.5,0,0,0,1,0,0,0,0,0,75,0,1,4,0,1.5,27.3,1,0.25,-0.344,-1.4,3,75,18,0,6,100,1,25,4,0,4,0,2.2,2.1,2.2,2.11,0.09
2022,200,Craig Reynolds,DET,RB,1,5,NE,25,67.9,2,50,0,22,11,0,0,0,1,50,19,86.4,0,0,50,0,11.8,3,0,8,72.7,2,1,0.798,1.6,0,0,0,0,0,0,2,100,22,0,11,50,7.4,4.7,7.4,4.65,2.75
2022,201,Josh Jacobs,LV,RB,1,16,PIT,4.395604395604396,66.7,4,80,0,22,5.5,0,0,0,2,25,10,45.5,0,0,50,50,3.1,2.25,25,3.25,59.1,2,0.5,0.09,0.4,2,50,9,0,4.5,50,2,50,13,0,6.5,50,2.2,1.9,2.2,1.91,0.29
2022,202,Darrynton Evans,CHI,RB,1,12,NYJ,62.5,40.7,5,50,0,22,4.4,0,0.01,0,2,0,0,0,0,0,60,40,-2.6,2.8,60,1.6,36.4,2,0.4,0.653,3.3,2,40,7,0,3.5,50,3,60,15,0,5,66.7,6.5,4.1,6.5,4.14,2.36
2022,203,Antonio Gibson,WAS,RB,1,10,PHI,11.627906976744185,62.9,5,45.5,0,22,4.4,0,0.58,0,0,0,0,0,0,0,60,40,-1.6,2.2,40,2.2,50,1,0.2,0.094,0.5,3,60,16,0,5.33,66.7,2,40,6,0,3,50,5.9,9.1,5.9,9.11,-3.21
2022,204,Antonio Gibson,WAS,RB,1,11,HST,13.953488372093023,77.4,6,50,0,22,3.67,0,0.14,0,1,20,13,59.1,0,0,16.7,50,-7,2,50,1.67,45.5,1,0.17,-0.169,-1,4,66.7,17,0,4.25,25,2,33.3,5,0,2.5,0,6.9,7.4,6.9,7.36,-0.46
2022,205,Kenneth Gainwell,PHI,RB,1,18,NYG,13.333333333333334,34.5,2,22.2,0,22,11,0,0.17,0,2,100,22,100,0,0,100,0,9.8,6,0,5,45.5,2,1,1.206,2.4,0,0,0,0,0,0,2,100,22,0,11,100,3.9,4.2,3.9,4.16,-0.26
