,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2022,45,Chuba Hubbard,CAR,RB,1,16,DET,12.631578947368421,12,125,10.42,0,0,91.7,66.7,41.7,25,25,25,25,0,0,0,0,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,12.5,12.5
2022,46,Cam Akers,LA,RB,1,17,LAC,10.106382978723403,19,123,6.47,0,0,84.2,68.4,57.9,10.5,5.3,5.3,5.3,1,100,2,100,2,66.7,0,0,0,2,10.5,1,10,7.6,10,5,50,0,0,0,0,0,14.1,14.3,14.3
2022,47,Austin Ekeler,LAC,RB,1,17,LA,4.901960784313726,10,122,12.2,2,0,100,80,50,30,10,10,10,0,0,2,100,2,40,0,0,0,4,12.9,4,39,16.3,9.75,9.75,100,0,0,0,1,0,13.3,32.1,32.1
2022,48,David Montgomery,CHI,RB,1,2,GB,7.462686567164178,15,122,8.13,0,0,93.3,73.3,60,40,6.7,6.7,0,0,0,2,40,4,50,0,0,0,2,18.2,2,14,20,7,7,100,0,0,0,0,0,13.7,15.6,15.6
2022,49,Derrick Henry,TEN,RB,1,14,JAX,4.871060171919771,17,121,7.12,1,2,76.5,58.8,35.3,17.6,11.8,11.8,5.9,2,100,2,100,5,83.3,0,0,0,5,13.2,3,34,13.4,11.33,6.8,60,0,0,0,1,1,20.8,22.5,22.5
2022,50,Christian McCaffrey,SF,RB,1,17,LV,7.786885245901639,19,121,6.37,1,0,84.2,78.9,57.9,15.8,5.3,5.3,5.3,1,33.3,2,50,4,50,0,0,0,8,22.9,6,72,25.4,12,9,75,0,0,0,0,0,24.7,31.3,31.3
2022,51,Cordarrelle Patterson,ATL,RB,1,1,NO,15.277777777777779,22,120,5.45,1,0,95.5,68.2,59.1,18.2,4.5,0,0,1,50,2,66.7,3,50,0,0,0,5,15.2,3,16,7.4,5.33,3.2,60,0,0,0,0,0,20.9,22.6,22.6
2022,52,James Conner,ARZ,RB,1,12,LAC,13.661202185792352,25,120,4.8,0,1,80,64,40,8,8,4,0,0,0,1,50,2,66.7,0,0,0,3,10.3,3,20,10.5,6.67,6.67,100,1,50,1,1,0,19.4,22,22
2022,53,Jeffery Wilson,SF,RB,1,5,CAR,9.659090909090908,17,120,7.06,1,0,88.2,47.1,47.1,23.5,17.6,11.8,5.9,2,50,2,50,3,60,0,0,0,2,6.7,1,12,4.7,12,6,50,0,0,0,0,0,13.9,20.2,20.2
2022,54,J.K. Dobbins,BLT,RB,1,14,PIT,16.304347826086957,15,120,8,1,0,86.7,86.7,53.3,20,6.7,6.7,6.7,1,100,1,100,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,18,18
2022,55,Kenyan Drake,BLT,RB,1,6,NYG,9.174311926605505,10,119,11.9,1,0,100,80,60,40,40,30,20,0,0,0,0,1,50,0,0,0,2,6.3,1,8,3.8,8,4,50,0,0,0,0,0,8.8,19.7,19.7
2022,56,Christian McCaffrey,SF,RB,1,14,TB,5.737704918032787,14,119,8.5,1,0,78.6,71.4,50,35.7,14.3,14.3,7.1,1,50,2,66.7,2,40,0,0,0,2,8.7,2,34,17.4,17,17,100,1,50,0,0,0,11.6,29.3,29.3
2022,57,Dalvin Cook,MIN,RB,1,10,BUF,5.303030303030303,14,119,8.5,1,0,64.3,50,42.9,28.6,7.1,7.1,7.1,1,20,1,20,1,16.7,0,0,0,5,10,3,27,7.6,9,5.4,60,0,0,0,0,0,15.3,23.6,23.6
2022,58,Jeffery Wilson,MIA,RB,1,10,CLV,9.659090909090908,17,119,7,1,0,94.1,76.5,58.8,23.5,11.8,5.9,0,0,0,1,100,3,42.9,0,0,0,5,15.2,2,24,7.9,12,4.8,40,0,0,0,0,0,18.4,22.3,22.3
2022,59,D'Onta Foreman,CAR,RB,1,7,TB,7.389162561576355,15,118,7.87,0,0,80,53.3,26.7,13.3,13.3,13.3,6.7,0,0,0,0,0,0,0,0,0,2,9.1,2,27,15.3,13.5,13.5,100,0,0,0,0,0,10.5,16.5,16.5
2022,60,D'Onta Foreman,CAR,RB,1,8,ATL,12.807881773399016,26,118,4.54,3,0,88.5,65.4,38.5,11.5,3.8,0,0,3,75,4,66.7,11,84.6,0,0,0,1,2.8,0,0,0,0,0,0,0,0,0,0,0,23.3,31.8,31.8
2022,61,Nick Chubb,CLV,RB,1,4,ATL,6.291390728476822,19,118,6.21,1,0,89.5,73.7,47.4,26.3,5.3,5.3,0,2,50,2,40,5,62.5,0,0,0,2,5.7,2,9,3.8,4.5,4.5,100,0,0,0,0,0,16.5,20.7,20.7
2022,62,Cam Akers,LA,RB,1,16,DEN,12.23404255319149,23,118,5.13,3,0,95.7,69.6,39.1,13,8.7,4.3,0,3,100,4,100,8,100,0,0,0,2,7.1,2,29,12.6,14.5,14.5,100,0,0,0,0,0,20.9,34.7,34.7
2022,63,Nick Chubb,CLV,RB,1,12,TB,8.609271523178808,26,116,4.46,1,0,69.2,50,34.6,15.4,11.5,3.8,0,2,100,2,100,4,100,0,0,0,1,2.7,1,16,7.6,16,16,100,0,0,0,0,0,17.7,20.2,20.2
2022,64,Breece Hall,NYJ,RB,1,6,GB,25,20,116,5.8,1,0,90,55,40,20,5,5,5,3,42.9,3,42.9,5,45.5,0,0,0,2,11.1,2,5,4.5,2.5,2.5,100,0,0,0,0,0,17,20.1,20.1
2022,65,Derrick Henry,TEN,RB,1,9,KC,4.871060171919771,17,115,6.76,2,0,88.2,47.1,23.5,11.8,11.8,11.8,5.9,3,100,3,100,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,23.5,23.5
2022,66,Tony Pollard,DAL,RB,1,10,GB,11.398963730569948,22,115,5.23,1,0,95.5,72.7,45.5,18.2,0,0,0,0,0,0,0,1,50,0,0,0,5,10.9,3,13,4.9,4.33,2.6,60,0,0,0,1,0,20.1,21.8,21.8
2022,67,Derrick Henry,TEN,RB,1,4,IND,6.303724928366762,22,114,5.18,1,0,86.4,63.6,40.9,18.2,9.1,0,0,0,0,0,0,3,100,0,0,0,5,23.8,3,33,24.1,11,6.6,60,0,0,0,0,0,20.9,23.7,23.7
2022,68,Zack Moss,IND,RB,1,18,HST,19.35483870967742,18,114,6.33,1,0,88.9,66.7,33.3,22.2,16.7,5.6,5.6,1,100,4,80,7,58.3,0,0,0,3,8.6,3,7,3.3,2.33,2.33,100,0,0,0,0,0,19.1,21.1,21.1
2022,69,Travis Etienne,JAX,RB,1,7,NYG,6.363636363636363,14,114,8.14,1,1,92.9,64.3,42.9,21.4,14.3,7.1,7.1,1,33.3,2,50,5,55.6,0,0,0,5,11.4,1,5,1.6,5,1,20,0,0,0,1,0,19.3,19.9,19.9
2022,70,Kenneth Walker,SEA,RB,1,18,LA,12.719298245614036,29,114,3.93,0,0,75.9,48.3,34.5,6.9,6.9,3.4,0,4,100,4,100,8,88.9,0,0,0,1,3.2,1,10,4.7,10,10,100,0,0,0,0,0,22.4,13.4,13.4
2022,71,Raheem Mostert,MIA,RB,1,5,NYJ,9.94475138121547,18,113,6.28,1,0,88.9,88.9,38.9,22.2,16.7,11.1,0,0,0,0,0,1,50,0,0,0,2,5.9,1,9,5.4,9,4.5,50,0,0,1,1,0,13.6,19.2,19.2
2022,72,D'Onta Foreman,CAR,RB,1,12,DEN,11.822660098522167,24,113,4.71,0,0,95.8,62.5,33.3,12.5,8.3,0,0,1,50,3,75,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,11.3,11.3
2022,73,Nick Chubb,CLV,RB,1,3,PIT,7.6158940397351,23,113,4.91,1,0,87,56.5,30.4,13,8.7,4.3,4.3,1,33.3,1,25,3,30,0,0,0,1,3.2,0,0,0,0,0,0,0,0,0,0,0,15.4,17.3,17.3
2022,74,Aaron Jones,GB,RB,1,17,MIN,6.572769953051644,14,111,7.93,0,0,85.7,85.7,71.4,21.4,7.1,7.1,7.1,0,0,0,0,1,14.3,0,0,0,3,11.1,2,2,1.2,1,0.67,66.7,0,0,0,0,0,12.3,13.3,13.3
