,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2026,63,DJ Moore,BUF,WR,1,1,HST,100,100,24,0.29,4.17,0.88,5,0.4,3.4,0.54,19,0.26,4.37,0.96,18,0.33,3.17,0.54,6,0.17,7.17,1.88
2026,64,Jerry Jeudy,CLV,WR,1,1,JAX,100,100,24,0.17,1.08,0.19,4,0,0,0,19,0.21,1.37,0.24,9,0,0,0,15,0.27,1.73,0.31
2026,65,Drake London,ATL,WR,1,1,PIT,100,100,24,0.13,1.21,0.2,0,0,0,0,24,0.13,1.21,0.2,10,0.1,0.8,0.18,14,0.14,1.5,0.22
2026,66,Jake Ferguson,DAL,TE,1,1,NYG,100,100,24,0.08,0.25,0.11,4,0.25,0,0.25,20,0.05,0.3,0.08,6,0,0,0,18,0.11,0.33,0.14
2026,67,Xavier Hutchinson,HST,WR,1,1,BUF,100,100,24,0.25,1.33,0.26,4,0.5,5,0.75,20,0.2,0.6,0.16,8,0.38,3.63,0.61,16,0.19,0.19,0.08
2026,68,Jordan Addison,MIN,WR,1,1,GB,100,100,24,0.08,0,0,2,0,0,0,22,0.09,0,0,5,0,0,0,19,0.11,0,0
2026,69,Michael Mayer,LV,TE,1,1,MIA,100,100,24,0.29,1.33,0.38,6,0.33,2.33,0.4,16,0.31,1.13,0.42,17,0.29,1,0.34,7,0.29,2.14,0.5
2026,70,Ryan Flournoy,DAL,WR,1,1,NYG,100,100,24,0.17,0.92,0.18,8,0.13,2.13,0.34,16,0.19,0.31,0.09,8,0.13,2.13,0.34,16,0.19,0.31,0.09
2026,71,Mike Evans,SF,WR,1,1,LA,100,100,23,0.3,2.13,0.73,5,0.6,3.4,2.14,18,0.22,1.78,0.34,10,0.3,2.7,0.57,13,0.31,1.69,0.86
2026,72,Courtland Sutton,DEN,WR,1,1,KC,100,100,23,0.17,0.48,0.13,8,0.13,0,0,15,0.2,0.73,0.21,10,0.2,0,0,13,0.15,0.85,0.24
2026,73,Calvin Ridley,TEN,WR,1,1,NYJ,100,0,23,0,0,0,5,0,0,0,18,0,0,0,11,0,0,0,12,0,0,0
2026,74,Isaiah Likely,NYG,TE,1,1,DAL,100,100,23,0.35,3.39,1.21,6,0.5,6,1.1,15,0.27,2.67,0.93,13,0.31,3.31,0.64,10,0.4,3.5,1.95
2026,75,Tyquan Thornton,KC,WR,1,1,DEN,100,100,23,0.04,0,0,9,0.11,0,0,14,0,0,0,13,0.08,0,0,10,0,0,0
2026,76,Andrei Iosivas,CIN,WR,1,1,TB,100,100,23,0.13,0.52,0.14,5,0.2,0,0.2,17,0.12,0.71,0.13,15,0.13,0.8,0.15,8,0.13,0,0.13
2026,77,Malik Nabers,NYG,WR,1,1,DAL,100,100,23,0.39,3,0.56,4,0.5,2,0.45,19,0.37,3.21,0.58,11,0.27,0.73,0.16,12,0.5,5.08,0.92
2026,78,Kalif Raymond,CHI,WR,1,1,CAR,100,100,22,0.41,3.82,0.75,3,0.33,9.33,1.27,19,0.42,2.95,0.66,15,0.47,4.2,0.82,7,0.29,3,0.59
2026,79,Hunter Henry,NE,TE,1,1,SEA,100,100,22,0.14,1.18,0.25,1,0,0,0,20,0.15,1.3,0.28,6,0,0,0,16,0.19,1.63,0.35
2026,80,Dyami Brown,WAS,WR,1,1,PHI,100,100,22,0.09,0,0,3,0.33,0,0,18,0.06,0,0,12,0.08,0,0,10,0.1,0,0
2026,81,Greg Dulcich,MIA,TE,1,1,LV,100,100,22,0.09,0.82,0.17,1,0,0,0,19,0.11,0.95,0.2,14,0.07,0.86,0.16,8,0.13,0.75,0.2
2026,82,Alec Pierce,IND,WR,1,1,BLT,100,100,22,0.27,2.77,0.46,4,0.25,2.75,0.53,17,0.29,2.94,0.47,5,0.8,9.6,1.56,17,0.12,0.76,0.14
2026,83,Dalton Kincaid,BUF,TE,1,1,HST,100,100,22,0.27,5.91,0.82,5,0.2,8,1,17,0.29,5.29,0.76,18,0.22,6.61,0.88,4,0.5,2.75,0.53
2026,84,Tucker Kraft,GB,TE,1,1,MIN,100,100,22,0.27,2.95,0.43,1,0,0,0,18,0.33,3.61,0.53,6,0.17,5,0.67,16,0.31,2.19,0.34
2026,85,Gunnar Helm,TEN,TE,1,1,NYJ,100,100,22,0.23,1.27,0.31,6,0.33,2.5,0.58,15,0.13,0.87,0.22,8,0.25,0.75,0.33,14,0.21,1.57,0.3
2026,86,Harold Fannin,CLV,TE,1,1,JAX,100,100,22,0.14,0.95,0.19,4,0,0,0,18,0.17,1.17,0.23,9,0.22,1.33,0.24,13,0.08,0.69,0.15
2026,87,KC Concepcion,CLV,WR,1,1,JAX,100,100,22,0.18,1.95,0.38,4,0.25,6.25,0.88,17,0.18,1.06,0.28,10,0.3,3.9,0.69,12,0.08,0.33,0.12
2026,88,Mack Hollins,NE,WR,1,1,SEA,100,100,21,0.24,2.43,0.43,1,0,0,0,20,0.25,2.55,0.45,6,0.17,0,0,15,0.27,3.4,0.61
2026,89,Mark Andrews,BLT,TE,1,1,IND,100,100,21,0.29,2.33,0.42,12,0.25,1.83,0.35,8,0.38,3.38,0.59,11,0.36,2.91,0.56,10,0.2,1.7,0.27
2026,90,T.J. Hockenson,MIN,TE,1,1,GB,100,100,21,0.19,1.71,0.65,3,0,0,0,17,0.24,2.12,0.8,5,0.6,4,1,16,0.06,1,0.54
2026,91,Khalil Shakir,BUF,WR,1,1,HST,100,100,21,0.29,1.9,0.38,5,0.2,0,0,16,0.31,2.5,0.5,16,0.25,1.38,0.26,5,0.4,3.6,0.76
2026,92,Garrett Wilson,NYJ,WR,1,1,TEN,100,100,21,0.33,3.76,0.66,3,0.33,3,0.63,18,0.33,3.89,0.67,12,0.5,6.58,1.16,9,0.11,0,0
2026,93,Rome Odunze,CHI,WR,1,1,CAR,100,100,21,0.14,2.48,0.34,3,0,0,0,18,0.17,2.89,0.4,15,0.13,3.47,0.48,6,0.17,0,0
2026,94,Davante Adams,LA,WR,1,1,SF,100,100,20,0.3,1.3,0.28,3,0,0,0,17,0.35,1.53,0.33,8,0.13,0,0,12,0.42,2.17,0.47
2026,95,Evan Engram,DEN,TE,1,1,KC,100,100,20,0.2,2.15,0.72,8,0.13,0.75,0.2,12,0.25,3.08,1.06,9,0,0,0,11,0.36,3.91,1.3
2026,96,Cooper Kupp,SEA,WR,1,1,NE,100,100,20,0.15,1.75,0.28,7,0.29,3.43,0.49,13,0.08,0.85,0.16,10,0.2,2.4,0.34,10,0.1,1.1,0.21
2026,97,Kyle Pitts,ATL,TE,1,1,PIT,100,100,20,0.05,0,0,0,0,0,0,20,0.05,0,0,8,0,0,0,12,0.08,0,0
2026,98,Tommy Tremble,CAR,TE,1,1,CHI,100,100,20,0.15,1.25,0.28,10,0.2,2.2,0.42,10,0.1,0.3,0.13,12,0.17,1.83,0.35,8,0.13,0.38,0.16
2026,99,Chig Okonkwo,WAS,TE,1,1,PHI,100,100,20,0.15,0.8,0.18,2,0,0,0,18,0.17,0.89,0.2,5,0,0,0,15,0.2,1.07,0.24
2026,100,Puka Nacua,LA,WR,1,1,SF,100,100,20,0.45,3.7,0.62,5,0.6,2,0.8,14,0.43,4.57,0.6,9,0.44,1,0.32,11,0.45,5.91,0.86
2026,101,Adonai Mitchell,NYJ,WR,1,1,TEN,100,100,20,0.15,3,0.45,2,0,0,0,18,0.17,3.33,0.5,11,0.18,3.82,0.56,9,0.11,2,0.31
2026,102,Demarcus Robinson,SF,WR,1,1,LA,100,100,19,0.16,2.63,0.68,4,0,0,0,13,0.15,3.85,1,6,0,0,0,13,0.23,3.85,1
2026,103,Rashid Shaheed,SEA,WR,1,1,NE,100,100,19,0.16,0.21,0.07,9,0.11,0,0,10,0.2,0.4,0.14,8,0.13,0,0,11,0.18,0.36,0.13
2026,104,Pat Bryant,DEN,WR,1,1,KC,100,100,19,0.32,2.21,0.43,7,0.57,3,0.59,12,0.17,1.75,0.34,10,0.4,1.9,0.39,9,0.22,2.56,0.48
2026,105,Elic Ayomanor,TEN,WR,1,1,NYJ,100,100,19,0.16,0.58,0.43,4,0.5,2.75,2.02,14,0.07,0,0,7,0.43,1.57,1.16,12,0,0,0
2026,106,Malachi Fields,NYG,WR,1,1,DAL,100,100,19,0.21,1.32,0.24,2,0,0,0,16,0.25,1.56,0.28,10,0.3,0.6,0.16,9,0.11,2.11,0.32
2026,107,Chris Bell,MIA,WR,1,1,LV,100,100,19,0.11,1.32,0.18,1,0,0,0,16,0.13,1.56,0.22,15,0.13,1.67,0.23,4,0,0,0
2026,108,Noah Fant,NO,TE,1,1,DET,100,100,18,0.44,1.83,0.74,7,0.57,2.57,1.4,11,0.36,1.36,0.32,12,0.33,1.42,0.81,6,0.67,2.67,0.6
2026,109,Colby Parkinson,LA,TE,1,1,SF,100,100,18,0.11,0.33,0.09,2,0,0,0,15,0.07,0,0,7,0.14,0,0,11,0.09,0.55,0.15
2026,110,Cole Kmet,CHI,TE,1,1,CAR,100,100,18,0.17,1.94,0.64,0,0,0,0,17,0.18,2.06,0.68,8,0.25,2.75,1.15,10,0.1,1.3,0.23
2026,111,Jalen Nailor,LV,WR,1,1,MIA,100,100,18,0.28,1.5,0.32,4,0.25,0,0,13,0.31,2.08,0.44,13,0.31,1.46,0.3,5,0.2,1.6,0.36
2026,112,Ladd McConkey,LAC,WR,1,1,ARZ,100,100,18,0.39,4.56,1.07,0,0,0,0,13,0.38,5.69,0.88,6,0.33,5.5,0.88,12,0.42,4.08,1.16
2026,113,George Kittle,SF,TE,1,1,LA,100,100,17,0.29,0.71,0.19,4,0,0,0,10,0.4,0.6,0.16,7,0.29,0,0,10,0.3,1.2,0.32
2026,114,Jonnu Smith,GB,TE,1,1,MIN,100,100,17,0.18,2.94,0.41,1,0,0,0,14,0.21,3.57,0.5,5,0.2,1.4,0.34,12,0.17,3.58,0.44
2026,115,David Njoku,LAC,TE,1,1,ARZ,100,100,17,0.29,3.41,0.64,0,0,0,0,16,0.31,3.63,0.68,2,0,0,0,15,0.33,3.87,0.72
2026,116,Mike Gesicki,CIN,TE,1,1,TB,100,100,17,0.41,4.59,1.11,1,0,0,0,15,0.4,5.07,0.77,14,0.43,4.79,1.19,3,0.33,3.67,0.7
2026,117,Jauan Jennings,MIN,WR,1,1,GB,100,100,17,0.06,0,0,2,0.5,0,0,15,0,0,0,5,0,0,0,12,0.08,0,0
2026,118,Isaiah Williams,NYJ,WR,1,1,TEN,100,100,17,0.06,0.41,0.1,2,0,0,0,15,0.07,0.47,0.11,9,0,0,0,8,0.13,0.88,0.21
2026,119,AJ Barner,SEA,TE,1,1,NE,100,100,17,0.12,0.76,0.19,8,0.13,1.13,0.24,9,0.11,0.44,0.16,10,0.1,0.9,0.19,7,0.14,0.57,0.2
2026,120,Keon Coleman,BUF,WR,1,1,HST,100,100,17,0.06,0.06,0.06,4,0,0,0,13,0.08,0.08,0.08,14,0.07,0.07,0.08,3,0,0,0
2026,121,Jakobi Meyers,JAX,WR,1,1,CLV,100,100,16,0.13,2.5,0.75,2,0,0,0,14,0.14,2.86,0.86,10,0,0,0,6,0.33,6.67,2
2026,122,Deebo Samuel,SF,WR,1,1,LA,100,100,16,0.44,3,1.05,1,0,0,0,13,0.46,3.46,1.19,6,0.67,6.5,2.32,10,0.3,0.9,0.29
2026,123,Jahan Dotson,ATL,WR,1,1,PIT,100,100,16,0.19,1.19,0.18,0,0,0,0,16,0.19,1.19,0.18,7,0.29,0,0,9,0.11,2.11,0.32
2026,124,Darnell Washington,PIT,TE,1,1,ATL,100,100,15,0.13,1.2,0.25,2,0,0,0,13,0.15,1.38,0.29,12,0.17,1.5,0.32,3,0,0,0
2026,125,Parker Washington,JAX,WR,1,1,CLV,100,100,15,0.4,5.53,1.29,3,0.33,10,3.33,12,0.42,4.42,0.78,11,0.55,7.55,1.75,4,0,0,0
2026,126,Jaylin Noel,HST,WR,1,1,BUF,100,100,15,0.13,3.53,0.49,3,0,0,0,12,0.17,4.42,0.61,5,0,0,0,10,0.2,5.3,0.73
2026,127,Ja'Kobi Lane,BLT,WR,1,1,IND,100,100,15,0.2,0.73,0.14,8,0.13,0,0,7,0.29,1.57,0.3,8,0,0,0,7,0.43,1.57,0.3
2026,128,Darren Waller,CAR,TE,1,1,CHI,100,100,14,0.07,0.79,0.15,4,0,0,0,9,0.11,1.22,0.23,7,0.14,1.57,0.3,7,0,0,0
2026,129,Drew Sample,CIN,TE,1,1,TB,100,100,14,0.21,1.36,0.35,6,0.17,0.33,0.2,8,0.25,2.13,0.46,10,0.1,0.6,0.16,4,0.5,3.25,0.82
2026,130,A.J. Brown,NE,WR,1,1,SEA,100,100,14,0.29,1.86,0.4,2,0.5,0,0,12,0.25,2.17,0.47,7,0.29,0.71,0.21,7,0.29,3,0.59
2026,131,Luke Farrell,SF,TE,1,1,LA,100,100,14,0.14,1.36,0.28,1,0,0,0,13,0.15,1.46,0.3,7,0.14,0.71,0.21,7,0.14,2,0.34
2026,132,Brenton Strange,JAX,TE,1,1,CLV,100,100,14,0.21,1.64,0.74,3,0.33,0,0,11,0.18,2.09,0.94,11,0.18,0.82,0.17,3,0.33,4.67,2.8
2026,133,Jahdae Walker,CHI,WR,1,1,CAR,100,100,14,0.07,0.07,0.51,0,0,0,0,13,0,0,0,6,0,0,0,8,0.13,0.13,0.89
2026,134,Mason Taylor,NYJ,TE,1,1,TEN,100,100,14,0.21,-0.14,0.13,2,0.5,-4,0.1,11,0.18,0.55,0.15,7,0.29,-0.29,0.26,7,0.14,0,0
2026,135,Jordan Whittington,LA,WR,1,1,SF,100,100,13,0.08,0.62,0.14,0,0,0,0,13,0.08,0.62,0.14,8,0.13,1,0.23,5,0,0,0
2026,136,De'Zhaun Stribling,SF,WR,1,1,LA,100,0,13,0,0,0,2,0,0,0,10,0,0,0,8,0,0,0,5,0,0,0
2026,137,Kevin Coleman,MIA,WR,1,1,LV,100,100,13,0.15,0,0,3,0.33,0,0,10,0.1,0,0,7,0.29,0,0,6,0,0,0
2026,138,Dawson Knox,BUF,TE,1,1,HST,100,100,12,0.08,0.58,0.14,3,0.33,2.33,0.57,9,0,0,0,11,0.09,0.64,0.15,1,0,0,0
