,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,108,Drew Sample,CIN,TE,1,1,TB,100,100,61.9,14,37.8,3,8.6,1.36,0.21,1.67,5,2.2,19,7.5,6.33,6.33,3,100,14,4.67,2,0.67,0,0.04,0,1,0,0,1,0.071,93.1,2,7.4,1,33.3,3,100,0,0,0,0,0,0,0,0,0,0,18.8,-0.11,0.294,0,7.1,71.4,21.4,4.9,5.4,4.9,5.36,-0.46,0.35,0.38,5.4
2026,109,Luke Farrell,SF,TE,1,1,LA,100,100,71.9,14,38.9,2,5.9,1.36,0.14,1,2,1.2,19,9.3,9.5,9.5,2,100,17,8.5,9,4.5,0,0,0,0,0,0,1,0.071,106.3,1,4,0,0,2,100,0,0,0,0,0,0,0,0,0,0,10,3.67,0.762,7.1,7.1,85.7,0,3.9,3.1,3.9,3.13,0.77,0.28,0.22,3.1
2026,110,Jahan Dotson,ATL,WR,1,1,PIT,100,100,59.6,16,61.5,3,13.6,1.19,0.19,16,48,63.2,19,13.3,6.33,19,1,33.3,1,1,1,1,0,0,0,0,0,0,1,0.063,16.7,2,14.3,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,23.1,-4.05,-1.525,81.3,18.8,0,0,2.9,3,2.9,3.04,-0.14,0.18,0.19,3
2026,111,Rashee Rice,KC,WR,1,1,DEN,100,100,83.6,27,81.8,2,7.4,0.7,0.07,3.5,7,6.5,19,10.3,9.5,9.5,2,100,12,6,13,6.5,1,0.41,50,1,0,0,1,0.037,145.8,2,10,1,50,2,100,0,0,0,0,0,0,0,0,2,1,9.5,2.95,1.063,55.6,44.4,0,0,9.9,6,9.9,6.01,3.89,0.37,0.22,6
2026,112,Greg Dulcich,MIA,TE,1,1,LV,100,100,74,22,59.5,2,7.4,0.82,0.09,0,0,0,18,8.2,9,9,2,100,18,9,5,2.5,0,0,0,0,0,0,1,0.045,104.2,1,5.9,1,50,2,100,0,0,0,0,0,0,0,0,0,0,10.5,3.39,0.82,13.6,9.1,77.3,0,3.8,3.2,3.8,3.24,0.56,0.17,0.15,3.2
2026,113,Darnell Washington,PIT,TE,1,1,ATL,100,100,64.1,15,34.9,2,4.9,1.2,0.13,2.5,5,1.3,18,8.1,9,9,2,100,13,6.5,10,5,0,0,0,0,0,0,1,0.067,104.2,1,4.3,0,0,2,100,0,0,0,0,0,0,0,0,1,0.5,9.5,2.65,0.318,6.7,20,73.3,0,3.8,3.4,3.8,3.39,0.41,0.25,0.23,3.4
2026,114,Xavier Worthy,KC,WR,1,1,DEN,100,100,77.6,27,81.8,6,22.2,0.67,0.22,7,42,39.3,18,9.8,3,6,3,50,15,5,2,0.67,0,0.03,0,1,0,0,1,0.037,16.7,6,30,1,16.7,4,66.7,1,0,0,0,1,0,0,0,0,0,26.1,-4.28,-1.408,74.1,22.2,3.7,0,4.8,5.5,4.8,5.46,-0.66,0.18,0.2,5.5
2026,115,Dohnte Meyers,CIN,WR,1,1,TB,100,100,12.7,4,10.8,1,2.9,4.5,0.25,2,2,0.9,18,7.1,18,18,1,100,16,16,16,16,0,0.01,0,0,0,0,1,0.25,118.8,1,3.7,0,0,1,100,0,0,0,0,0,0,0,0,1,1,20,12.67,1.034,0,100,0,0,3.8,2.3,3.8,2.27,1.53,0.7,0.46,1.8
2026,116,Quentin Johnston,LAC,WR,1,1,ARZ,100,100,78.4,26,74.3,5,18.5,0.65,0.19,10.8,54,19.2,17,8.1,3.4,8.5,2,40,5,2.5,13,6.5,0,0.02,0,0,0,0,0,0,49.6,4,19,0,0,4,80,0,0,1,20,1,0,0,0,0,0,26.3,-5.21,-0.105,80.8,19.2,0,0,3.7,8,3.7,8,-4.3,0.14,0.31,8
2026,117,Chig Okonkwo,WAS,TE,1,1,PHI,100,100,56.7,20,52.6,3,8.8,0.8,0.15,13,39,15.6,16,9.8,5.33,8,2,66.7,1,0.5,0,0,0,0.01,0,0,0,0,1,0.05,79.9,2,8.7,0,0,2,66.7,1,0,0,0,0,0,0,0,0,0,17.6,-5.26,0.309,10,60,30,0,3.6,3.9,3.6,3.91,-0.31,0.18,0.2,3.9
2026,118,Marlin Klein,HST,TE,1,1,BUF,100,100,13.7,2,4.8,1,2.6,8,0.5,14,14,4.9,16,5.8,16,16,1,100,2,2,1,1,0,0,0,0,0,0,1,0.5,118.8,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,5.72,1.046,0,50,50,0,2.6,2.6,2.6,2.6,0,1.3,1.3,2.6
2026,119,Foster Moreau,HST,TE,1,1,BUF,100,100,41.1,9,21.4,2,5.3,1.67,0.22,2.5,5,1.8,15,5.5,7.5,7.5,2,100,10,5,5,2.5,0,0,0,0,0,0,0,0,97.9,2,6.1,0,0,2,100,0,0,0,0,1,1,100,0,0,0,22.2,1.62,0.466,11.1,0,88.9,0,3.5,2.7,3.5,2.71,0.79,0.39,0.3,2.7
2026,120,LaJohntay Wester,BLT,WR,1,1,IND,100,100,29.7,12,40,2,8,1.25,0.17,5.5,11,4.1,15,4.6,7.5,7.5,2,100,4,2,0,0,0,0.01,0,0,0,0,0,0,97.9,1,5.3,0,0,2,100,0,0,0,0,1,1,100,0,0,0,22.2,0.84,-0.025,25,66.7,0,8.3,3.5,2.8,3.5,2.82,0.68,0.29,0.24,2.8
2026,121,Terry McLaurin,WAS,WR,1,1,PHI,100,100,86.6,35,92.1,4,11.8,0.4,0.11,5.25,21,8.4,14,8.5,3.5,7,2,50,15,7.5,2,1,0,0.16,0,1,0,0,1,0.029,58.3,4,17.4,1,25,3,75,0,0,1,25,0,0,0,0,0,0,15.4,-3.33,0.493,68.6,31.4,0,0,3.4,5.6,3.4,5.59,-2.19,0.1,0.16,5.6
2026,122,Blake Whiteheart,CLV,TE,1,1,JAX,100,100,40.8,9,30,1,4.5,1.56,0.11,6,6,3,14,6.8,14,14,1,100,8,8,3,3,0,0,0,0,0,0,1,0.111,118.8,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,11.1,6.91,1.046,11.1,0,88.9,0,2.4,1.8,2.4,1.84,0.56,0.27,0.2,1.8
2026,123,Brevyn Spann-Ford,DAL,TE,1,1,NYG,100,100,25,9,25,2,5.9,1.56,0.22,3.5,7,2.9,14,8,7,7,2,100,7,3.5,1,0.5,0,0,0,0,0,0,0,0,95.8,2,8,0,0,2,100,0,0,0,0,0,0,0,0,0,0,25,0.57,0.258,11.1,66.7,22.2,0,3.4,3.4,3.4,3.41,-0.01,0.38,0.38,3.4
2026,124,John Bates,WAS,TE,1,1,PHI,100,100,47.8,9,23.7,3,8.8,1.44,0.33,2.33,7,2.8,13,7.9,4.33,6.5,2,66.7,16,8,4,2,0,0.01,0,1,1,0,0,0,75.7,3,13,1,33.3,2,66.7,0,0,0,0,0,0,0,0,0,0,30,-1.84,-0.23,11.1,11.1,77.8,0,3.3,3.3,3.3,3.29,0.01,0.37,0.37,3.3
2026,125,Davis Allen,LA,TE,1,1,SF,100,100,33.3,4,13.8,1,3.6,3.25,0.25,-1,-1,-0.4,13,7.7,13,13,1,100,14,14,5,5,0,0,0,0,0,0,1,0.25,118.8,1,4.8,0,0,1,100,0,0,0,0,0,0,0,0,1,1,25,8.1,1.198,0,25,75,0,2.3,1.6,2.3,1.57,0.73,0.57,0.39,1.6
2026,126,AJ Barner,SEA,TE,1,1,NE,100,100,89.6,17,63,2,8.3,0.76,0.12,-1,-2,-1.4,13,6.5,6.5,6.5,2,100,15,7.5,6,3,0,0,0,0,0,0,1,0.059,93.8,1,5.6,0,0,2,100,0,0,0,0,0,0,0,0,0,0,10,0.68,0.439,17.6,17.6,64.7,0,3.3,3.2,3.3,3.18,0.12,0.19,0.19,3.2
2026,127,Tyler Warren,IND,TE,1,1,BLT,100,100,92.5,28,82.4,5,16.1,0.46,0.18,4.8,24,12.2,13,7.8,2.6,4.33,3,60,7,2.33,3,1,1,0.06,100,1,0,0,1,0.036,104.2,1,5.3,0,0,4,80,0,0,0,0,2,1,50,0,0,0,17.2,-4.38,-0.111,21.4,46.4,32.1,0,10.3,5.1,10.3,5.13,5.17,0.37,0.18,5.1
2026,128,Matthew Hibner,BLT,TE,1,1,IND,100,100,32.8,5,16.7,1,4,2.6,0.2,2,2,0.7,13,4,13,13,1,100,11,11,2,2,0,0.01,0,0,0,0,1,0.2,118.8,1,5.3,0,0,1,100,0,0,0,0,0,0,0,0,0,0,25,6.63,0.854,0,20,80,0,2.3,1.6,2.3,1.62,0.68,0.46,0.32,1.6
2026,129,Tyler Higbee,LA,TE,1,1,SF,100,100,19.3,4,13.8,2,7.1,3,0.5,4.5,9,3.6,12,7.1,6,6,2,100,3,1.5,0,0,0,0,0,0,0,0,0,0,91.7,2,9.5,0,0,2,100,0,0,0,0,0,0,0,0,0,0,40,-0.71,-2.366,25,0,75,0,2.2,3.4,2.2,3.41,-1.21,0.8,0.85,3.4
2026,130,George Kittle,SF,TE,1,1,LA,100,100,46.9,17,47.2,5,14.7,0.71,0.29,8,40,24.7,12,5.9,2.4,6,2,40,18,9,7,3.5,0,0.02,0,1,0,0,0,0,8.3,5,20,2,40,3,60,1,0,0,0,1,0,0,0,1,0.5,27.8,-6.42,-1.116,5.9,35.3,58.8,0,3.2,4,3.2,3.99,-0.79,0.19,0.23,4
2026,131,Ja'Marr Chase,CIN,WR,1,1,TB,100,100,93.7,36,97.3,4,11.4,0.33,0.11,8.25,33,14.7,12,4.7,3,6,2,50,2,1,2,1,0,0.22,0,1,0,0,1,0.028,56.3,4,14.8,1,25,4,100,0,0,0,0,3,1,33.3,1,0,0,12.1,-4.96,-0.634,63.9,36.1,0,0,3.2,7,3.2,7.04,-3.84,0.09,0.2,7
