,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,CONCEPT,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,25,Breece Hall,NYJ,RB,1,Outside Zone,27.27272727272727,60,6,60,0,29,4.83,1,0.67,0,2,20,12,41.4,100,16.7,83.3,16.7,5.8,2.5,16.7,2.33,48.3,2,0.33,0.409,2.5,6,100,29,1,4.83,83.3,0,0,0,0,0,0,8.9,6.3,8.9,6.31,2.59
2026,26,Kenneth Walker,KC,RB,1,Man/Duo,17.391304347826086,66.7,4,66.7,0,29,7.25,0,0,0,3,25,13,44.8,0,0,100,0,15.1,3.25,0,4,55.2,4,1,1.342,5.4,0,0,0,0,0,0,4,100,29,0,7.25,100,2.9,1.4,2.9,1.41,1.49
2026,27,Kyle Monangai,CHI,RB,1,Outside Zone,70,35,7,35,0,29,4.14,0,0.07,0,1,16.7,14,48.3,0,0,42.9,42.9,1,1.86,42.9,2.29,55.2,0,0,-0.355,-2.5,7,100,29,0,4.14,42.9,0,0,0,0,0,0,2.9,3.2,2.9,3.25,-0.35
2026,28,Jacory Croskey-Merritt,WAS,RB,1,Outside Zone,37.5,75,6,75,0,29,4.83,0,0.01,0,2,33.3,22,75.9,0,0,33.3,66.7,1.2,2.83,50,2,41.4,1,0.17,-0.02,-0.1,6,100,29,0,4.83,33.3,0,0,0,0,0,0,2.9,2.9,2.9,2.86,0.04
2026,29,Woody Marks,HST,RB,1,Power,44.44444444444444,44.4,4,44.4,0,29,7.25,0,0.01,0,3,50,22,75.9,0,0,75,0,11.4,5.25,0,2,27.6,3,0.75,0.804,3.2,0,0,0,0,0,0,4,100,29,0,7.25,75,2.9,1.8,2.9,1.83,1.07
2026,30,Mike Washington,LV,RB,1,Inside Zone,42.857142857142854,25,3,25,0,29,9.67,0,0.01,0,1,33.3,18,62.1,0,0,66.7,0,16,6.67,33.3,3,31,0,0,0.065,0.2,3,100,29,0,9.67,66.7,0,0,0,0,0,0,2.9,1.4,2.9,1.35,1.55
2026,31,Christian McCaffrey,SF,RB,1,Outside Zone,40,36.4,4,36.4,0,28,7,0,0.2,0,1,33.3,14,50,0,0,75,25,11.1,4.5,0,2.5,35.7,1,0.25,0.339,1.4,4,100,28,0,7,75,0,0,0,0,0,0,2.8,2.9,2.8,2.9,-0.1
2026,32,Rhamondre Stevenson,NE,RB,1,Man/Duo,61.111111111111114,91.7,11,91.7,0,28,2.55,0,0.01,0,1,9.1,12,42.9,0,0,45.5,63.6,-23.3,-0.09,63.6,2.64,103.6,2,0.18,-0.602,-6.6,0,0,0,0,0,0,11,100,28,0,2.55,45.5,2.8,5.2,2.8,5.18,-2.38
2026,33,Chase Brown,CIN,RB,1,Man/Duo,43.75,100,7,100,0,28,4,1,0.56,0,2,0,0,0,100,14.3,71.4,28.6,-1.4,2,28.6,2,50,0,0,0.131,0.9,0,0,0,0,0,0,7,100,28,1,4,71.4,8.8,6.3,8.8,6.31,2.49
2026,34,Derrick Henry,BLT,RB,1,Counter,16.666666666666664,100,4,100,0,27,6.75,0,0.29,0,1,33.3,12,44.4,0,0,100,25,12.7,1.25,25,5.5,81.5,1,0.25,0.394,1.6,0,0,0,0,0,0,4,100,27,0,6.75,100,2.7,3.2,2.7,3.2,-0.5
