,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,COV,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,9,Dontayvion Wicks,PHI,WR,2,Cover 6,18.51851851851852,30,66.7,10,66.7,3,27.3,8.4,0.3,21.33,64,38.6,84,46.4,28,28,3,100,20,6.67,2,0.67,0,0.29,0,0,0,0,3,0.3,118.8,3,33.3,0,0,3,100,1,33.3,0,0,0,0,0,0,0,0,37.5,16.99,3.035,80,20,0,0,11.4,11.6,5.7,5.81,-0.11,1.14,1.16,11.6
2026,10,Tre Tucker,LV,WR,2,Cover 3,41.66666666666667,54.54545454545454,80,20,80,6,25,4.2,0.3,16.5,99,46,84,42,14,21,4,66.7,7,1.75,2,0.5,0,0.17,0,0,0,0,3,0.15,70.1,6,33.3,0,0,5,83.3,1,50,0,0,2,1,50,1,0,0,31.6,4.13,-0.002,90,10,0,0,12.4,12.4,6.2,6.18,0.02,0.62,0.62,12.4
2026,11,Matthew Golden,GB,WR,2,Cover 2,31.818181818181817,27.77777777777778,88,21,84,5,20.8,4,0.24,8,40,23,84,43.5,16.8,16.8,5,100,44,8.8,8,1.6,0,0.04,0,0,0,0,5,0.238,118.8,4,22.2,1,20,5,100,1,20,0,0,0,0,0,0,0,0,23.8,9.54,0.921,100,0,0,0,13.4,10.7,6.7,5.33,1.37,0.64,0.51,10.7
2026,12,CeeDee Lamb,DAL,WR,2,Cover 4,32.142857142857146,41.17647058823529,69.2,18,69.2,7,31.8,4.44,0.39,13.57,95,62.9,80,46.8,11.43,16,5,71.4,9,1.8,1,0.2,1,0.94,50,1,1,1,4,0.222,148.8,6,37.5,0,0,6,85.7,2,50,0,0,3,2,66.7,1,0,0,43.8,2.34,1.064,61.1,27.8,0,11.1,19,17,9.5,8.49,1.01,1.06,0.94,17
2026,13,Adonai Mitchell,NYJ,WR,2,Cover 3,36.84210526315789,46.666666666666664,95.8,21,87.5,7,31.8,3.76,0.33,16.29,114,60.3,79,30.3,11.29,15.8,5,71.4,10,2,1,0.2,0,0.63,0,1,0,0,4,0.19,108.6,3,27.3,0,0,7,100,2,20,1,14.3,1,0,0,0,0,0,35,1.92,0.861,85.7,9.5,4.8,0,12.9,22.6,6.45,11.32,-4.87,0.61,1.08,22.6
2026,14,Ryan Miller,MIA,WR,1,Cover 3,100,100,7.7,2,10,1,5.9,38.5,0.5,41,41,33.6,77,42.8,77,77,1,100,36,36,0,0,1,0.1,100,0,0,0,1,0.5,158.3,1,9.1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,33.3,62,7.011,0,100,0,0,14.7,5.9,14.7,5.9,8.8,7.35,2.95,5.9
2026,15,Parker Washington,JAX,WR,2,Cover 1,33.33333333333333,33.33333333333333,100,14,100,6,46.2,5.36,0.43,17,102,52,75,70.1,12.5,18.75,4,66.7,1,0.25,-1,-0.25,1,0.7,100,0,0,0,3,0.214,149.3,4,44.4,0,0,4,66.7,2,25,0,0,1,1,100,1,1,0.25,46.2,2.77,0.945,28.6,71.4,0,0,17.5,14.2,8.75,7.1,1.65,1.25,1.01,14.2
2026,16,Amon-Ra St. Brown,DET,WR,2,Cover 3,45.67901234567901,42.30769230769231,100,37,100,11,34.4,1.95,0.3,6.7,67,33.8,72,35,6.55,8,9,81.8,21,2.33,6,0.67,1,0.79,100,2,0,0,3,0.081,124.2,10,55.6,2,18.2,10,90.9,0,0,0,0,1,0,0,0,0,0,34.4,-0.03,0.224,48.6,51.4,0,0,22.2,22.7,11.1,11.37,-0.27,0.6,0.61,22.7
2026,17,Chris Olave,NO,WR,2,Cover 3,34.11764705882353,27.27272727272727,86.5,29,78.4,6,18.8,2.48,0.21,17.67,106,42.6,72,29,12,18,4,66.7,20,5,11,2.75,0,0.14,0,0,0,0,2,0.069,107.6,5,23.8,0,0,5,83.3,2,25,0,0,1,0,0,0,1,0.25,21.4,2.61,0.672,79.3,20.7,0,0,11.2,14.3,5.6,7.17,-1.57,0.39,0.49,14.3
2026,18,Garrett Wilson,NYJ,WR,2,Cover 3,36.206896551724135,42.857142857142854,95.8,21,87.5,6,27.3,3.33,0.29,12,72,38.1,70,26.8,11.67,14,5,83.3,16,3.2,4,0.8,0,0.05,0,0,0,0,2,0.095,115.3,4,36.4,0,0,5,83.3,1,40,0,0,0,0,0,0,0,0,30,2.9,0.268,90.5,9.5,0,0,12,12.2,6,6.11,-0.11,0.57,0.58,12.2
2026,19,Elic Ayomanor,TEN,WR,2,Cover 3,25.806451612903224,50,52.6,8,42.1,3,18.8,8.63,0.38,16,48,46.6,69,43.9,23,34.5,2,66.7,39,19.5,9,4.5,0,0.03,0,0,0,0,2,0.25,109.7,3,25,0,0,3,100,0,100,0,0,1,0,0,0,2,1,33.3,12.51,1.014,62.5,37.5,0,0,8.9,7,4.45,3.49,0.96,1.11,0.87,7
2026,20,Luther Burden,CHI,WR,2,Cover 3,54.71698113207547,75,85.7,29,82.9,9,32.1,2.34,0.31,9.44,85,31.7,68,30.2,7.56,11.33,6,66.7,24,4,14,2.33,0,0.08,0,1,0,0,2,0.069,49.5,7,43.8,1,11.1,8,88.9,0,16.7,1,11.1,2,1,50,0,1,0.17,37.5,-0.83,-0.535,48.3,51.7,0,0,12.8,15.6,6.4,7.82,-1.42,0.44,0.54,15.6
2026,21,Malik Washington,MIA,WR,2,Cover 3,57.89473684210527,53.84615384615385,87.2,33,84.6,7,23.3,2.03,0.21,9.43,66,21.9,67,21.3,9.57,13.4,5,71.4,40,8,15,3,0,0.04,0,0,0,0,3,0.091,101.5,4,20,2,28.6,6,85.7,2,40,0,0,1,0,0,0,2,0.4,26.9,1.41,0.455,39.4,48.5,0,12.1,11.7,11.1,5.85,5.56,0.29,0.35,0.34,11.1
2026,22,Denzel Boston,CLV,WR,2,Cover 4,24.074074074074073,27.27272727272727,92.9,13,92.9,3,27.3,5.15,0.23,21.67,65,51.2,67,53.6,22.33,22.33,3,100,7,2.33,3,1,1,0.71,100,0,1,1,2,0.154,158.3,2,22.2,0,0,3,100,1,33.3,0,0,0,0,0,0,0,0,30,12.74,2.229,92.3,7.7,0,0,15.7,13.7,7.85,6.85,1,1.21,1.05,13.7
2026,23,Chris Olave,NO,WR,1,Cover 6,8.235294117647058,9.090909090909092,100,7,100,2,40,9.14,0.29,27,54,76.1,64,78,32,32,2,100,10,5,1,0.5,0,0.33,0,0,0,0,2,0.286,118.8,2,66.7,0,0,2,100,1,100,0,0,0,0,0,0,0,0,66.7,20.04,2.347,71.4,28.6,0,0,8.4,9.2,8.4,9.24,-0.84,1.2,1.32,9.2
2026,24,Tre Harris,LAC,WR,2,Cover 3,29.166666666666668,55.55555555555556,70,14,70,5,26.3,4.57,0.36,11.8,59,30.6,64,32.7,12.8,32,2,40,34,17,7,3.5,0,0.1,0,0,0,0,1,0.071,87.5,3,17.6,0,0,3,60,0,50,0,0,2,1,50,0,0,0,35.7,4.08,0.365,57.1,42.9,0,0,8.4,6.6,4.2,3.29,0.91,0.6,0.47,6.6
2026,25,Stefon Diggs,WAS,WR,2,Cover 3,29.78723404255319,40,48.3,14,48.3,6,27.3,4.43,0.43,14.17,85,34.8,62,38.5,10.33,15.5,4,66.7,9,2.25,3,0.75,1,0.81,100,1,1,1,4,0.286,140.3,3,18.8,0,0,4,66.7,2,25,0,0,2,2,100,0,0,0,66.7,1.17,0.673,28.6,71.4,0,0,16.2,13.1,8.1,6.53,1.57,1.16,0.93,13.1
2026,26,Zay Flowers,BLT,WR,1,Cover 1,36.36363636363637,33.33333333333333,22.2,4,30.8,2,22.2,15.25,0.5,16,32,32,61,37.9,30.5,30.5,2,100,29,14.5,3,1.5,0,0.03,0,0,0,0,2,0.5,118.8,2,25,0,0,2,100,1,50,0,0,1,1,100,0,0,0,66.7,20.72,2.489,25,75,0,0,8.1,5.1,8.1,5.1,3,2.02,1.28,5.1
2026,27,Demarcus Robinson,SF,WR,2,Cover 4,30.76923076923077,50,61.5,8,61.5,3,25,7.38,0.38,18,54,62.1,59,48.8,19.67,19.67,3,100,10,3.33,1,0.33,1,0.67,100,1,1,1,3,0.375,158.3,3,37.5,0,0,3,100,1,50,0,0,0,0,0,0,0,0,42.9,10.33,2.026,75,25,0,0,14.9,11.4,7.45,5.71,1.74,1.86,1.43,11.4
2026,28,Drake London,ATL,WR,2,Cover 3,46.666666666666664,60,61.8,21,61.8,6,20.7,2.81,0.29,2.33,14,12,59,48.4,9.83,11.8,5,83.3,45,9,19,3.8,0,0.01,0,0,0,0,4,0.19,107.6,6,33.3,0,0,5,83.3,0,0,0,0,0,0,0,0,1,0.2,35.3,3.72,0.64,71.4,28.6,0,0,10.9,8.6,5.45,4.3,1.15,0.52,0.41,8.6
2026,29,Chris Olave,NO,WR,2,Cover 4,17.647058823529413,31.818181818181817,94.1,15,88.2,7,46.7,3.93,0.47,13.14,92,97.9,59,63.4,8.43,11.8,5,71.4,11,2.2,4,0.8,1,0.81,100,0,1,1,4,0.267,136.3,7,63.6,1,14.3,7,100,2,20,1,14.3,2,1,50,0,0,0,53.8,-0.44,0.676,66.7,33.3,0,0,16.9,19.8,8.45,9.92,-1.47,1.13,1.32,19.8
2026,30,Devaughn Vele,NO,WR,2,Cover 3,35.95505617977528,50,91.9,32,86.5,8,25,1.78,0.25,8.63,69,27.7,57,23,7.13,11.4,5,62.5,15,3,3,0.6,0,0.03,0,0,0,0,2,0.063,83.9,7,33.3,0,0,7,87.5,1,20,1,12.5,1,0,0,0,0,0,27.6,-0.53,0.558,43.8,56.3,0,0,10.7,14.1,5.35,7.05,-1.7,0.33,0.44,14.1
