"Player Details","","","","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"10","Derrick Henry","BLT","RB","1","2024","1","16","PIT","24","162","162.0","6.75","0","0","8","4.2","44","27.2","0.0","","62.5","33.3","3","0.13","62","2.58","38.3","4.17","17","70.8","133","0","7.82","64.7","7","29.2","29","0","4.14","57.1","20.9","20.9","15.2","15.2"
"11","Joe Mixon","HST","RB","1","2024","1","1","IND","30","159","159.0","5.30","1","0","9","","0","","66.7","3.3","63.3","23.3","4","0.13","76","2.53","47.8","2.77","27","90.0","139","1","5.15","59.3","3","10.0","20","0","6.67","100.0","26.8","26.8","24.3","24.3"
"12","Saquon Barkley","PHI","RB","1","2024","1","9","JAX","27","159","159.0","5.89","1","1","5","11.1","55","34.6","0.0","3.7","59.3","40.7","0","","69","2.56","43.4","3.33","12","44.4","41","0","3.42","33.3","13","48.1","106","1","8.15","76.9","33.9","33.9","20.7","20.7"
"13","Alvin Kamara","NO","RB","1","2024","1","9","CAR","29","155","155.0","5.34","0","0","7","3.4","20","12.9","0.0","","62.1","17.2","6","0.21","72","2.48","46.5","2.86","21","72.4","97","0","4.62","61.9","8","27.6","58","0","7.25","62.5","27.5","27.5","25.6","25.6"
"14","Chuba Hubbard","CAR","RB","1","2024","1","10","NYG","28","153","153.0","5.46","1","0","7","14.3","92","60.1","100.0","3.6","50.0","50.0","6","0.21","112","4.00","73.2","1.46","20","71.4","92","0","4.60","45.0","8","28.6","61","1","7.63","62.5","25.9","25.9","28.9","28.9"
"15","Bucky Irving","TB","RB","1","2024","1","13","CAR","25","152","152.0","6.08","1","0","7","4.0","43","28.3","50.0","4.0","72.0","28.0","4","0.16","87","3.48","57.2","2.60","9","36.0","33","0","3.67","66.7","15","60.0","112","1","7.47","73.3","27.5","27.5","20.8","20.8"
"16","Chuba Hubbard","CAR","RB","1","2024","1","16","ARZ","25","152","152.0","6.08","2","0","8","8.0","49","32.2","80.0","8.0","52.0","32.0","6","0.24","83","3.32","54.6","2.76","13","52.0","55","1","4.23","38.5","12","48.0","97","1","8.08","66.7","32.5","32.5","23.3","23.3"
"17","Josh Jacobs","GB","RB","1","2024","1","2","IND","32","151","151.0","4.72","0","1","8","6.3","50","33.1","100.0","","50.0","50.0","5","0.16","74","2.31","49.0","2.41","11","34.4","64","0","5.82","63.6","21","65.6","87","0","4.14","42.9","14.1","14.1","16.5","16.5"
"18","Derrick Henry","BLT","RB","1","2024","1","3","DAL","25","151","151.0","6.04","2","0","8","8.0","55","36.4","100.0","8.0","56.0","40.0","4","0.16","81","3.24","53.6","2.80","16","64.0","81","1","5.06","43.8","9","36.0","70","1","7.78","77.8","30.4","30.4","19.2","19.2"
"19","Saquon Barkley","PHI","RB","1","2024","1","16","WAS","29","150","150.0","5.17","2","0","5","6.9","87","58.0","100.0","6.9","34.5","58.6","3","0.10","34","1.17","22.7","4.00","14","48.3","42","1","3.00","35.7","15","51.7","108","1","7.20","33.3","27.0","27.0","19.7","19.7"
"20","Rico Dowdle","DAL","RB","1","2024","1","15","CAR","25","149","149.0","5.96","0","0","7","","0","","0.0","","84.0","8.0","6","0.24","88","3.52","59.1","2.44","20","80.0","131","0","6.55","90.0","5","20.0","18","0","3.60","60.0","14.9","14.9","15.9","15.9"
"21","Jordan Mason","SF","RB","1","2024","1","1","NYJ","28","147","147.0","5.25","1","0","8","3.6","24","16.3","66.7","3.6","53.6","42.9","6","0.21","81","2.89","55.1","2.36","23","82.1","120","1","5.22","52.2","5","17.9","27","0","5.40","60.0","22.2","22.2","18.0","18.0"
"22","Derrick Henry","BLT","RB","1","2024","1","17","HST","27","147","147.0","5.44","1","0","11","7.4","37","25.2","100.0","3.7","74.1","22.2","5","0.19","-39","-1.44","-26.5","6.89","7","25.9","25","0","3.57","57.1","20","74.1","122","1","6.10","80.0","24.5","24.5","19.9","19.9"
"23","Saquon Barkley","PHI","RB","1","2024","1","3","NO","17","147","147.0","8.65","2","0","7","11.8","85","57.8","100.0","11.8","58.8","35.3","4","0.24","44","2.59","29.9","6.06","8","47.1","115","2","14.38","75.0","8","47.1","32","0","4.00","50.0","33.6","33.6","14.8","14.8"
"24","Saquon Barkley","PHI","RB","1","2024","1","11","WAS","26","146","146.0","5.62","2","0","7","7.7","62","42.5","66.7","7.7","57.7","42.3","6","0.23","42","1.62","28.8","4.00","16","61.5","117","2","7.31","62.5","10","38.5","29","0","2.90","50.0","33.8","33.8","17.7","17.7"
"25","Tyrone Tracy","NYG","RB","1","2024","1","8","PIT","20","145","145.0","7.25","1","0","5","15.0","88","60.7","0.0","5.0","45.0","35.0","5","0.25","63","3.15","43.4","4.10","11","55.0","127","1","11.55","72.7","9","45.0","18","0","2.00","11.1","23.0","23.0","14.5","14.5"
"26","Derrick Henry","BLT","RB","1","2024","1","12","LAC","24","140","140.0","5.83","0","0","9","8.3","46","32.9","0.0","","70.8","29.2","4","0.17","81","3.38","57.9","2.46","12","50.0","56","0","4.67","58.3","12","50.0","84","0","7.00","83.3","14.0","14.0","13.0","13.0"
"27","Jahmyr Gibbs","DET","RB","1","2024","1","18","MIN","23","139","139.0","6.04","3","0","8","8.7","72","51.8","100.0","13.0","47.8","43.5","5","0.22","56","2.43","40.3","3.61","19","82.6","143","2","7.53","52.6","4","17.4","-4","1","-1.00","25.0","46.0","46.0","19.0","19.0"
"28","Derrick Henry","BLT","RB","1","2024","1","18","CLV","20","138","138.0","6.90","2","0","5","20.0","103","74.6","100.0","10.0","55.0","45.0","6","0.30","43","2.15","31.2","4.75","11","55.0","98","1","8.91","45.5","9","45.0","40","1","4.44","66.7","30.1","30.1","16.4","16.4"
"29","Sean Tucker","TB","RB","1","2024","1","6","NO","14","136","136.0","9.71","1","0","7","14.3","54","39.7","33.3","7.1","78.6","21.4","4","0.29","37","2.64","27.2","7.07","5","35.7","31","0","6.20","60.0","9","64.3","105","1","11.67","88.9","34.2","34.2","11.9","11.9"
"30","J.K. Dobbins","LAC","RB","1","2024","1","1","LV","10","135","135.0","13.50","1","0","4","20.0","107","79.3","0.0","10.0","50.0","50.0","3","0.30","33","3.30","24.4","10.20","6","60.0","62","1","10.33","50.0","4","40.0","73","0","18.25","50.0","22.9","22.9","9.8","9.8"
"31","Zach Charbonnet","SEA","RB","1","2024","1","14","ARZ","22","134","134.0","6.09","2","0","5","13.6","90","67.2","100.0","9.1","50.0","45.5","5","0.23","60","2.73","44.8","3.36","5","22.7","13","0","2.60","60.0","16","72.7","120","1","7.50","43.8","38.3","38.3","31.1","31.1"
"32","Brian Robinson","WAS","RB","1","2024","1","2","NYG","17","133","133.0","7.82","0","0","6","17.6","90","67.7","0.0","","52.9","58.8","5","0.29","78","4.59","58.6","3.24","3","17.6","14","0","4.67","66.7","14","82.4","119","0","8.50","50.0","14.6","14.6","11.8","11.8"
"33","Derrick Henry","BLT","RB","1","2024","1","6","WAS","24","132","132.0","5.50","2","0","6","8.3","42","31.8","100.0","8.3","62.5","33.3","3","0.13","59","2.46","44.7","3.04","8","33.3","34","1","4.25","62.5","16","66.7","98","1","6.13","62.5","25.2","25.2","13.6","13.6"
"34","Rico Dowdle","DAL","RB","1","2024","1","14","CIN","18","131","131.0","7.28","0","0","5","11.1","46","35.1","0.0","","50.0","38.9","3","0.17","50","2.78","38.2","4.50","12","66.7","51","0","4.25","41.7","6","33.3","80","0","13.33","66.7","15.1","15.1","10.9","10.9"
"35","J.K. Dobbins","LAC","RB","1","2024","1","2","CAR","17","131","131.0","7.71","1","0","7","11.8","58","44.3","0.0","5.9","70.6","29.4","6","0.35","48","2.82","36.6","4.88","11","64.7","86","1","7.82","54.5","6","35.3","45","0","7.50","100.0","20.1","20.1","9.4","9.4"
"36","D'Andre Swift","CHI","RB","1","2024","1","8","WAS","18","129","129.0","7.17","1","0","4","11.1","78","60.5","0.0","5.6","50.0","44.4","5","0.28","76","4.22","58.9","2.94","7","38.9","34","0","4.86","42.9","11","61.1","95","1","8.64","54.5","18.9","18.9","9.0","9.0"
"37","Tyrone Tracy","NYG","RB","1","2024","1","5","SEA","18","129","129.0","7.17","0","0","5","11.1","52","40.3","0.0","","61.1","33.3","3","0.17","50","2.78","38.8","4.39","6","33.3","19","0","3.17","33.3","12","66.7","110","0","9.17","75.0","14.0","14.0","11.7","11.7"
"38","Tony Pollard","TEN","RB","1","2024","1","9","NE","28","128","128.0","4.57","0","0","6","3.6","32","25.0","0.0","","46.4","50.0","1","0.04","77","2.75","60.2","1.82","13","46.4","39","0","3.00","46.2","13","46.4","85","0","6.54","46.2","18.4","18.4","21.7","21.7"
"39","Josh Jacobs","GB","RB","1","2024","1","8","JAX","25","127","127.0","5.08","2","0","5","4.0","38","29.9","50.0","8.0","64.0","36.0","5","0.20","75","3.00","59.1","2.08","14","56.0","52","1","3.71","71.4","11","44.0","75","1","6.82","54.5","25.5","25.5","17.9","17.9"
"40","Jahmyr Gibbs","DET","RB","1","2024","1","8","TEN","11","127","127.0","11.55","1","0","3","9.1","70","55.1","33.3","9.1","81.8","9.1","2","0.18","17","1.55","13.4","10.00","8","72.7","112","1","14.00","87.5","3","27.3","15","0","5.00","66.7","20.3","20.3","10.1","10.1"
"41","Jayden Daniels","WAS","QB","1","2024","1","17","ATL","16","127","127.0","7.94","0","0","7","18.8","59","46.5","33.3","","81.3","13.3","5","0.31","44","2.75","34.6","2.69","2","12.5","9","0","4.50","100.0","6","37.5","47","0","7.83","83.3","32.8","32.8","10.8","10.8"
"42","Jonathan Taylor","IND","RB","1","2024","1","17","NYG","32","125","125.0","3.91","2","0","7","3.1","26","20.8","100.0","6.3","53.1","46.9","6","0.19","71","2.22","56.8","1.69","13","40.6","70","2","5.38","53.8","19","59.4","55","0","2.89","52.6","27.6","27.6","26.4","26.4"
"43","Bijan Robinson","ATL","RB","1","2024","1","15","LV","22","125","125.0","5.68","0","0","5","4.5","29","23.2","0.0","","50.0","36.4","2","0.09","49","2.23","39.2","3.45","18","81.8","104","0","5.78","44.4","4","18.2","21","0","5.25","75.0","14.5","14.5","12.3","12.3"
"44","Saquon Barkley","PHI","RB","1","2024","1","14","CAR","20","124","124.0","6.20","0","0","6","10.0","33","26.6","66.7","","60.0","35.0","3","0.15","41","2.05","33.1","4.15","11","55.0","64","0","5.82","63.6","9","45.0","60","0","6.67","55.6","14.4","14.4","15.6","15.6"
"45","Jordan Mason","SF","RB","1","2024","1","4","NE","24","123","123.0","5.13","1","0","4","12.5","65","52.8","100.0","4.2","45.8","54.2","3","0.13","79","3.29","64.2","1.83","17","70.8","63","1","3.71","47.1","7","29.2","60","0","8.57","42.9","24.0","24.0","18.9","18.9"
"46","James Conner","ARZ","RB","1","2024","1","2","LA","21","122","122.0","5.81","1","1","9","9.5","38","31.1","100.0","4.8","57.1","33.3","4","0.19","62","2.95","50.8","2.86","3","14.3","9","0","3.00","33.3","18","85.7","113","1","6.28","61.1","19.4","19.4","15.8","15.8"
"47","Lamar Jackson","BLT","QB","1","2024","1","1","KC","16","122","122.0","7.63","0","0","7","6.3","16","13.1","0.0","","68.8","18.8","4","0.25","36","2.25","29.5","1.94","3","18.8","27","0","9.00","66.7","3","18.8","20","0","6.67","66.7","26.1","26.1","9.5","9.5"
"48","Kyren Williams","LA","RB","1","2024","1","16","NYJ","23","122","122.0","5.30","1","0","9","","0","","100.0","4.3","65.2","26.1","1","0.04","78","3.39","63.9","1.91","6","26.1","28","0","4.67","66.7","17","73.9","94","1","5.53","64.7","19.9","19.9","15.3","15.3"
"49","De'Von Achane","MIA","RB","1","2024","1","18","NYJ","11","121","121.0","11.00","1","0","4","27.3","96","79.3","100.0","9.1","45.5","45.5","6","0.55","83","7.55","68.6","3.45","4","36.4","24","0","6.00","25.0","6","54.5","91","1","15.17","66.7","18.1","18.1","8.3","8.3"
"50","Chase Brown","CIN","RB","1","2024","1","9","LV","27","120","120.0","4.44","0","0","3","3.7","21","17.5","100.0","","55.6","44.4","2","0.07","67","2.48","55.8","1.96","19","70.4","100","0","5.26","63.2","8","29.6","20","0","2.50","37.5","26.7","26.7","27.9","27.9"
"51","Rhamondre Stevenson","NE","RB","1","2024","1","1","CIN","25","120","120.0","4.80","1","1","8","8.0","33","27.5","100.0","4.0","52.0","40.0","11","0.44","99","3.96","82.5","0.84","9","36.0","35","0","3.89","44.4","16","64.0","85","1","5.31","56.3","21.6","21.6","19.0","19.0"
"52","De'Von Achane","MIA","RB","1","2024","1","16","SF","17","120","120.0","7.06","1","0","3","5.9","50","41.7","100.0","5.9","58.8","35.3","4","0.24","24","1.41","20.0","5.65","11","64.7","99","1","9.00","72.7","4","23.5","13","0","3.25","25.0","31.0","31.0","21.1","21.1"
"53","Tony Pollard","TEN","RB","1","2024","1","12","HST","24","119","119.0","4.96","1","0","5","8.3","44","37.0","0.0","4.2","45.8","41.7","0","","66","2.75","55.5","2.21","8","33.3","14","0","1.75","12.5","16","66.7","105","1","6.56","62.5","21.9","21.9","19.1","19.1"
"54","Tank Bigsby","JAX","RB","1","2024","1","7","NE","26","118","118.0","4.54","2","0","8","","0","","100.0","7.7","57.7","38.5","3","0.12","80","3.08","67.8","1.46","18","69.2","95","2","5.28","66.7","8","30.8","23","0","2.88","37.5","23.8","23.8","22.5","22.5"
"55","Bucky Irving","TB","RB","1","2024","1","15","LAC","15","117","117.0","7.80","0","0","3","13.3","72","61.5","0.0","","66.7","26.7","3","0.20","66","4.40","56.4","3.40","7","46.7","28","0","4.00","71.4","8","53.3","89","0","11.13","62.5","13.3","13.3","11.9","11.9"
"56","Jahmyr Gibbs","DET","RB","1","2024","1","17","SF","18","117","117.0","6.50","1","0","5","16.7","66","56.4","0.0","5.6","50.0","33.3","4","0.22","50","2.78","42.7","3.72","14","77.8","98","1","7.00","50.0","4","22.2","19","0","4.75","50.0","26.3","26.3","14.2","14.2"
"57","James Conner","ARZ","RB","1","2024","1","16","CAR","15","117","117.0","7.80","1","0","4","13.3","57","48.7","0.0","6.7","60.0","26.7","6","0.40","51","3.40","43.6","4.40","5","33.3","28","0","5.60","40.0","10","66.7","89","1","8.90","70.0","26.6","26.6","14.1","14.1"
"58","Jahmyr Gibbs","DET","RB","1","2024","1","7","MIN","15","116","116.0","7.73","2","0","3","6.7","45","38.8","0.0","13.3","80.0","20.0","8","0.53","40","2.67","34.5","5.07","12","80.0","103","2","8.58","75.0","3","20.0","13","0","4.33","100.0","32.0","32.0","14.0","14.0"
"59","Bijan Robinson","ATL","RB","1","2024","1","10","NO","20","116","116.0","5.80","2","0","6","5.0","37","31.9","25.0","10.0","80.0","20.0","3","0.15","80","4.00","69.0","1.80","13","65.0","91","1","7.00","76.9","7","35.0","25","1","3.57","85.7","29.4","29.4","19.2","19.2"
"60","Ameer Abdullah","LV","RB","1","2024","1","17","NO","20","115","115.0","5.75","0","0","5","5.0","17","14.8","50.0","","60.0","35.0","4","0.20","61","3.05","53.0","2.70","15","75.0","81","0","5.40","66.7","5","25.0","34","0","6.80","40.0","17.7","17.7","22.6","22.6"
"61","Alvin Kamara","NO","RB","1","2024","1","2","DAL","20","115","115.0","5.75","3","0","8","5.0","15","13.0","50.0","15.0","70.0","30.0","4","0.20","52","2.60","45.2","3.15","17","85.0","87","3","5.12","70.6","3","15.0","28","0","9.33","66.7","44.0","44.0","17.2","17.2"
"62","Joe Mixon","HST","RB","1","2024","1","7","GB","25","115","115.0","4.60","2","0","6","8.0","49","42.6","100.0","8.0","44.0","48.0","2","0.08","71","2.84","61.7","1.76","12","48.0","37","1","3.08","41.7","13","52.0","78","1","6.00","46.2","26.4","26.4","21.5","21.5"
"63","Jonathan Taylor","IND","RB","1","2024","1","10","BUF","21","114","114.0","5.43","0","0","4","9.5","80","70.2","100.0","","23.8","71.4","4","0.19","55","2.62","48.2","2.81","11","52.4","52","0","4.73","27.3","10","47.6","62","0","6.20","20.0","14.2","14.2","20.7","20.7"
"64","Chuba Hubbard","CAR","RB","1","2024","1","3","LV","21","114","114.0","5.43","0","0","7","","0","","0.0","","76.2","23.8","3","0.14","77","3.67","67.5","1.76","11","52.4","58","0","5.27","81.8","9","42.9","43","0","4.78","66.7","27.9","27.9","18.9","18.9"
"65","Najee Harris","PIT","RB","1","2024","1","8","NYG","19","114","114.0","6.00","0","0","4","5.3","26","22.8","100.0","","63.2","36.8","6","0.32","66","3.47","57.9","2.53","14","73.7","70","0","5.00","50.0","5","26.3","44","0","8.80","100.0","16.1","16.1","17.2","17.2"
"66","Breece Hall","NYJ","RB","1","2024","1","6","BUF","18","113","113.0","6.28","0","0","4","11.1","66","58.4","100.0","","38.9","55.6","1","0.06","47","2.61","41.6","3.67","11","61.1","36","0","3.27","27.3","7","38.9","77","0","11.00","57.1","21.9","21.9","19.7","19.7"
"67","Bucky Irving","TB","RB","1","2024","1","17","CAR","20","113","113.0","5.65","0","0","7","5.0","34","30.1","100.0","","65.0","35.0","4","0.20","63","3.15","55.8","2.50","7","35.0","26","0","3.71","42.9","12","60.0","82","0","6.83","75.0","23.0","23.0","20.1","20.1"
"68","Rico Dowdle","DAL","RB","1","2024","1","13","NYG","22","112","112.0","5.09","1","0","6","13.6","57","50.9","100.0","4.5","54.5","40.9","4","0.18","72","3.27","64.3","1.82","16","72.7","72","1","4.50","56.3","6","27.3","40","0","6.67","50.0","21.3","21.3","19.3","19.3"
"69","Alvin Kamara","NO","RB","1","2024","1","13","LA","23","112","112.0","4.87","0","0","5","","0","","0.0","","56.5","34.8","7","0.30","46","2.00","41.1","2.87","16","69.6","73","0","4.56","56.3","7","30.4","39","0","5.57","57.1","15.9","15.9","21.8","21.8"
"70","James Cook","BUF","RB","1","2024","1","8","SEA","17","111","111.0","6.53","2","0","8","5.9","18","16.2","50.0","11.8","70.6","23.5","5","0.29","53","3.12","47.7","3.41","12","70.6","90","2","7.50","83.3","5","29.4","21","0","4.20","40.0","28.3","28.3","14.5","14.5"
"71","James Conner","ARZ","RB","1","2024","1","15","NE","16","110","110.0","6.88","2","0","4","12.5","70","63.6","100.0","12.5","68.8","31.3","3","0.19","42","2.63","38.2","4.25","4","25.0","12","0","3.00","50.0","12","75.0","98","2","8.17","75.0","30.8","30.8","25.0","25.0"
"72","Jonathan Taylor","IND","RB","1","2024","1","3","CHI","23","110","110.0","4.78","2","0","6","8.7","50","45.5","57.1","8.7","47.8","47.8","2","0.09","40","1.74","36.4","3.04","15","65.2","82","2","5.47","46.7","8","34.8","28","0","3.50","50.0","26.5","26.5","21.8","21.8"
"73","Patrick Taylor","SF","RB","1","2024","1","18","ARZ","17","109","109.0","6.41","0","0","8","5.9","29","26.6","50.0","","58.8","29.4","2","0.12","55","3.24","50.5","3.18","13","76.5","98","0","7.54","69.2","4","23.5","11","0","2.75","25.0","13.1","13.1","16.7","16.7"
"74","Jahmyr Gibbs","DET","RB","1","2024","1","16","CHI","23","109","109.0","4.74","1","0","8","","0","","100.0","4.3","65.2","26.1","6","0.26","52","2.26","47.7","2.48","16","69.6","90","1","5.63","81.3","7","30.4","19","0","2.71","28.6","25.4","25.4","27.3","27.3"
"75","Joe Mixon","HST","RB","1","2024","1","11","DAL","20","109","109.0","5.45","3","0","5","10.0","62","56.9","100.0","15.0","50.0","50.0","2","0.10","32","1.60","29.4","3.85","13","65.0","84","2","6.46","46.2","7","35.0","25","1","3.57","57.1","35.3","35.3","25.4","25.4"
"76","Saquon Barkley","PHI","RB","1","2024","1","1","GB","24","109","109.0","4.54","2","0","6","4.2","34","31.2","66.7","8.3","45.8","50.0","0","","61","2.54","56.0","2.00","17","70.8","89","2","5.24","47.1","7","29.2","20","0","2.86","42.9","33.2","33.2","20.3","20.3"
"77","Kyren Williams","LA","RB","1","2024","1","15","SF","29","108","108.0","3.72","0","0","5","","0","","0.0","","41.4","48.3","3","0.10","55","1.90","50.9","1.83","11","37.9","35","0","3.18","36.4","18","62.1","73","0","4.06","44.4","13.2","13.2","17.2","17.2"
"78","Saquon Barkley","PHI","RB","1","2024","1","8","CIN","22","108","108.0","4.91","0","0","5","9.1","36","33.3","40.0","","54.5","50.0","0","","78","3.55","72.2","1.36","14","63.6","63","0","4.50","57.1","7","31.8","38","0","5.43","57.1","12.1","12.1","15.7","15.7"
"79","James Cook","BUF","RB","1","2024","1","13","SF","14","107","107.0","7.64","1","0","3","14.3","83","77.6","0.0","7.1","35.7","64.3","5","0.36","43","3.07","40.2","4.57","5","35.7","9","0","1.80","40.0","9","64.3","98","1","10.89","33.3","19.0","19.0","9.9","9.9"
"80","Jonathan Taylor","IND","RB","1","2024","1","15","DEN","22","107","107.0","4.86","0","1","4","9.1","55","51.4","0.0","","31.8","63.6","1","0.05","40","1.82","37.4","3.05","8","36.4","61","0","7.63","25.0","14","63.6","46","0","3.29","35.7","11.1","11.1","15.1","15.1"
"81","James Conner","ARZ","RB","1","2024","1","9","CHI","18","107","107.0","5.94","0","0","5","16.7","46","43.0","0.0","","72.2","27.8","7","0.39","56","3.11","52.3","2.83","3","16.7","2","0","0.67","33.3","15","83.3","105","0","7.00","80.0","14.9","14.9","13.2","13.2"
"82","Saquon Barkley","PHI","RB","1","2024","1","13","BLT","23","107","107.0","4.65","1","1","5","4.3","25","23.4","0.0","4.3","52.2","47.8","3","0.13","41","1.78","38.3","2.87","9","39.1","36","0","4.00","44.4","14","60.9","71","1","5.07","57.1","19.7","19.7","15.3","15.3"
"83","Najee Harris","PIT","RB","1","2024","1","6","LV","14","106","106.0","7.57","1","0","4","21.4","77","72.6","25.0","7.1","42.9","50.0","8","0.57","83","5.93","78.3","1.64","10","71.4","100","1","10.00","50.0","4","28.6","6","0","1.50","25.0","20.2","20.2","12.5","12.5"
"84","Derrick Henry","BLT","RB","1","2024","1","9","DEN","23","106","106.0","4.61","2","1","5","4.3","20","18.9","0.0","8.7","52.2","43.5","11","0.48","75","3.26","70.8","1.35","13","56.5","66","0","5.08","53.8","10","43.5","40","2","4.00","50.0","26.3","26.3","14.5","14.5"
"85","Kareem Hunt","KC","RB","1","2024","1","9","TB","27","106","106.0","3.93","1","0","7","3.7","15","14.2","100.0","3.7","63.0","40.7","1","0.04","45","1.67","42.5","2.26","10","37.0","36","0","3.60","60.0","17","63.0","70","1","4.12","64.7","18.7","18.7","19.5","19.5"
"86","Aaron Jones","MIN","RB","1","2024","1","12","CHI","22","106","106.0","4.82","1","1","5","4.5","41","38.7","100.0","4.5","45.5","50.0","1","0.05","42","1.91","39.6","2.91","11","50.0","33","0","3.00","45.5","11","50.0","73","1","6.64","45.5","20.9","20.9","23.6","23.6"
"87","Josh Jacobs","GB","RB","1","2024","1","12","SF","26","106","106.0","4.08","3","0","8","3.8","18","17.0","100.0","11.5","53.8","42.3","6","0.23","67","2.58","63.2","1.50","14","53.8","55","0","3.93","35.7","12","46.2","51","3","4.25","75.0","28.6","28.6","25.9","25.9"
"88","Joe Mixon","HST","RB","1","2024","1","9","NYJ","24","106","106.0","4.42","1","0","6","4.2","29","27.4","100.0","4.2","45.8","54.2","9","0.38","68","2.83","64.2","1.58","13","54.2","40","1","3.08","46.2","11","45.8","66","0","6.00","45.5","16.6","16.6","14.1","14.1"
"89","David Montgomery","DET","RB","1","2024","1","3","ARZ","23","105","105.0","4.57","1","0","7","4.3","16","15.2","50.0","4.3","60.9","39.1","1","0.04","60","2.61","57.1","1.96","14","60.9","63","0","4.50","64.3","8","34.8","42","1","5.25","62.5","21.2","21.2","17.7","17.7"
"90","James Cook","BUF","RB","1","2024","1","15","DET","14","105","105.0","7.50","2","0","4","7.1","41","39.0","33.3","14.3","64.3","35.7","5","0.36","53","3.79","50.5","3.71","4","28.6","13","0","3.25","25.0","10","71.4","92","2","9.20","80.0","26.3","26.3","11.3","11.3"
"91","Jonathan Taylor","IND","RB","1","2024","1","8","HST","20","105","105.0","5.25","1","0","6","10.0","46","43.8","100.0","5.0","35.0","50.0","3","0.15","78","3.90","74.3","1.35","8","40.0","12","0","1.50","","12","60.0","93","1","7.75","58.3","18.7","18.7","17.2","17.2"
"92","Tyler Allgeier","ATL","RB","1","2024","1","6","CAR","18","105","105.0","5.83","1","0","8","11.1","38","36.2","75.0","5.6","66.7","33.3","3","0.17","68","3.78","64.8","2.06","13","72.2","70","1","5.38","61.5","5","27.8","35","0","7.00","80.0","19.8","19.8","16.5","16.5"
"93","Rico Dowdle","DAL","RB","1","2024","1","17","PHI","23","104","104.0","4.52","0","1","6","8.7","33","31.7","0.0","","47.8","43.5","1","0.04","79","3.43","76.0","1.09","14","60.9","77","0","5.50","64.3","8","34.8","19","0","2.38","12.5","10.8","10.8","13.1","13.1"
