"Player Details","","","","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"36","Raheem Mostert","MIA","RB","1","2023","1","2","NE","18","121","121.0","6.72","2","0","5","5.6","43","35.5","50.0","11.1","44.4","50.0","4","0.22","51","2.83","42.1","3.89","11","61.1","86","2","7.82","45.5","7","38.9","35","0","5.00","42.9","25.7","25.7","11.9","11.9"
"37","Devin Singletary","HST","RB","1","2023","1","15","TEN","26","121","121.0","4.65","0","0","5","3.8","19","15.7","66.7","","50.0","42.3","3","0.12","57","2.19","47.1","2.46","16","61.5","85","0","5.31","56.3","10","38.5","36","0","3.60","40.0","21.0","21.0","25.5","25.5"
"38","David Montgomery","DET","RB","1","2023","1","4","GB","32","121","121.0","3.78","3","0","9","3.1","16","13.2","100.0","9.4","50.0","50.0","12","0.38","87","2.72","71.9","1.06","19","59.4","77","1","4.05","42.1","13","40.6","44","2","3.38","61.5","34.1","34.1","29.7","29.7"
"39","Aaron Jones","GB","RB","1","2023","1","17","MIN","20","120","120.0","6.00","0","0","6","10.0","44","36.7","0.0","","70.0","35.0","4","0.20","57","2.85","47.5","3.15","13","65.0","93","0","7.15","76.9","7","35.0","27","0","3.86","57.1","14.0","14.0","11.2","11.2"
"40","Austin Ekeler","LAC","RB","1","2023","1","1","MIA","16","117","117.0","7.31","1","0","4","6.3","55","47.0","66.7","6.3","75.0","25.0","4","0.25","71","4.44","60.7","2.88","9","56.3","45","0","5.00","77.8","7","43.8","72","1","10.29","71.4","26.4","26.4","23.7","23.7"
"41","David Montgomery","DET","RB","1","2023","1","10","LAC","12","116","116.0","9.67","1","0","3","8.3","75","64.7","40.0","8.3","41.7","41.7","1","0.08","76","6.33","65.5","3.33","8","66.7","99","1","12.38","37.5","4","33.3","17","0","4.25","50.0","17.6","17.6","11.2","11.2"
"42","Josh Jacobs","LV","RB","1","2023","1","10","NYJ","27","116","116.0","4.30","0","2","5","3.7","40","34.5","0.0","","55.6","37.0","6","0.22","75","2.78","64.7","1.52","11","40.7","44","0","4.00","72.7","14","51.9","58","0","4.14","42.9","13.7","13.7","17.6","17.6"
"43","Christian McCaffrey","SF","RB","1","2023","1","2","LA","20","116","116.0","5.80","1","0","4","5.0","51","44.0","0.0","5.0","35.0","50.0","5","0.25","72","3.60","62.1","2.20","12","60.0","90","1","7.50","25.0","8","40.0","26","0","3.25","50.0","22.5","22.5","15.3","15.3"
"44","Raheem Mostert","MIA","RB","1","2023","1","6","CAR","17","115","115.0","6.76","2","0","6","5.9","49","42.6","75.0","11.8","70.6","35.3","7","0.41","90","5.29","78.3","1.47","8","47.1","83","1","10.38","62.5","8","47.1","25","1","3.13","75.0","34.2","34.2","22.5","22.5"
"45","Isiah Pacheco","KC","RB","1","2023","1","4","NYJ","20","115","115.0","5.75","1","0","5","10.0","65","56.5","0.0","5.0","50.0","50.0","6","0.30","94","4.70","81.7","1.05","9","45.0","31","0","3.44","44.4","11","55.0","84","1","7.64","54.5","24.8","24.8","14.2","14.2"
"46","Christian McCaffrey","SF","RB","1","2023","1","15","ARZ","18","115","115.0","6.39","1","0","7","11.1","44","38.3","100.0","5.6","61.1","44.4","2","0.11","68","3.78","59.1","2.61","10","55.6","65","0","6.50","60.0","8","44.4","50","1","6.25","62.5","41.7","41.7","22.1","22.1"
"47","Christian McCaffrey","SF","RB","1","2023","1","12","SEA","19","114","114.0","6.00","2","0","8","10.5","43","37.7","66.7","10.5","52.6","36.8","3","0.16","66","3.47","57.9","2.53","16","84.2","90","2","5.63","56.3","3","15.8","24","0","8.00","33.3","30.9","30.9","23.1","23.1"
"48","Kyren Williams","LA","RB","1","2023","1","14","BLT","25","114","114.0","4.56","0","0","5","","0","","100.0","","56.0","40.0","5","0.20","65","2.60","57.0","1.96","10","40.0","37","0","3.70","40.0","15","60.0","77","0","5.13","66.7","14.3","14.3","20.3","20.3"
"49","Devin Singletary","HST","RB","1","2023","1","11","ARZ","22","112","112.0","5.09","1","0","4","9.1","40","35.7","0.0","4.5","45.5","50.0","4","0.18","57","2.59","50.9","2.50","11","50.0","64","0","5.82","45.5","11","50.0","48","1","4.36","45.5","19.8","19.8","13.9","13.9"
"50","Zamir White","LV","RB","1","2023","1","18","DEN","25","112","112.0","4.48","0","0","7","4.0","25","22.3","0.0","","40.0","48.0","2","0.08","61","2.44","54.5","2.04","16","64.0","78","0","4.88","43.8","9","36.0","34","0","3.78","33.3","13.1","13.1","15.1","15.1"
"51","Najee Harris","PIT","RB","1","2023","1","18","BLT","26","112","112.0","4.31","1","0","6","3.8","15","13.4","50.0","3.8","57.7","38.5","6","0.23","68","2.62","60.7","1.69","16","61.5","74","0","4.63","62.5","9","34.6","37","1","4.11","44.4","24.3","24.3","24.8","24.8"
"52","Khalil Herbert","CHI","RB","1","2023","1","16","ARZ","20","112","112.0","5.60","1","0","6","5.0","15","13.4","0.0","5.0","70.0","25.0","6","0.30","48","2.40","42.9","3.20","13","65.0","78","0","6.00","69.2","7","35.0","34","1","4.86","71.4","19.1","19.1","14.2","14.2"
"53","Aaron Jones","GB","RB","1","2023","1","18","CHI","22","111","111.0","5.05","0","0","8","4.5","17","15.3","0.0","","63.6","22.7","4","0.18","70","3.18","63.1","1.86","11","50.0","56","0","5.09","72.7","11","50.0","55","0","5.00","54.5","19.1","19.1","17.8","17.8"
"54","Joe Mixon","CIN","RB","1","2023","1","18","CLV","14","111","111.0","7.93","1","0","6","21.4","75","67.6","100.0","7.1","57.1","35.7","3","0.21","42","3.00","37.8","4.93","7","50.0","22","0","3.14","42.9","7","50.0","89","1","12.71","71.4","24.7","24.7","14.7","14.7"
"55","Isiah Pacheco","KC","RB","1","2023","1","13","GB","18","110","110.0","6.11","1","0","8","5.6","26","23.6","100.0","5.6","61.1","33.3","1","0.06","64","3.56","58.2","2.56","12","66.7","63","1","5.25","58.3","6","33.3","47","0","7.83","66.7","21.3","21.3","23.0","23.0"
"56","Josh Jacobs","LV","RB","1","2023","1","12","KC","20","110","110.0","5.50","1","0","2","5.0","63","57.3","0.0","5.0","40.0","45.0","3","0.15","77","3.85","70.0","1.65","12","60.0","92","1","7.67","41.7","7","35.0","14","0","2.00","28.6","22.5","22.5","17.7","17.7"
"57","David Montgomery","DET","RB","1","2023","1","5","CAR","19","109","109.0","5.74","1","0","7","5.3","42","38.5","40.0","5.3","57.9","42.1","7","0.37","80","4.21","73.4","1.53","10","52.6","39","0","3.90","70.0","9","47.4","70","1","7.78","44.4","20.9","20.9","20.3","20.3"
"58","James Cook","BUF","RB","1","2023","1","10","DEN","12","109","109.0","9.08","0","1","4","8.3","42","38.5","0.0","","66.7","33.3","4","0.33","75","6.25","68.8","2.83","5","41.7","35","0","7.00","60.0","7","58.3","74","0","10.57","71.4","13.0","13.0","9.4","9.4"
"59","Devon Achane","MIA","RB","1","2023","1","17","BLT","14","107","107.0","7.64","0","0","5","14.3","60","56.1","0.0","","42.9","42.9","0","","18","1.29","16.8","6.36","11","78.6","95","0","8.64","54.5","2","14.3","5","0","2.50","","23.7","23.7","17.5","17.5"
"60","Jerome Ford","CLV","RB","1","2023","1","10","BLT","17","107","107.0","6.29","0","0","6","5.9","28","26.2","0.0","","70.6","29.4","5","0.29","76","4.47","71.0","1.82","9","52.9","35","0","3.89","77.8","8","47.1","72","0","9.00","62.5","11.9","11.9","10.3","10.3"
"61","Nick Chubb","CLV","RB","1","2023","1","1","CIN","18","106","106.0","5.89","0","0","7","5.6","17","16.0","0.0","","61.1","38.9","10","0.56","62","3.44","58.5","2.44","9","50.0","67","0","7.44","77.8","9","50.0","39","0","4.33","44.4","16.7","16.7","15.6","15.6"
"62","Christian McCaffrey","SF","RB","1","2023","1","4","ARZ","20","106","106.0","5.30","3","0","8","10.0","34","32.1","66.7","15.0","65.0","35.0","4","0.20","58","2.90","54.7","2.40","12","60.0","49","2","4.08","66.7","7","35.0","39","0","5.57","57.1","48.7","48.7","32.2","32.2"
"63","Jerome Ford","CLV","RB","1","2023","1","2","PIT","16","106","106.0","6.63","0","0","3","6.3","69","65.1","0.0","","43.8","56.3","3","0.19","112","7.00","105.7","-0.38","9","56.3","76","0","8.44","33.3","7","43.8","30","0","4.29","57.1","24.1","24.1","15.9","15.9"
"64","James Conner","ARZ","RB","1","2023","1","2","NYG","23","106","106.0","4.61","1","0","7","13.0","60","56.6","100.0","4.3","43.5","47.8","10","0.43","67","2.91","63.2","1.70","12","52.2","47","1","3.92","41.7","11","47.8","59","0","5.36","45.5","16.6","16.6","13.8","13.8"
"65","Kenneth Walker","SEA","RB","1","2023","1","7","ARZ","26","105","105.0","4.04","0","0","4","3.8","25","23.8","100.0","","42.3","46.2","3","0.12","50","1.92","47.6","2.12","19","73.1","76","0","4.00","36.8","6","23.1","26","0","4.33","50.0","13.1","13.1","23.1","23.1"
"66","Bijan Robinson","ATL","RB","1","2023","1","4","JAX","14","105","105.0","7.50","0","0","5","14.3","59","56.2","0.0","","57.1","35.7","2","0.14","31","2.21","29.5","5.29","7","50.0","54","0","7.71","28.6","7","50.0","51","0","7.29","85.7","18.7","18.7","15.8","15.8"
"67","James Conner","ARZ","RB","1","2023","1","13","PIT","25","105","105.0","4.20","2","0","6","4.0","29","27.6","100.0","8.0","44.0","44.0","11","0.44","71","2.84","67.6","1.36","17","68.0","84","1","4.94","47.1","8","32.0","21","1","2.63","37.5","22.5","22.5","20.0","20.0"
"68","Chuba Hubbard","CAR","RB","1","2023","1","13","TB","25","104","104.0","4.16","2","0","6","4.0","17","16.3","100.0","8.0","64.0","32.0","5","0.20","64","2.56","61.5","1.60","11","44.0","48","0","4.36","45.5","14","56.0","56","2","4.00","78.6","22.4","22.4","20.1","20.1"
"69","Kyren Williams","LA","RB","1","2023","1","16","NO","22","104","104.0","4.73","1","0","3","","0","","100.0","4.5","59.1","40.9","4","0.18","53","2.41","51.0","2.32","13","59.1","64","1","4.92","61.5","9","40.9","40","0","4.44","55.6","16.4","16.4","19.7","19.7"
"70","Justin Fields","CHI","QB","1","2023","1","11","DET","18","104","104.0","5.78","0","0","4","5.6","29","27.9","0.0","","61.1","35.3","6","0.33","31","1.72","29.8","1.78","8","44.4","44","0","5.50","87.5","4","22.2","11","0","2.75","25.0","21.2","21.2","9.3","9.3"
"71","Christian McCaffrey","SF","RB","1","2023","1","16","BLT","14","103","103.0","7.36","1","0","4","14.3","54","52.4","100.0","7.1","42.9","42.9","2","0.14","37","2.64","35.9","4.71","10","71.4","81","1","8.10","50.0","3","21.4","7","0","2.33","","25.1","25.1","25.6","25.6"
"72","Kyren Williams","LA","RB","1","2023","1","4","IND","25","103","103.0","4.12","2","1","6","4.0","20","19.4","100.0","8.0","56.0","36.0","4","0.16","50","2.00","48.5","2.12","3","12.0","10","0","3.33","66.7","22","88.0","93","2","4.23","54.5","27.7","27.7","20.4","20.4"
"73","Khalil Herbert","CHI","RB","1","2023","1","4","DEN","18","103","103.0","5.72","0","0","5","11.1","45","43.7","0.0","","55.6","38.9","8","0.44","46","2.56","44.7","3.17","10","55.6","68","0","6.80","50.0","8","44.4","35","0","4.38","62.5","22.2","22.2","19.6","19.6"
"74","Travis Etienne","JAX","RB","1","2023","1","17","CAR","16","102","102.0","6.38","2","0","3","6.3","62","60.8","100.0","12.5","37.5","56.3","5","0.31","66","4.13","64.7","2.25","5","31.3","14","0","2.80","40.0","10","62.5","78","2","7.80","30.0","25.8","25.8","13.8","13.8"
"75","Rachaad White","TB","RB","1","2023","1","14","ATL","25","102","102.0","4.08","0","1","5","","0","","0.0","","56.0","32.0","4","0.16","52","2.08","51.0","2.00","11","44.0","41","0","3.73","54.5","14","56.0","61","0","4.36","57.1","21.5","21.5","15.1","15.1"
"76","Derrick Henry","TEN","RB","1","2023","1","13","IND","21","102","102.0","4.86","2","0","7","4.8","22","21.6","50.0","9.5","52.4","38.1","4","0.19","54","2.57","52.9","2.29","13","61.9","54","1","4.15","61.5","8","38.1","48","1","6.00","37.5","25.0","25.0","13.1","13.1"
"77","Derrick Henry","TEN","RB","1","2023","1","8","ATL","22","101","101.0","4.59","0","0","4","","0","","0.0","","63.6","40.9","3","0.14","81","3.68","80.2","0.91","15","68.2","65","0","4.33","60.0","7","31.8","36","0","5.14","71.4","16.2","16.2","16.9","16.9"
"78","Devon Achane","MIA","RB","1","2023","1","4","BUF","8","101","101.0","12.63","2","0","4","25.0","70","69.3","100.0","25.0","75.0","12.5","5","0.63","69","8.63","68.3","4.00","6","75.0","88","1","14.67","83.3","1","12.5","3","0","3.00","","27.0","27.0","14.7","14.7"
"79","Lamar Jackson","BLT","QB","1","2023","1","3","IND","14","101","101.0","7.21","2","0","8","7.1","16","15.8","0.0","14.3","71.4","28.6","5","0.36","32","2.29","31.7","2.29","2","14.3","16","0","8.00","100.0","6","42.9","37","2","6.17","66.7","29.2","29.2","7.5","7.5"
"80","Jaylen Warren","PIT","RB","1","2023","1","10","GB","15","101","101.0","6.73","1","0","6","13.3","36","35.6","0.0","6.7","60.0","33.3","10","0.67","69","4.60","68.3","2.13","10","66.7","55","0","5.50","60.0","5","33.3","46","1","9.20","60.0","19.0","19.0","13.3","13.3"
"81","Rachaad White","TB","RB","1","2023","1","12","IND","15","100","100.0","6.67","0","0","4","6.7","38","38.0","50.0","","40.0","46.7","2","0.13","43","2.87","43.0","3.80","8","53.3","25","0","3.13","12.5","7","46.7","75","0","10.71","71.4","13.0","13.0","13.9","13.9"
"82","Jahmyr Gibbs","DET","RB","1","2023","1","15","DEN","11","100","100.0","9.09","1","0","5","18.2","55","55.0","100.0","9.1","54.5","36.4","4","0.36","64","5.82","64.0","3.27","4","36.4","71","1","17.75","75.0","7","63.6","29","0","4.14","42.9","24.8","24.8","10.5","10.5"
"83","Najee Harris","PIT","RB","1","2023","1","12","CIN","15","99","99.0","6.60","1","0","5","13.3","42","42.4","100.0","6.7","60.0","33.3","5","0.33","63","4.20","63.6","2.40","6","40.0","34","0","5.67","50.0","9","60.0","65","1","7.22","66.7","15.9","15.9","10.5","10.5"
"84","Rhamondre Stevenson","NE","RB","1","2023","1","12","NYG","21","98","98.0","4.67","1","0","8","4.8","15","15.3","0.0","4.8","52.4","38.1","5","0.24","76","3.62","77.6","1.05","5","23.8","21","0","4.20","40.0","16","76.2","77","1","4.81","56.3","21.7","21.7","19.0","19.0"
"85","James Conner","ARZ","RB","1","2023","1","3","DAL","14","98","98.0","7.00","1","0","4","14.3","46","46.9","100.0","7.1","57.1","42.9","4","0.29","47","3.36","48.0","3.64","8","57.1","39","0","4.88","50.0","6","42.9","59","1","9.83","66.7","19.6","19.6","11.3","11.3"
"86","Josh Jacobs","LV","RB","1","2023","1","9","NYG","26","98","98.0","3.77","2","0","5","3.8","15","15.3","100.0","7.7","46.2","46.2","2","0.08","56","2.15","57.1","1.62","17","65.4","60","1","3.53","47.1","9","34.6","38","1","4.22","44.4","21.8","21.8","20.3","20.3"
"87","James Cook","BUF","RB","1","2023","1","3","WAS","15","98","98.0","6.53","0","0","4","6.7","34","34.7","33.3","","53.3","46.7","2","0.13","51","3.40","52.0","3.13","5","33.3","20","0","4.00","40.0","10","66.7","78","0","7.80","60.0","13.2","13.2","13.3","13.3"
"88","Justin Fields","CHI","QB","1","2023","1","16","ARZ","9","97","97.0","10.78","1","0","5","22.2","63","64.9","50.0","11.1","66.7","33.3","2","0.22","34","3.78","35.1","5.44","2","22.2","14","0","7.00","100.0","2","22.2","35","0","17.50","100.0","25.5","25.5","6.7","6.7"
"89","Lamar Jackson","BLT","QB","1","2023","1","15","JAX","12","97","97.0","8.08","0","0","5","16.7","36","37.1","0.0","","75.0","25.0","4","0.33","28","2.33","28.9","4.50","2","16.7","18","0","9.00","100.0","5","41.7","28","0","5.60","40.0","19.5","19.5","5.4","5.4"
"90","Kenneth Walker","SEA","RB","1","2023","1","3","CAR","18","97","97.0","5.39","2","0","5","5.6","36","37.1","75.0","11.1","55.6","44.4","5","0.28","79","4.39","81.4","1.00","12","66.7","73","1","6.08","50.0","5","27.8","15","1","3.00","60.0","30.6","30.6","21.2","21.2"
"91","Derrick Henry","TEN","RB","1","2023","1","6","BLT","12","97","97.0","8.08","1","0","3","16.7","78","80.4","0.0","8.3","41.7","58.3","5","0.42","32","2.67","33.0","5.42","6","50.0","70","0","11.67","33.3","6","50.0","27","1","4.50","50.0","19.3","19.3","9.0","9.0"
"92","Jonathan Taylor","IND","RB","1","2023","1","17","LV","21","96","96.0","4.57","1","1","7","4.8","15","15.6","100.0","4.8","61.9","28.6","1","0.05","35","1.67","36.5","2.90","12","57.1","46","1","3.83","66.7","9","42.9","50","0","5.56","55.6","17.4","17.4","12.1","12.1"
"93","Raheem Mostert","MIA","RB","1","2023","1","14","TEN","21","96","96.0","4.57","2","0","7","4.8","15","15.6","100.0","9.5","61.9","38.1","4","0.19","51","2.43","53.1","2.14","16","76.2","62","2","3.88","56.3","4","19.0","27","0","6.75","75.0","23.0","23.0","15.4","15.4"
