"Player Details","","","","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"10","Bijan Robinson","ATL","RB","1","2025","1","6","BUF","19","170","170.0","8.95","1","0","5","10.5","103","60.6","0.0","5.3","57.9","42.1","7","0.37","126","6.63","74.1","2.32","15","78.9","149","1","9.93","53.3","4","21.1","21","0","5.25","75.0","35.8","35.8","21.1","21.1"
"11","Derrick Henry","BLT","RB","1","2025","1","1","BUF","18","169","169.0","9.39","2","1","5","22.2","142","84.0","0.0","11.1","44.4","55.6","3","0.17","92","5.11","54.4","4.28","12","66.7","113","1","9.42","33.3","6","33.3","56","1","9.33","66.7","30.2","30.2","9.9","9.9"
"12","Jonathan Taylor","IND","RB","1","2025","1","2","DEN","25","165","165.0","6.60","0","0","4","4.0","68","41.2","0.0","","56.0","36.0","8","0.32","115","4.60","69.7","2.00","12","48.0","39","0","3.25","33.3","13","52.0","126","0","9.69","76.9","29.5","29.5","22.9","22.9"
"13","Tony Pollard","TEN","RB","1","2025","1","14","CLV","25","161","161.0","6.44","2","0","4","8.0","97","60.2","0.0","8.0","48.0","48.0","3","0.12","50","2.00","31.1","4.44","13","52.0","136","2","10.46","53.8","12","48.0","25","0","2.08","41.7","28.1","28.1","13.0","13.0"
"14","Jonathan Taylor","IND","RB","1","2025","1","8","TEN","12","153","153.0","12.75","2","0","7","25.0","113","73.9","0.0","16.7","66.7","25.0","7","0.58","16","1.33","10.5","11.42","6","50.0","52","0","8.67","66.7","6","50.0","101","2","16.83","66.7","37.4","37.4","9.7","9.7"
"15","David Montgomery","DET","RB","1","2025","1","3","BLT","12","151","151.0","12.58","2","0","6","16.7","103","68.2","25.0","16.7","66.7","25.0","3","0.25","107","8.92","70.9","3.67","6","50.0","22","1","3.67","50.0","6","50.0","129","1","21.50","83.3","29.4","29.4","10.6","10.6"
"16","Ray Davis","BUF","RB","1","2025","1","18","NYJ","21","151","151.0","7.19","0","0","7","9.5","40","26.5","0.0","","76.2","23.8","3","0.14","60","2.86","39.7","4.33","10","47.6","95","0","9.50","90.0","11","52.4","56","0","5.09","63.6","25.4","25.4","14.5","14.5"
"17","Saquon Barkley","PHI","RB","1","2025","1","8","NYG","14","150","150.0","10.71","1","0","4","14.3","93","62.0","0.0","7.1","71.4","14.3","3","0.21","29","2.07","19.3","8.64","5","35.7","18","0","3.60","60.0","9","64.3","132","1","14.67","77.8","33.4","33.4","13.4","13.4"
"18","TreVeyon Henderson","NE","RB","1","2025","1","15","BUF","14","148","148.0","10.57","2","0","5","14.3","117","79.1","0.0","14.3","64.3","42.9","3","0.21","16","1.14","10.8","9.43","5","35.7","70","1","14.00","60.0","8","57.1","74","1","9.25","62.5","30.1","30.1","11.4","11.4"
"19","TreVeyon Henderson","NE","RB","1","2025","1","10","TB","14","147","147.0","10.50","2","0","4","21.4","140","95.2","50.0","14.3","28.6","64.3","3","0.21","21","1.50","14.3","9.00","6","42.9","80","1","13.33","33.3","8","57.1","67","1","8.38","25.0","28.0","28.0","14.3","14.3"
"20","James Cook","BUF","RB","1","2025","1","13","PIT","32","144","144.0","4.50","0","2","6","6.3","50","34.7","100.0","","43.8","53.1","3","0.09","40","1.25","27.8","3.25","16","50.0","83","0","5.19","37.5","15","46.9","56","0","3.73","53.3","19.7","19.7","23.3","23.3"
"21","Jaylen Warren","PIT","RB","1","2025","1","16","DET","14","143","143.0","10.21","2","0","4","21.4","111","77.6","0.0","14.3","64.3","42.9","4","0.29","39","2.79","27.3","7.43","9","64.3","97","2","10.78","44.4","5","35.7","46","0","9.20","100.0","29.1","29.1","10.5","10.5"
"22","Travis Etienne","JAX","RB","1","2025","1","1","CAR","16","143","143.0","8.94","0","0","3","12.5","88","61.5","0.0","","50.0","50.0","3","0.19","85","5.31","59.4","3.63","9","56.3","105","0","11.67","55.6","7","43.8","38","0","5.43","42.9","18.6","18.6","12.8","12.8"
"23","Bijan Robinson","ATL","RB","1","2025","1","2","MIN","22","143","143.0","6.50","0","0","5","13.6","60","42.0","0.0","","68.2","31.8","10","0.45","76","3.45","53.1","3.05","16","72.7","124","0","7.75","68.8","5","22.7","8","0","1.60","60.0","19.8","19.8","18.1","18.1"
"24","Bijan Robinson","ATL","RB","1","2025","1","13","NYJ","23","142","142.0","6.17","1","0","9","8.7","42","29.6","66.7","4.3","65.2","26.1","4","0.17","117","5.09","82.4","1.09","18","78.3","113","0","6.28","61.1","4","17.4","26","1","6.50","75.0","30.3","30.3","24.7","24.7"
"25","Jahmyr Gibbs","DET","RB","1","2025","1","10","WAS","15","142","142.0","9.47","2","0","7","13.3","71","50.0","0.0","13.3","73.3","26.7","8","0.53","56","3.73","39.4","5.73","7","46.7","25","0","3.57","42.9","8","53.3","117","2","14.63","100.0","38.2","38.2","14.3","14.3"
"26","Christian McCaffrey","SF","RB","1","2025","1","17","CHI","23","140","140.0","6.09","1","0","8","13.0","74","52.9","66.7","4.3","65.2","30.4","6","0.26","61","2.65","43.6","3.43","19","82.6","117","1","6.16","63.2","4","17.4","23","0","5.75","75.0","28.1","28.1","21.5","21.5"
"27","Ashton Jeanty","LV","RB","1","2025","1","4","CHI","21","138","138.0","6.57","1","1","6","4.8","64","46.4","0.0","4.8","52.4","42.9","10","0.48","76","3.62","55.1","2.95","16","76.2","130","1","8.13","56.3","5","23.8","8","0","1.60","40.0","34.5","34.5","16.0","16.0"
"28","Jahmyr Gibbs","DET","RB","1","2025","1","7","TB","17","136","136.0","8.00","2","0","5","11.8","93","68.4","100.0","11.8","41.2","52.9","9","0.53","39","2.29","28.7","5.71","11","64.7","38","0","3.45","27.3","5","29.4","97","2","19.40","60.0","36.8","36.8","14.0","14.0"
"29","Javonte Williams","DAL","RB","1","2025","1","5","NYJ","16","135","135.0","8.44","1","0","6","6.3","66","48.9","100.0","6.3","50.0","25.0","3","0.19","99","6.19","73.3","2.25","6","37.5","24","0","4.00","50.0","10","62.5","111","1","11.10","50.0","26.9","26.9","14.0","14.0"
"30","De'Von Achane","MIA","RB","1","2025","1","13","NO","22","134","134.0","6.09","1","0","6","9.1","45","33.6","0.0","4.5","63.6","31.8","3","0.14","47","2.14","35.1","3.95","16","72.7","93","1","5.81","56.3","5","22.7","32","0","6.40","80.0","19.4","19.4","14.7","14.7"
"31","Breece Hall","NYJ","RB","1","2025","1","8","CIN","18","133","133.0","7.39","2","0","6","11.1","62","46.6","100.0","11.1","61.1","33.3","4","0.22","32","1.78","24.1","5.61","10","55.6","77","1","7.70","70.0","8","44.4","56","1","7.00","50.0","32.9","32.9","13.0","13.0"
"32","James Cook","BUF","RB","1","2025","1","2","NYJ","21","132","132.0","6.29","2","1","6","4.8","44","33.3","50.0","9.5","66.7","33.3","2","0.10","81","3.86","61.4","2.43","13","61.9","106","1","8.15","76.9","7","33.3","20","1","2.86","42.9","26.5","26.5","17.2","17.2"
"33","Saquon Barkley","PHI","RB","1","2025","1","16","WAS","21","132","132.0","6.29","1","0","7","4.8","48","36.4","50.0","4.8","61.9","42.9","6","0.29","44","2.10","33.3","4.19","14","66.7","59","1","4.21","57.1","7","33.3","73","0","10.43","71.4","21.2","21.2","15.4","15.4"
"34","Rhamondre Stevenson","NE","RB","1","2025","1","18","MIA","7","131","131.0","18.71","2","0","5","42.9","111","84.7","33.3","28.6","85.7","14.3","4","0.57","67","9.57","51.1","9.14","1","14.3","20","0","20.00","100.0","6","85.7","111","2","18.50","83.3","35.3","35.3","10.2","10.2"
"35","Rico Dowdle","CAR","RB","1","2025","1","9","GB","25","130","130.0","5.20","2","0","7","8.0","48","36.9","100.0","8.0","52.0","40.0","5","0.20","44","1.76","33.8","3.44","12","48.0","66","1","5.50","58.3","12","48.0","60","1","5.00","50.0","28.1","28.1","23.8","23.8"
"36","Kyle Monangai","CHI","RB","1","2025","1","13","PHI","22","130","130.0","5.91","1","0","6","9.1","48","36.9","50.0","4.5","59.1","36.4","2","0.09","70","3.18","53.8","2.73","17","77.3","100","1","5.88","52.9","5","22.7","30","0","6.00","80.0","19.0","19.0","11.7","11.7"
"37","Christian McCaffrey","SF","RB","1","2025","1","7","ATL","24","129","129.0","5.38","2","0","9","8.3","30","23.3","100.0","8.3","58.3","37.5","5","0.21","68","2.83","52.7","2.54","11","45.8","60","0","5.45","54.5","13","54.2","69","2","5.31","61.5","39.1","39.1","28.5","28.5"
"38","Derrick Henry","BLT","RB","1","2025","1","16","NE","18","128","128.0","7.11","2","1","5","16.7","66","51.6","100.0","11.1","77.8","16.7","3","0.17","35","1.94","27.3","5.17","9","50.0","78","0","8.67","88.9","9","50.0","50","2","5.56","66.7","23.8","23.8","10.9","10.9"
"39","Blake Corum","LA","RB","1","2025","1","14","ARZ","12","128","128.0","10.67","2","0","6","25.0","83","64.8","33.3","16.7","75.0","16.7","6","0.50","42","3.50","32.8","7.17","8","66.7","86","2","10.75","62.5","4","33.3","42","0","10.50","100.0","26.1","26.1","9.9","9.9"
"40","De'Von Achane","MIA","RB","1","2025","1","6","LAC","16","128","128.0","8.00","2","0","6","18.8","80","62.5","100.0","12.5","50.0","37.5","2","0.13","28","1.75","21.9","6.25","7","43.8","42","1","6.00","42.9","7","43.8","71","1","10.14","57.1","31.0","31.0","19.4","19.4"
"41","Omarion Hampton","LAC","RB","1","2025","1","4","NYG","12","128","128.0","10.67","1","0","5","25.0","101","78.9","0.0","8.3","58.3","41.7","5","0.42","48","4.00","37.5","6.67","2","16.7","4","0","2.00","","10","83.3","124","1","12.40","70.0","27.5","27.5","12.8","12.8"
"42","Ashton Jeanty","LV","RB","1","2025","1","16","HST","24","128","128.0","5.33","1","0","3","4.2","51","39.8","0.0","4.2","33.3","45.8","5","0.21","107","4.46","83.6","0.88","20","83.3","112","1","5.60","30.0","4","16.7","16","0","4.00","50.0","31.8","31.8","15.2","15.2"
"43","Jaylen Warren","PIT","RB","1","2025","1","7","CIN","16","127","127.0","7.94","0","0","6","12.5","61","48.0","100.0","","68.8","31.3","5","0.31","83","5.19","65.4","2.75","14","87.5","121","0","8.64","71.4","2","12.5","6","0","3.00","50.0","19.8","19.8","16.5","16.5"
"44","Derrick Henry","BLT","RB","1","2025","1","18","PIT","20","126","126.0","6.30","0","0","5","10.0","62","49.2","0.0","","35.0","60.0","3","0.15","64","3.20","50.8","3.10","16","80.0","120","0","7.50","43.8","4","20.0","6","0","1.50","","12.6","12.6","9.7","9.7"
"45","Kimani Vidal","LAC","RB","1","2025","1","13","LV","25","126","126.0","5.04","1","0","5","4.0","59","46.8","50.0","4.0","56.0","44.0","9","0.36","50","2.00","39.7","3.04","12","48.0","23","0","1.92","50.0","13","52.0","103","1","7.92","61.5","20.7","20.7","18.4","18.4"
"46","D'Andre Swift","CHI","RB","1","2025","1","13","PHI","18","125","125.0","6.94","1","0","6","16.7","57","45.6","50.0","5.6","55.6","22.2","5","0.28","63","3.50","50.4","3.44","15","83.3","116","0","7.73","60.0","3","16.7","9","1","3.00","33.3","20.8","20.8","10.7","10.7"
"47","D'Andre Swift","CHI","RB","1","2025","1","7","NO","19","124","124.0","6.53","1","0","6","15.8","55","44.4","66.7","5.3","52.6","42.1","3","0.16","36","1.89","29.0","4.63","11","57.9","73","1","6.64","54.5","8","42.1","51","0","6.38","50.0","20.8","20.8","16.6","16.6"
"48","Travis Etienne","JAX","RB","1","2025","1","4","SF","19","124","124.0","6.53","1","0","5","10.5","66","53.2","0.0","5.3","52.6","47.4","3","0.16","34","1.79","27.4","4.74","7","36.8","59","1","8.43","42.9","11","57.9","57","0","5.18","54.5","19.5","19.5","12.3","12.3"
"49","Kimani Vidal","LAC","RB","1","2025","1","6","MIA","18","124","124.0","6.89","0","0","4","16.7","84","67.7","0.0","","38.9","61.1","2","0.11","57","3.17","46.0","3.72","11","61.1","89","0","8.09","36.4","7","38.9","35","0","5.00","42.9","22.8","22.8","20.4","20.4"
"50","Jonathan Taylor","IND","RB","1","2025","1","6","ARZ","21","123","123.0","5.86","1","0","7","9.5","46","37.4","75.0","4.8","71.4","28.6","0","","89","4.24","72.4","1.62","11","52.4","73","0","6.64","72.7","10","47.6","50","1","5.00","70.0","23.7","23.7","22.5","22.5"
"51","Saquon Barkley","PHI","RB","1","2025","1","14","LAC","20","122","122.0","6.10","1","0","5","10.0","71","58.2","100.0","5.0","35.0","60.0","6","0.30","32","1.60","26.2","4.50","15","75.0","119","1","7.93","46.7","5","25.0","3","0","0.60","","18.2","18.2","15.5","15.5"
"52","Derrick Henry","BLT","RB","1","2025","1","6","LA","24","122","122.0","5.08","0","0","7","","0","","50.0","","66.7","29.2","1","0.04","55","2.29","45.1","2.79","19","79.2","101","0","5.32","68.4","5","20.8","21","0","4.20","60.0","14.0","14.0","19.0","19.0"
"53","De'Von Achane","MIA","RB","1","2025","1","11","WAS","21","120","120.0","5.71","0","0","8","14.3","56","46.7","50.0","","57.1","38.1","3","0.14","39","1.86","32.5","3.86","9","42.9","54","0","6.00","55.6","9","42.9","66","0","7.33","77.8","21.5","21.5","24.7","24.7"
"54","Derrick Henry","BLT","RB","1","2025","1","9","MIA","19","119","119.0","6.26","0","0","3","10.5","54","45.4","50.0","","52.6","57.9","1","0.05","28","1.47","23.5","4.79","12","63.2","97","0","8.08","66.7","7","36.8","22","0","3.14","28.6","13.1","13.1","13.4","13.4"
"55","Kimani Vidal","LAC","RB","1","2025","1","8","MIN","23","117","117.0","5.09","1","0","8","8.7","39","33.3","100.0","4.3","56.5","39.1","4","0.17","58","2.52","49.6","2.57","12","52.2","49","1","4.08","50.0","11","47.8","68","0","6.18","63.6","19.7","19.7","18.5","18.5"
"56","Christian McCaffrey","SF","RB","1","2025","1","16","IND","21","117","117.0","5.57","0","0","6","9.5","42","35.9","50.0","","57.1","42.9","6","0.29","48","2.29","41.0","3.29","17","81.0","97","0","5.71","52.9","3","14.3","14","0","4.67","66.7","32.6","32.6","30.6","30.6"
"57","James Cook","BUF","RB","1","2025","1","4","NO","22","117","117.0","5.32","1","0","6","4.5","15","12.8","50.0","4.5","72.7","22.7","3","0.14","46","2.09","39.3","3.23","9","40.9","44","0","4.89","77.8","13","59.1","73","1","5.62","69.2","22.5","22.5","20.6","20.6"
"58","James Cook","BUF","RB","1","2025","1","16","CLV","16","117","117.0","7.31","2","0","5","12.5","59","50.4","50.0","12.5","62.5","31.3","2","0.13","59","3.69","50.4","3.63","8","50.0","51","1","6.38","75.0","8","50.0","66","1","8.25","50.0","26.4","26.4","12.1","12.1"
"59","James Cook","BUF","RB","1","2025","1","12","HST","17","116","116.0","6.82","1","0","3","11.8","65","56.0","0.0","5.9","58.8","41.2","2","0.12","38","2.24","32.8","4.59","11","64.7","66","0","6.00","72.7","6","35.3","50","1","8.33","33.3","21.9","21.9","11.6","11.6"
"60","Javonte Williams","DAL","RB","1","2025","1","7","WAS","19","116","116.0","6.11","1","0","4","10.5","50","43.1","100.0","5.3","57.9","31.6","2","0.11","97","5.11","83.6","1.00","4","21.1","29","0","7.25","100.0","15","78.9","87","1","5.80","46.7","18.8","18.8","14.9","14.9"
"61","Jordan Mason","MIN","RB","1","2025","1","3","CIN","16","116","116.0","7.25","2","0","7","12.5","43","37.1","100.0","12.5","62.5","18.8","5","0.31","43","2.69","37.1","4.56","12","75.0","98","1","8.17","58.3","4","25.0","18","1","4.50","75.0","23.6","23.6","10.9","10.9"
"62","James Cook","BUF","RB","1","2025","1","9","KC","27","114","114.0","4.22","0","0","4","7.4","33","28.9","40.0","","44.4","55.6","6","0.22","59","2.19","51.8","2.04","9","33.3","27","0","3.00","44.4","18","66.7","87","0","4.83","44.4","13.5","13.5","17.9","17.9"
"63","Kyren Williams","LA","RB","1","2025","1","9","NO","25","114","114.0","4.56","1","0","9","4.0","15","13.2","100.0","4.0","68.0","28.0","6","0.24","63","2.52","55.3","2.04","12","48.0","53","0","4.42","66.7","13","52.0","61","1","4.69","69.2","17.4","17.4","19.4","19.4"
"64","Breece Hall","NYJ","RB","1","2025","1","5","DAL","14","113","113.0","8.07","0","1","6","35.7","92","81.4","100.0","","71.4","28.6","6","0.43","52","3.71","46.0","4.36","9","64.3","75","0","8.33","77.8","5","35.7","38","0","7.60","60.0","18.5","18.5","15.7","15.7"
"65","Breece Hall","NYJ","RB","1","2025","1","17","NE","14","111","111.0","7.93","1","0","4","14.3","78","70.3","0.0","7.1","57.1","42.9","5","0.36","36","2.57","32.4","5.36","4","28.6","12","0","3.00","50.0","9","64.3","80","1","8.89","55.6","20.9","20.9","10.1","10.1"
"66","J.K. Dobbins","DEN","RB","1","2025","1","8","DAL","15","111","111.0","7.40","0","0","5","26.7","76","68.5","66.7","","66.7","28.6","5","0.33","50","3.33","45.0","4.07","4","26.7","34","0","8.50","75.0","11","73.3","77","0","7.00","63.6","14.1","14.1","15.3","15.3"
"67","Jacory Croskey-Merritt","WAS","RB","1","2025","1","5","LAC","14","111","111.0","7.93","2","1","6","21.4","57","51.4","100.0","14.3","71.4","28.6","0","","61","4.36","55.0","3.57","2","14.3","35","0","17.50","100.0","12","85.7","76","2","6.33","66.7","28.0","28.0","11.2","11.2"
"68","Zach Charbonnet","SEA","RB","1","2025","1","17","CAR","18","110","110.0","6.11","2","0","8","16.7","69","62.7","100.0","11.1","72.2","33.3","6","0.33","65","3.61","59.1","2.50","12","66.7","69","2","5.75","66.7","6","33.3","41","0","6.83","83.3","26.2","26.2","21.8","21.8"
"69","Quinshon Judkins","CLV","RB","1","2025","1","5","MIN","23","110","110.0","4.78","0","0","5","4.3","32","29.1","0.0","","52.2","47.8","2","0.09","45","1.96","40.9","2.83","8","34.8","51","0","6.38","62.5","15","65.2","59","0","3.93","46.7","13.8","13.8","17.0","17.0"
"70","James Cook","BUF","RB","1","2025","1","3","MIA","19","108","108.0","5.68","1","0","6","10.5","42","38.9","100.0","5.3","57.9","36.8","7","0.37","87","4.58","80.6","1.11","14","73.7","92","0","6.57","57.1","5","26.3","16","1","3.20","60.0","20.8","20.8","15.1","15.1"
"71","D'Andre Swift","CHI","RB","1","2025","1","6","WAS","14","108","108.0","7.71","0","0","6","14.3","34","31.5","0.0","","64.3","21.4","1","0.07","30","2.14","27.8","5.57","9","64.3","57","0","6.33","66.7","5","35.7","51","0","10.20","60.0","25.5","25.5","10.6","10.6"
"72","Chase Brown","CIN","RB","1","2025","1","7","PIT","11","108","108.0","9.82","0","0","4","18.2","64","59.3","0.0","","63.6","27.3","6","0.55","62","5.64","57.4","4.18","5","45.5","48","0","9.60","60.0","6","54.5","60","0","10.00","66.7","12.0","12.0","12.7","12.7"
"73","Emanuel Wilson","GB","RB","1","2025","1","12","MIN","28","107","107.0","3.82","2","0","9","","0","","100.0","7.1","60.7","42.9","0","","87","3.11","81.3","0.71","10","35.7","35","0","3.50","60.0","18","64.3","72","2","4.00","61.1","26.5","26.5","22.7","22.7"
"74","Chase Brown","CIN","RB","1","2025","1","12","NE","19","107","107.0","5.63","0","0","7","5.3","21","19.6","0.0","","63.2","26.3","2","0.11","42","2.21","39.3","3.42","9","47.4","49","0","5.44","44.4","9","47.4","53","0","5.89","77.8","15.0","15.0","15.2","15.2"
"75","Jaylen Wright","MIA","RB","1","2025","1","14","NYJ","24","107","107.0","4.46","1","0","7","","0","","100.0","4.2","58.3","33.3","2","0.08","50","2.08","46.7","2.38","14","58.3","54","1","3.86","57.1","10","41.7","53","0","5.30","60.0","16.7","16.7","18.9","18.9"
"76","James Cook","BUF","RB","1","2025","1","15","NE","22","107","107.0","4.86","2","0","4","","0","","100.0","9.1","63.6","31.8","7","0.32","21","0.95","19.6","3.91","11","50.0","46","1","4.18","54.5","11","50.0","61","1","5.55","72.7","31.1","31.1","22.4","22.4"
"77","Breece Hall","NYJ","RB","1","2025","1","1","PIT","19","107","107.0","5.63","0","0","7","15.8","51","47.7","33.3","","52.6","42.1","5","0.26","49","2.58","45.8","3.05","18","94.7","101","0","5.61","50.0","1","5.3","6","0","6.00","100.0","16.5","16.5","12.3","12.3"
"78","Sean Tucker","TB","RB","1","2025","1","11","BUF","19","106","106.0","5.58","2","0","4","5.3","43","40.6","50.0","10.5","42.1","52.6","4","0.21","34","1.79","32.1","3.79","5","26.3","14","0","2.80","20.0","14","73.7","92","2","6.57","50.0","34.0","34.0","14.2","14.2"
"79","Christian McCaffrey","SF","RB","1","2025","1","9","NYG","28","106","106.0","3.79","1","0","5","3.6","16","15.1","50.0","3.6","53.6","42.9","5","0.18","43","1.54","40.6","2.25","15","53.6","64","1","4.27","60.0","12","42.9","44","0","3.67","50.0","34.3","34.3","26.6","26.6"
"80","Jacory Croskey-Merritt","WAS","RB","1","2025","1","17","DAL","11","105","105.0","9.55","2","0","3","9.1","72","68.6","100.0","18.2","36.4","63.6","4","0.36","34","3.09","32.4","6.45","5","45.5","97","1","19.40","60.0","6","54.5","8","1","1.33","16.7","22.5","22.5","8.8","8.8"
"81","Kenneth Walker","SEA","RB","1","2025","1","2","PIT","13","105","105.0","8.08","1","0","7","23.1","54","51.4","0.0","7.7","76.9","23.1","5","0.38","35","2.69","33.3","5.38","8","61.5","53","0","6.63","62.5","5","38.5","52","1","10.40","100.0","18.8","18.8","7.2","7.2"
"82","Bijan Robinson","ATL","RB","1","2025","1","11","CAR","23","104","104.0","4.52","2","0","6","8.7","34","32.7","75.0","8.7","52.2","39.1","9","0.39","36","1.57","34.6","2.96","19","82.6","86","2","4.53","52.6","4","17.4","18","0","4.50","50.0","30.3","30.3","26.9","26.9"
"83","Kareem Hunt","KC","RB","1","2025","1","12","IND","30","104","104.0","3.47","1","1","10","3.3","18","17.3","75.0","3.3","50.0","46.7","2","0.07","66","2.20","63.5","1.27","20","66.7","64","0","3.20","40.0","8","26.7","37","1","4.63","62.5","21.0","21.0","23.9","23.9"
"84","Tony Pollard","TEN","RB","1","2025","1","15","SF","14","104","104.0","7.43","1","0","4","14.3","42","40.4","0.0","7.1","71.4","14.3","3","0.21","32","2.29","30.8","5.14","7","50.0","72","0","10.29","85.7","7","50.0","32","1","4.57","57.1","18.2","18.2","12.5","12.5"
"85","Tank Bigsby","PHI","RB","1","2025","1","8","NYG","9","104","104.0","11.56","0","0","5","33.3","64","61.5","0.0","","77.8","22.2","6","0.67","59","6.56","56.7","5.00","1","11.1","0","0","","","8","88.9","104","0","13.00","87.5","10.4","10.4","4.9","4.9"
"86","Tyrone Tracy","NYG","RB","1","2025","1","18","DAL","18","103","103.0","5.72","0","0","5","11.1","35","34.0","0.0","","44.4","44.4","2","0.11","18","1.00","17.5","4.72","11","61.1","74","0","6.73","45.5","6","33.3","24","0","4.00","50.0","28.9","28.9","27.5","27.5"
"87","Malik Davis","DAL","RB","1","2025","1","17","WAS","20","103","103.0","5.15","0","0","2","10.0","37","35.9","0.0","","55.0","40.0","3","0.15","54","2.70","52.4","2.45","12","60.0","52","0","4.33","58.3","8","40.0","51","0","6.38","50.0","10.3","10.3","13.5","13.5"
"88","Derrick Henry","BLT","RB","1","2025","1","11","CLV","18","103","103.0","5.72","1","0","5","5.6","59","57.3","100.0","5.6","44.4","55.6","3","0.17","82","4.56","79.6","1.17","8","44.4","10","0","1.25","25.0","9","50.0","93","1","10.33","66.7","20.2","20.2","17.7","17.7"
"89","Jonathan Taylor","IND","RB","1","2025","1","3","TEN","17","102","102.0","6.00","3","0","6","5.9","46","45.1","100.0","17.6","58.8","47.1","8","0.47","66","3.88","64.7","2.12","5","29.4","22","0","4.40","40.0","12","70.6","80","3","6.67","66.7","32.8","32.8","21.7","21.7"
"90","Tony Pollard","TEN","RB","1","2025","1","16","KC","21","102","102.0","4.86","0","1","3","4.8","15","14.7","0.0","","47.6","38.1","4","0.19","57","2.71","55.9","2.14","10","47.6","56","0","5.60","50.0","11","52.4","46","0","4.18","45.5","10.2","10.2","14.9","14.9"
"91","J.K. Dobbins","DEN","RB","1","2025","1","4","CIN","16","101","101.0","6.31","0","0","6","6.3","16","15.8","0.0","","68.8","31.3","2","0.13","42","2.63","41.6","3.69","5","31.3","33","0","6.60","80.0","11","68.8","68","0","6.18","63.6","11.5","11.5","9.5","9.5"
"92","Jawhar Jordan","HST","RB","1","2025","1","15","ARZ","15","101","101.0","6.73","0","0","4","6.7","50","49.5","20.0","","40.0","60.0","5","0.33","70","4.67","69.3","2.07","10","66.7","82","0","8.20","40.0","5","33.3","19","0","3.80","40.0","13.8","13.8","11.9","11.9"
