"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"1","Jahmyr Gibbs","RB","DET","6","349.8","15","23.32","1","1","1.1","0","0","0","0.0","0","272","1353","13.5","79","65","496","3.3"
"2","Bijan Robinson","RB","ATL","11","338.0","15","22.53","1","2","2.9","0","0","0","0.0","0","293","1370","9.7","82","67","587","3.1"
"3","Josh Allen","QB","BUF","7","335.9","15","22.39","1","1","21.3","466","311","3585","24.6","11","106","523","9.2","0","0","0","0.0"
"4","Puka Nacua","WR","LA","11","313.6","15","20.91","1","2","4.4","0","0","0","0.0","0","12","74","0.5","149","109","1456","8.2"
"5","Lamar Jackson","QB","BLT","13","312.2","15","20.81","2","2","32.5","434","283","3528","24.0","9","121","668","3.5","0","0","0","0.0"
"6","Jonathan Taylor","RB","IND","13","311.1","15","20.74","2","4","7.3","0","0","0","0.0","0","290","1372","13.7","57","47","346","1.9"
"7","Jayden Daniels","QB","WAS","7","309.0","15","20.60","2","6","64.3","435","282","3287","19.8","8","132","807","4.8","0","0","0","0.0"
"8","Drake Maye","QB","NE","11","306.0","15","20.40","2","3","47.6","458","309","3728","25.3","10","94","507","3.2","0","0","0","0.0"
"9","Jalen Hurts","QB","PHI","10","303.4","15","20.22","2","5","59.2","458","301","3354","21.7","7","109","502","7.1","0","0","0","0.0"
"10","Christian McCaffrey","RB","SF","8","296.3","14.5","20.43","2","3","5.4","0","0","0","0.0","0","247","981","8.4","80","66","547","4.6"
"11","Joe Burrow","QB","CIN","6","295.7","15","19.71","3","4","51.1","543","368","3971","31.0","11","40","173","1.5","0","0","0","0.0"
"12","Dak Prescott","QB","DAL","14","295.5","15","19.70","3","8","77.8","536","360","4058","29.3","12","49","188","1.9","0","0","0","0.0"
"13","Ja'Marr Chase","WR","CIN","6","285.1","15","19.01","2","1","3.1","0","0","0","0.0","0","3","18","0.0","146","102","1270","9.1"
"14","Trevor Lawrence","QB","JAX","7","282.3","15","18.82","3","12","100.2","501","319","3665","23.7","12","66","296","4.3","0","0","0","0.0"
"15","Justin Herbert","QB","LAC","7","280.6","15","18.71","4","9","82.2","514","340","3783","25.2","10","62","306","1.8","0","0","0","0.0"
"16","Brock Purdy","QB","SF","8","278.9","15","18.59","4","15","122.4","471","314","3720","27.1","14","57","254","2.2","0","0","0","0.0"
"17","Jaxon Smith-Njigba","WR","SEA","11","275.3","15","18.35","2","3","5.2","0","0","0","0.0","0","3","15","0.0","131","92","1299","8.8"
"18","Jaxson Dart","QB","NYG","8","273.7","14.5","18.88","4","10","91.5","428","274","3047","18.7","9","100","559","5.6","0","0","0","0.0"
"19","James Cook","RB","BUF","7","273.7","15","18.25","3","5","10.4","0","0","0","0.0","0","277","1367","10.5","42","34","307","1.8"
"20","Caleb Williams","QB","CHI","10","272.9","15","18.19","4","7","71.2","506","308","3623","23.7","10","65","336","2.0","0","0","0","0.0"
"21","Matthew Stafford","QB","LA","11","271.6","15","18.10","4","11","95.8","522","340","4015","29.5","10","25","23","0.4","0","0","0","0.0"
"22","Bo Nix","QB","DEN","10","270.8","15","18.05","4","14","119.4","533","343","3584","23.8","11","69","308","2.3","0","0","0","0.0"
"23","De'Von Achane","RB","MIA","6","270.1","15","18.01","3","6","11.8","0","0","0","0.0","0","237","1179","6.0","70","59","416","2.7"
"24","Patrick Mahomes","QB","KC","5","269.9","15","17.99","4","13","107.3","511","333","3680","24.8","11","55","311","1.0","0","0","0","0.0"
"25","Amon-Ra St. Brown","WR","DET","6","268.6","15","17.90","3","4","8.0","0","0","0","0.0","0","3","19","0.1","140","96","1211","8.2"
"26","Saquon Barkley","RB","PHI","10","267.6","15","17.84","3","7","13.7","0","0","0","0.0","0","288","1288","9.9","52","41","292","1.8"
"27","Malik Willis","QB","MIA","6","265.7","15","17.71","4","23","194.5","400","270","2814","16.5","11","114","758","4.2","0","0","0","0.0"
"28","Tyler Shough","QB","NO","8","264.9","15","17.66","5","22","185.8","523","348","3695","20.8","10","64","299","2.9","0","0","0","0.0"
"29","Jared Goff","QB","DET","6","262.4","15","17.49","5","16","133.1","513","346","3958","27.1","8","21","44","0.3","0","0","0","0.0"
"30","Kyler Murray","QB","MIN","6","259.6","14","18.54","5","19","159.0","463","310","3252","20.9","9","71","415","2.7","0","0","0","0.0"
"31","Jordan Love","QB","GB","11","255.3","15","17.02","5","18","149.5","470","303","3546","24.7","8","42","181","1.2","0","0","0","0.0"
"32","CeeDee Lamb","WR","DAL","14","252.3","15","16.82","4","5","9.5","0","0","0","0.0","0","2","13","0.1","132","88","1179","7.5"
"33","Justin Jefferson","WR","MIN","6","251.7","15","16.78","4","6","11.5","0","0","0","0.0","0","2","10","0.1","134","89","1161","7.6"
"34","Baker Mayfield","QB","TB","10","251.4","15","16.76","5","17","143.3","489","308","3451","23.9","12","53","255","1.1","0","0","0","0.0"
"35","Sam Darnold","QB","SEA","11","247.2","15","16.48","6","20","175.6","470","307","3732","23.3","12","41","140","0.8","0","0","0","0.0"
"36","C.J. Stroud","QB","HST","8","246.8","15","16.45","6","24","203.1","493","315","3563","22.1","12","48","217","1.5","0","0","0","0.0"
"37","Kenneth Walker III","RB","KC","5","243.9","15","16.26","4","11","19.7","0","0","0","0.0","0","243","1085","9.5","46","39","306","1.7"
"38","Derrick Henry","RB","BLT","13","243.9","15","16.26","4","12","20.2","0","0","0","0.0","0","276","1364","12.4","20","16","158","0.4"
"39","Daniel Jones","QB","IND","13","240.4","14","17.17","6","25","203.2","469","311","3407","20.3","10","50","189","2.7","0","0","0","0.0"
"40","Chase Brown","RB","CIN","6","239.0","15","15.93","4","10","16.7","0","0","0","0.0","0","206","892","6.6","66","55","387","2.8"
"41","Drake London","WR","ATL","11","233.9","15","15.59","5","7","17.1","0","0","0","0.0","0","0","0","0.0","134","86","1068","6.9"
"42","Breece Hall","RB","NYJ","13","232.6","15","15.50","4","16","33.5","0","0","0","0.0","0","242","1072","5.8","53","45","354","1.9"
"43","Rashee Rice","WR","KC","5","230.6","14.5","15.90","5","12","28.7","0","0","0","0.0","0","4","21","0.2","122","88","967","7.3"
"44","Jacoby Brissett","QB","ARZ","14","230.3","14","16.45","7","34","243.0","469","303","3284","20.6","8","42","188","1.5","0","0","0","0.0"
"45","Chris Olave","WR","NO","8","228.3","15","15.22","5","13","29.9","0","0","0","0.0","0","1","7","0.0","132","87","1072","5.7"
"46","Josh Jacobs","RB","GB","11","227.2","14","16.23","5","15","31.7","0","0","0","0.0","0","244","1023","10.7","40","33","222","1.1"
"47","Nico Collins","WR","HST","8","224.2","15","14.94","5","10","25.3","0","0","0","0.0","0","1","4","0.0","124","79","1072","6.3"
"48","Omarion Hampton","RB","LAC","7","223.3","15","14.89","5","9","15.2","0","0","0","0.0","0","216","973","7.7","53","44","269","1.7"
"49","Geno Smith","QB","NYJ","13","222.9","15","14.86","7","98","999.0","479","317","3325","21.1","14","49","172","1.0","0","0","0","0.0"
"50","Ashton Jeanty","RB","LV","13","222.9","13","17.14","5","8","14.5","0","0","0","0.0","0","212","876","6.8","59","48","338","2.4"
"51","Javonte Williams","RB","DAL","14","221.4","15","14.76","5","17","35.8","0","0","0","0.0","0","246","1081","8.6","44","36","177","1.5"
"52","A.J. Brown","WR","NE","11","220.9","15","14.73","5","8","17.9","0","0","0","0.0","0","2","13","0.1","115","77","1035","6.5"
"53","Kyren Williams","RB","LA","11","219.1","15","14.60","5","14","29.5","0","0","0","0.0","0","229","1052","9.0","38","31","218","1.4"
"54","David Montgomery","RB","HST","8","217.7","15","14.51","5","21","49.0","0","0","0","0.0","0","263","1115","8.6","37","30","218","0.7"
"55","Brock Bowers","TE","LV","13","217.3","15","14.48","1","2","23.3","0","0","0","0.0","0","4","9","0.0","115","87","916","6.3"
"56","Tee Higgins","WR","CIN","6","217.2","15","14.48","6","14","34.4","0","0","0","0.0","0","0","0","0.0","107","70","974","8.4"
"57","George Pickens","WR","DAL","14","217.2","14.5","14.98","6","9","23.1","0","0","0","0.0","0","2","9","0.1","112","75","1024","6.6"
"58","Garrett Wilson","WR","NYJ","13","217.1","15","14.47","6","20","45.9","0","0","0","0.0","0","2","10","0.0","126","83","966","6.2"
"59","Bryce Young","QB","CAR","5","213.2","15","14.22","8","27","227.3","462","293","3026","18.9","10","46","224","1.1","0","0","0","0.0"
"60","Aaron Rodgers","QB","PIT","9","212.3","15","14.15","8","30","228.8","479","313","3136","21.8","8","19","69","0.4","0","0","0","0.0"
"61","DeVonta Smith","WR","PHI","10","212.0","15","14.13","6","15","35.2","0","0","0","0.0","0","0","0","0.0","118","79","962","6.1"
"62","Zay Flowers","WR","BLT","13","211.4","15","14.10","6","19","41.1","0","0","0","0.0","0","6","33","0.1","106","71","1030","5.6"
"63","Cam Ward","QB","TEN","9","209.8","15","13.99","8","28","227.6","504","316","3186","17.8","10","42","177","1.2","0","0","0","0.0"
"64","Bucky Irving","RB","TB","10","207.1","14.5","14.28","6","18","41.7","0","0","0","0.0","0","218","908","6.4","42","35","321","1.9"
"65","Ladd McConkey","WR","LAC","7","206.5","15","13.77","6","17","38.4","0","0","0","0.0","0","0","0","0.0","114","75","953","6.2"
"66","Jeremiyah Love","RB","ARZ","14","205.6","14","14.69","6","13","26.7","0","0","0","0.0","0","196","890","6.7","49","40","288","1.6"
"67","Malik Nabers","WR","NYG","8","204.6","14","14.62","6","11","27.6","0","0","0","0.0","0","0","0","0.0","117","74","950","6.0"
"68","Davante Adams","WR","LA","11","204.5","15","13.63","6","22","50.2","0","0","0","0.0","0","0","0","0.0","115","68","874","8.2"
"69","Quinshon Judkins","RB","CLV","11","204.2","15","13.61","6","22","53.0","0","0","0","0.0","0","268","997","7.4","38","30","239","1.1"
"70","D'Andre Swift","RB","CHI","10","202.9","15","13.53","6","24","55.0","0","0","0","0.0","0","206","956","7.0","40","32","261","1.4"
"71","Trey McBride","TE","ARZ","14","201.7","15","13.45","2","1","22.4","0","0","0","0.0","0","0","0","0.0","119","91","776","5.6"
"72","Bhayshul Tuten","RB","JAX","7","201.6","15","13.44","6","25","62.5","0","0","0","0.0","0","236","986","8.2","34","27","203","1.3"
"73","Rhamondre Stevenson","RB","NE","11","201.1","15","13.40","6","30","81.6","0","0","0","0.0","0","183","792","6.5","46","39","333","2.1"
"74","Jameson Williams","WR","DET","6","199.8","15","13.32","7","26","58.3","0","0","0","0.0","0","6","32","0.2","95","62","974","6.1"
"75","Travis Etienne","RB","NO","8","199.8","15","13.32","6","20","44.6","0","0","0","0.0","0","204","879","6.5","44","37","276","1.5"
"76","Mike Evans","WR","SF","8","194.3","15","12.95","7","27","61.0","0","0","0","0.0","0","0","0","0.0","103","65","843","7.6"
"77","Emeka Egbuka","WR","TB","10","193.2","15","12.88","7","18","39.8","0","0","0","0.0","0","2","10","0.0","114","66","883","6.4"
"78","Terry McLaurin","WR","WAS","7","192.4","15","12.82","7","24","56.1","0","0","0","0.0","0","0","0","0.0","99","63","959","5.6"
"79","Tetairoa McMillan","WR","CAR","5","188.7","15","12.58","7","16","37.0","0","0","0","0.0","0","0","0","0.0","108","68","882","5.5"
"80","Jaylen Waddle","WR","DEN","10","188.6","15","12.58","7","21","46.6","0","0","0","0.0","0","2","10","0.0","105","66","888","5.5"
"81","Christian Watson","WR","GB","11","187.1","14","13.36","7","30","70.3","0","0","0","0.0","0","2","9","0.1","93","57","905","6.4"
"82","Colston Loveland","TE","CHI","10","186.0","15","12.40","3","3","40.8","0","0","0","0.0","0","1","4","0.0","104","73","796","5.5"
"83","Parker Washington","WR","JAX","7","185.4","15","12.36","7","34","76.0","0","0","0","0.0","0","6","29","0.2","103","65","848","5.4"
"84","Tyler Warren","TE","IND","13","184.4","15","12.30","3","4","47.5","0","0","0","0.0","0","5","9","0.7","101","73","770","4.9"
"85","Jaylen Warren","RB","PIT","9","184.4","15","12.29","7","27","71.9","0","0","0","0.0","0","169","768","5.1","46","40","288","1.5"
"86","DJ Moore","WR","BUF","7","184.1","15","12.27","8","25","57.9","0","0","0","0.0","0","8","48","0.2","105","68","777","5.5"
"87","Rome Odunze","WR","CHI","10","183.0","15","12.20","8","28","65.0","0","0","0","0.0","0","0","0","0.0","111","63","841","6.0"
"88","Luther Burden III","WR","CHI","10","182.9","15","12.20","8","23","52.4","0","0","0","0.0","0","7","35","0.0","98","68","828","4.7"
"89","Michael Pittman","WR","PIT","9","181.6","15","12.11","8","40","101.3","0","0","0","0.0","0","0","0","0.0","117","78","723","5.3"
"90","Brian Thomas Jr.","WR","JAX","7","181.1","15","12.07","8","31","73.1","0","0","0","0.0","0","3","16","0.2","102","63","831","5.4"
"91","DK Metcalf","WR","PIT","9","180.4","15","12.03","8","32","74.7","0","0","0","0.0","0","1","8","0.0","104","65","809","5.7"
"92","Tony Pollard","RB","TEN","9","180.2","15","12.02","7","31","83.7","0","0","0","0.0","0","203","889","5.6","43","35","186","0.8"
"93","Jakobi Meyers","WR","JAX","7","179.5","15","11.96","8","47","115.5","0","0","0","0.0","0","4","17","0.1","101","68","808","4.7"
"94","Cam Skattebo","RB","NYG","8","178.8","15","11.92","7","19","43.6","0","0","0","0.0","0","195","814","7.0","35","29","204","1.2"
"95","Stefon Diggs","WR","WAS","7","178.3","15","11.89","8","44","110.8","0","0","0","0.0","0","0","0","0.0","96","67","826","4.8"
"96","Quentin Johnston","WR","LAC","7","178.2","15","11.88","8","46","113.9","0","0","0","0.0","0","2","11","0.1","96","60","836","5.5"
"97","Courtland Sutton","WR","DEN","10","176.1","15","11.74","8","35","80.9","0","0","0","0.0","0","0","0","0.0","98","61","799","5.9"
"98","TreVeyon Henderson","RB","NE","11","172.6","15","11.51","7","23","53.5","0","0","0","0.0","0","173","786","5.9","34","29","232","1.1"
"99","Rico Dowdle","RB","PIT","9","172.3","15","11.48","7","32","85.0","0","0","0","0.0","0","180","801","5.3","39","32","218","1.1"
"100","Carnell Tate","WR","TEN","9","168.1","15","11.21","9","29","65.9","0","0","0","0.0","0","0","0","0.0","104","67","770","4.2"
"101","Kenny Gainwell","RB","TB","10","168.1","15","11.20","8","37","111.9","0","0","0","0.0","0","138","589","4.1","52","43","319","1.9"
"102","Aaron Jones","RB","MIN","6","167.0","14","11.93","8","40","124.0","0","0","0","0.0","0","163","676","3.3","51","42","286","1.6"
"103","Chuba Hubbard","RB","CAR","5","166.9","14","11.92","8","28","77.0","0","0","0","0.0","0","200","767","5.9","36","30","187","1.1"
"104","Deshaun Watson","QB","CLV","11","166.2","12","13.85","9","77","999.0","391","242","2407","14.4","11","40","210","0.7","0","0","0","0.0"
"105","Kyle Pitts","TE","ATL","11","165.2","15","11.01","4","8","69.8","0","0","0","0.0","0","0","0","0.0","94","65","750","4.2"
"106","Jadarian Price","RB","SEA","11","163.9","15","10.93","8","26","67.9","0","0","0","0.0","0","211","939","6.6","21","18","118","0.5"
"107","Jordan Addison","WR","MIN","6","163.6","15","10.91","9","42","104.7","0","0","0","0.0","0","2","17","0.1","90","57","758","4.8"
"108","Sam LaPorta","TE","DET","6","163.5","14","11.68","4","5","59.6","0","0","0","0.0","0","0","0","0.0","81","63","697","5.1"
"109","Jayden Reed","WR","GB","11","161.4","15","10.76","9","45","112.9","0","0","0","0.0","0","12","77","0.4","81","56","689","4.4"
"110","Harold Fannin Jr.","TE","CLV","11","159.2","15","10.61","4","7","68.5","0","0","0","0.0","0","4","12","0.2","95","68","650","4.1"
"111","Travis Kelce","TE","KC","5","158.0","15","10.53","4","11","92.7","0","0","0","0.0","0","0","0","0.0","82","61","707","4.4"
"112","Chris Godwin Jr.","WR","TB","10","157.2","15","10.48","9","39","95.5","0","0","0","0.0","0","0","0","0.0","88","61","711","4.2"
"113","Dallas Goedert","TE","PHI","10","157.1","15","10.48","4","14","123.1","0","0","0","0.0","0","0","0","0.0","82","63","662","4.7"
"114","Jake Ferguson","TE","DAL","14","156.4","15","10.43","4","12","98.5","0","0","0","0.0","0","0","0","0.0","81","64","604","5.4"
"115","Marvin Harrison Jr.","WR","ARZ","14","155.5","15","10.37","17","33","75.8","0","0","0","0.0","0","0","0","0.0","102","60","692","4.4"
"116","Romeo Doubs","WR","NE","11","155.2","15","10.35","9","51","131.8","0","0","0","0.0","0","0","0","0.0","78","53","742","4.8"
"117","Fernando Mendoza","QB","LV","13","155.1","10","15.51","9","21","179.1","324","206","2230","13.2","7","33","146","1.3","0","0","0","0.0"
"118","George Kittle","TE","SF","8","152.0","13","11.69","4","10","89.4","0","0","0","0.0","0","1","2","0.0","72","56","645","5.3"
"119","Mark Andrews","TE","BLT","13","151.4","15","10.09","4","16","129.0","0","0","0","0.0","0","4","6","0.2","77","57","591","5.7"
"120","Juwan Johnson","TE","NO","8","150.1","15","10.01","5","23","187.1","0","0","0","0.0","0","0","0","0.0","83","63","665","3.5"
"121","Josh Downs","WR","IND","13","150.0","15","10.00","10","43","107.6","0","0","0","0.0","0","1","7","0.0","87","60","665","3.9"
"122","RJ Harvey","RB","DEN","10","149.7","15","9.98","9","29","79.5","0","0","0","0.0","0","124","485","3.6","54","45","260","1.6"
"123","Cooper Kupp","WR","SEA","11","148.6","15","9.90","10","77","220.5","0","0","0","0.0","0","0","1","0.0","78","54","738","3.5"
"124","Tucker Kraft","TE","GB","11","147.2","14.5","10.15","5","6","63.4","0","0","0","0.0","0","2","6","0.0","73","55","600","5.3"
"125","Deebo Samuel Sr.","WR","SF","8","147.2","15","9.81","10","53","137.4","0","0","0","0.0","0","14","68","0.6","73","51","646","3.6"
"126","Brenton Strange","TE","JAX","7","146.2","15","9.75","5","18","152.1","0","0","0","0.0","0","0","0","0.0","78","59","625","4.1"
"127","Michael Wilson","WR","ARZ","14","145.8","15","9.72","10","36","83.0","0","0","0","0.0","0","0","0","0.0","90","56","662","4.0"
"128","Xavier Worthy","WR","KC","5","144.3","15","9.62","10","54","140.4","0","0","0","0.0","0","13","75","0.4","81","50","602","4.0"
"129","Blake Corum","RB","LA","11","143.4","15","9.56","9","35","103.8","0","0","0","0.0","0","169","778","6.5","17","14","100","0.6"
"130","Jonathon Brooks","RB","CAR","5","141.4","15","9.43","9","36","106.1","0","0","0","0.0","0","162","688","4.8","30","25","149","0.9"
"131","Kyle Monangai","RB","CHI","10","140.0","15","9.33","9","34","99.8","0","0","0","0.0","0","155","668","4.9","27","21","184","0.9"
"132","Rachaad White","RB","WAS","7","137.7","15","9.18","9","41","131.3","0","0","0","0.0","0","130","526","4.1","36","32","221","1.2"
"133","Matthew Golden","WR","GB","11","137.2","15","9.15","10","50","127.9","0","0","0","0.0","0","7","36","0.1","68","44","649","4.1"
"134","Khalil Shakir","WR","BUF","7","136.9","15","9.13","10","55","143.6","0","0","0","0.0","0","1","4","0.0","75","56","615","3.2"
"135","Dalton Schultz","TE","HST","8","136.5","15","9.10","5","24","191.0","0","0","0","0.0","0","0","0","0.0","76","57","581","3.6"
"136","Keenan Allen","WR","IND","13","136.4","15","9.09","10","70","197.4","0","0","0","0.0","0","0","0","0.0","85","58","588","3.3"
"137","Jalen Coker","WR","CAR","5","136.0","14","9.72","10","56","145.8","0","0","0","0.0","0","0","0","0.0","74","50","664","3.3"
"138","Makai Lemon","WR","PHI","10","135.0","15","9.00","11","37","86.4","0","0","0","0.0","0","0","0","0.0","78","52","612","3.8"
"139","Dalton Kincaid","TE","BUF","7","133.4","14.5","9.20","6","9","87.4","0","0","0","0.0","0","0","0","0.0","69","52","566","4.2"
"140","Alec Pierce","WR","IND","13","133.4","13","10.26","11","41","101.7","0","0","0","0.0","0","0","0","0.0","74","43","671","3.9"
"141","Wan'Dale Robinson","WR","TEN","9","133.1","15","8.87","11","48","116.3","0","0","0","0.0","0","3","14","0.0","82","55","606","2.7"
"142","Tre Tucker","WR","LV","13","133.1","15","8.87","11","71","202.5","0","0","0","0.0","0","8","44","0.2","76","47","596","3.5"
"143","Hunter Henry","TE","NE","11","131.8","15","8.79","6","17","139.4","0","0","0","0.0","0","0","0","0.0","65","49","556","4.6"
"144","T.J. Hockenson","TE","MIN","6","131.3","15","8.75","6","20","164.0","0","0","0","0.0","0","0","0","0.0","75","57","519","3.7"
"145","Jerry Jeudy","WR","CLV","11","130.0","15","8.67","11","65","189.6","0","0","0","0.0","0","1","3","0.0","88","53","570","3.4"
"146","Jalen Nailor","WR","LV","13","130.0","15","8.67","11","64","182.4","0","0","0","0.0","0","2","12","0.0","75","47","599","3.6"
"147","Ryan Flournoy","WR","DAL","14","129.8","15","8.65","11","86","230.7","0","0","0","0.0","0","3","15","0.0","65","44","610","3.9"
"148","Jalen McMillan","WR","TB","10","129.7","14","9.27","11","72","209.2","0","0","0","0.0","0","2","13","0.0","69","44","594","4.2"
"149","Dontayvion Wicks","WR","PHI","10","128.2","15","8.55","11","296","999.0","0","0","0","0.0","0","0","0","0.0","64","41","653","3.7"
"150","Tua Tagovailoa","QB","ATL","11","127.3","9","14.14","10","32","236.5","295","193","2034","11.9","9","21","61","0.4","0","0","0","0.0"
"151","KC Concepcion","WR","CLV","11","127.1","15","8.47","11","49","121.3","0","0","0","0.0","0","0","0","0.0","80","50","575","3.4"
"152","Tyjae Spears","RB","TEN","9","126.8","14","9.06","10","49","165.8","0","0","0","0.0","0","120","508","2.8","39","33","206","0.9"
"153","Isaiah Likely","TE","NYG","8","125.6","15","8.38","6","13","109.5","0","0","0","0.0","0","0","0","0.0","68","51","554","3.4"
"154","Cade Otton","TE","TB","10","125.1","15","8.34","6","31","235.7","0","0","0","0.0","0","0","0","0.0","77","56","487","3.5"
"155","Rashid Shaheed","WR","SEA","11","124.2","15","8.28","11","57","147.0","0","0","0","0.0","0","7","40","0.2","69","44","567","3.1"
"156","Charlie Kolar","TE","LAC","7","123.5","15","8.23","6","158","999.0","0","0","0","0.0","0","0","0","0.0","60","45","561","3.8"
"157","Michael Penix Jr.","QB","ATL","11","118.5","8","14.81","10","29","227.9","260","160","1804","10.3","5","21","78","0.6","0","0","0","0.0"
"158","Adonai Mitchell","WR","NYJ","13","117.5","15","7.84","12","88","232.5","0","0","0","0.0","0","2","7","0.0","74","44","547","3.1"
"159","Keaton Mitchell","RB","LAC","7","115.3","14","8.23","10","53","181.1","0","0","0","0.0","0","103","467","2.7","34","27","205","0.9"
"160","Dylan Sampson","RB","CLV","11","114.0","15","7.60","10","55","188.2","0","0","0","0.0","0","74","260","1.7","50","41","291","1.4"
"161","AJ Barner","TE","SEA","11","114.0","15","7.60","7","21","183.1","0","0","0","0.0","0","6","10","0.5","53","41","462","3.9"
"162","Jauan Jennings","WR","MIN","6","113.4","15","7.56","12","69","196.3","0","0","0","0.0","0","0","0","0.0","64","42","526","3.2"
"163","J.K. Dobbins","RB","DEN","10","113.1","12","9.42","10","33","94.9","0","0","0","0.0","0","144","673","4.9","13","10","46","0.3"
"164","Denzel Boston","WR","CLV","11","112.9","15","7.53","12","59","166.0","0","0","0","0.0","0","0","0","0.0","69","43","520","3.1"
"165","Justice Hill","RB","BLT","13","112.6","15","7.51","10","153","999.0","0","0","0","0.0","0","74","350","2.3","39","32","242","1.4"
"166","Devaughn Vele","WR","NO","8","112.5","14","8.04","12","94","239.8","0","0","0","0.0","0","0","0","0.0","68","45","489","3.1"
"167","Caleb Douglas","WR","MIA","6","111.9","15","7.46","12","73","213.5","0","0","0","0.0","0","0","0","0.0","62","39","564","2.7"
"168","Kirk Cousins","QB","LV","13","111.7","7","15.95","11","86","999.0","241","158","1730","10.9","5","12","21","0.4","0","0","0","0.0"
"169","Rashod Bateman","WR","BLT","13","111.2","15","7.42","12","89","232.7","0","0","0","0.0","0","0","0","0.0","58","35","526","3.9"
"170","Chig Okonkwo","TE","WAS","7","111.1","15","7.40","7","22","185.5","0","0","0","0.0","0","0","0","0.0","56","42","513","2.9"
"171","Jacory Croskey-Merritt","RB","WAS","7","110.7","15","7.38","11","38","113.8","0","0","0","0.0","0","158","668","3.7","14","11","83","0.6"
"172","Calvin Ridley","WR","TEN","9","110.5","15","7.37","12","105","253.2","0","0","0","0.0","0","0","0","0.0","69","39","547","2.8"
"173","Pat Freiermuth","TE","PIT","9","108.2","15","7.21","7","32","239.9","0","0","0","0.0","0","0","0","0.0","57","43","453","3.4"
"174","Gunnar Helm","TE","TEN","9","105.9","15","7.06","7","30","233.1","0","0","0","0.0","0","0","0","0.0","58","45","431","3.0"
"175","Evan Engram","TE","DEN","10","105.9","15","7.06","7","141","999.0","0","0","0","0.0","0","1","3","0.0","66","46","441","2.6"
"176","Malik Washington","WR","MIA","6","105.3","15","7.02","12","62","173.2","0","0","0","0.0","0","9","54","0.3","64","47","379","2.3"
"177","Ty Johnson","RB","BUF","7","104.9","15","6.99","11","156","999.0","0","0","0","0.0","0","58","253","2.1","35","28","283","1.9"
"178","Kayshon Boutte","WR","HST","8","104.4","15","6.96","12","79","223.7","0","0","0","0.0","0","0","0","0.0","59","36","502","3.1"
"179","Jordyn Tyson","WR","NO","8","102.1","11","9.28","13","38","89.4","0","0","0","0.0","0","0","0","0.0","55","36","495","2.8"
"180","KaVontae Turpin","WR","DAL","14","102.0","15","6.80","13","282","999.0","0","0","0","0.0","0","16","90","0.4","44","31","431","2.9"
"181","Malachi Fields","WR","NYG","8","101.3","15","6.75","13","76","219.8","0","0","0","0.0","0","0","0","0.0","57","37","477","2.9"
"182","Jaylin Noel","WR","HST","8","101.2","14","7.23","13","74","213.7","0","0","0","0.0","0","2","13","0.0","53","35","464","3.0"
"183","Marvin Mims Jr.","WR","DEN","10","99.6","15","6.64","13","75","219.5","0","0","0","0.0","0","11","59","0.3","53","38","398","2.4"
"184","Tre Harris","WR","LAC","7","99.4","15","6.63","13","87","231.4","0","0","0","0.0","0","2","14","0.1","54","36","439","2.9"
"185","Omar Cooper Jr.","WR","NYJ","13","96.7","15","6.45","13","66","190.1","0","0","0","0.0","0","0","0","0.0","53","35","453","2.8"
"186","Greg Dulcich","TE","MIA","6","96.0","12","8.00","8","28","229.7","0","0","0","0.0","0","0","0","0.0","48","36","444","2.6"
"187","Michael Mayer","TE","LV","13","95.8","14","6.84","8","126","999.0","0","0","0","0.0","0","0","0","0.0","54","39","412","2.7"
"188","De'Zhaun Stribling","WR","SF","8","95.1","15","6.34","13","52","137.0","0","0","0","0.0","0","0","0","0.0","48","32","474","2.7"
"189","Samaje Perine","RB","CIN","6","94.4","15","6.30","12","136","999.0","0","0","0","0.0","0","94","404","2.7","23","20","145","0.7"
"190","Kenyon Sadiq","TE","NYJ","13","92.2","14","6.59","8","19","153.4","0","0","0","0.0","0","0","0","0.0","50","38","397","2.6"
"191","Kendrick Bourne","WR","ARZ","14","91.6","15","6.10","13","307","999.0","0","0","0","0.0","0","1","5","0.0","49","32","443","2.5"
"192","Woody Marks","RB","HST","8","91.3","15","6.09","12","46","160.8","0","0","0","0.0","0","82","321","2.0","31","23","174","1.2"
"193","Brian Robinson","RB","ATL","11","90.8","15","6.05","12","45","155.8","0","0","0","0.0","0","118","466","3.2","18","14","87","0.4"
"194","Pat Bryant","WR","DEN","10","89.4","15","5.96","13","","1165.0","0","0","0","0.0","0","0","0","0.0","50","33","418","2.5"
"195","Tyler Allgeier","RB","ARZ","14","89.3","15","5.95","12","43","146.1","0","0","0","0.0","0","118","501","3.8","10","8","71","0.2"
"196","Darnell Mooney","WR","NYG","8","89.0","15","5.93","13","102","249.2","0","0","0","0.0","0","0","0","0.0","55","33","418","2.3"
