"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"263","Tory Horton","WR","SEA","11","54.4","14","3.89","15","82","228.7","0","0","0","0.0","0","0","0","0.0","29","18","277","1.5"
"264","Isaiah Williams","WR","NYJ","13","54.1","14","3.87","15","","1515.0","0","0","0","0.0","0","2","9","0.0","32","24","217","1.3"
"265","Isaiah Bond","WR","CLV","11","53.6","15","3.57","15","","1520.0","0","0","0","0.0","0","4","24","0.0","31","18","259","1.2"
"266","Elijah Higgins","TE","ARZ","14","53.5","15","3.56","10","133","999.0","0","0","0","0.0","0","0","0","0.0","27","21","261","1.1"
"267","Ashton Dulin","WR","IND","13","52.8","15","3.52","16","318","999.0","0","0","0","0.0","0","4","24","0.0","26","16","271","1.2"
"268","Jake Tonges","TE","SF","8","52.4","15","3.49","10","33","241.4","0","0","0","0.0","0","0","0","0.0","26","19","209","2.0"
"269","Tank Bigsby","RB","PHI","10","51.4","15","3.42","14","52","177.7","0","0","0","0.0","0","61","277","2.1","8","6","40","0.2"
"270","Ted Hurst III","WR","TB","10","51.0","15","3.40","16","93","239.6","0","0","0","0.0","0","0","0","0.0","27","17","236","1.7"
"271","Jaylen Wright","RB","MIA","6","51.0","14","3.65","14","75","247.9","0","0","0","0.0","0","54","225","1.4","12","10","83","0.4"
"272","Ray Davis","RB","BUF","7","49.8","15","3.32","14","65","225.7","0","0","0","0.0","0","56","240","1.5","9","7","75","0.4"
"273","Austin Hooper","TE","ATL","11","49.6","15","3.31","11","46","430.0","0","0","0","0.0","0","0","0","0.0","27","20","215","1.3"
"274","Tez Johnson","WR","TB","10","49.5","15","3.30","16","","1565.0","0","0","0","0.0","0","7","32","0.1","27","18","189","1.5"
"275","Tanner Hudson","TE","CIN","6","48.2","15","3.21","11","178","999.0","0","0","0","0.0","0","0","0","0.0","24","18","210","1.5"
"276","Darius Slayton","WR","NYG","8","48.0","15","3.20","16","320","999.0","0","0","0","0.0","0","0","0","0.0","29","18","222","1.4"
"277","J.J. McCarthy","QB","MIN","6","47.5","3","15.84","13","26","224.2","93","58","652","4.1","3","12","59","0.4","0","0","0","0.0"
"278","Seth McGowan","RB","IND","13","47.5","15","3.17","14","163","999.0","0","0","0","0.0","0","57","241","1.6","9","7","56","0.2"
"279","Malik Benson","WR","LV","13","47.0","15","3.13","16","287","999.0","0","0","0","0.0","0","0","0","0.0","25","15","250","1.1"
"280","Travis Hunter","WR","JAX","7","47.0","14","3.36","16","60","167.0","0","0","0","0.0","0","2","13","0.1","25","16","208","1.4"
"281","Drew Sample","TE","CIN","6","46.7","15","3.11","11","173","999.0","0","0","0","0.0","0","0","0","0.0","27","22","178","1.2"
"282","Savion Williams","WR","GB","11","46.6","14","3.33","16","","1605.0","0","0","0","0.0","0","11","52","0.1","17","12","203","1.5"
"283","Braelon Allen","RB","NYJ","13","46.5","14","3.32","14","57","205.8","0","0","0","0.0","0","60","258","1.7","7","6","39","0.2"
"284","Chimere Dike","WR","TEN","9","44.8","15","2.98","16","84","229.4","0","0","0","0.0","0","0","0","0.0","28","18","193","1.2"
"285","James Conner","RB","ARZ","14","44.6","12","3.71","14","68","233.2","0","0","0","0.0","0","38","163","1.2","13","11","93","0.3"
"286","Jordan James","RB","SF","8","44.1","13","3.39","15","138","999.0","0","0","0","0.0","0","51","219","1.3","8","7","66","0.3"
"287","Eli Raridon","TE","NE","11","43.6","15","2.90","11","203","999.0","0","0","0","0.0","0","0","0","0.0","25","19","161","1.5"
"288","Jalen Tolbert","WR","MIA","6","43.5","14","3.11","16","352","999.0","0","0","0","0.0","0","0","0","0.0","25","16","210","1.1"
"289","Kaelon Black","RB","SF","8","43.0","15","2.87","15","61","215.1","0","0","0","0.0","0","50","211","1.1","9","7","72","0.3"
"290","Tommy Tremble","TE","CAR","5","42.3","14","3.02","11","161","999.0","0","0","0","0.0","0","0","0","0.0","24","18","166","1.2"
"291","Josh Oliver","TE","MIN","6","42.2","15","2.81","11","174","999.0","0","0","0","0.0","0","0","0","0.0","24","18","164","1.3"
"292","Will Kacmarek","TE","MIA","6","41.4","15","2.76","11","212","999.0","0","0","0","0.0","0","0","0","0.0","23","17","163","1.4"
"293","DJ Giddens","RB","IND","13","41.3","13","3.17","15","142","999.0","0","0","0","0.0","0","42","172","1.0","10","8","76","0.3"
"294","Kyle Juszczyk","RB","SF","8","41.2","15","2.75","15","","1665.0","0","0","0","0.0","0","4","12","0.1","21","17","168","0.9"
"295","Devontez Walker","WR","BLT","13","40.9","15","2.73","16","","1670.0","0","0","0","0.0","0","0","0","0.0","21","14","201","1.2"
"296","Jonnu Smith","TE","GB","11","40.7","14","2.91","11","113","999.0","0","0","0","0.0","0","0","0","0.0","25","18","161","1.1"
"297","Jameis Winston","QB","NYG","8","40.3","2.5","16.13","13","115","999.0","86","53","617","3.8","3","8","29","0.1","0","0","0","0.0"
"298","Nicholas Singleton","RB","TEN","9","40.3","15","2.69","15","59","209.0","0","0","0","0.0","0","38","155","0.8","12","9","85","0.4"
