"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"16","Brock Purdy","QB","SF","8","QB13","103.5","277.2","15","18.48","4","471","314","3677","27.1","14","56.9","253.5","2.2","-","-","-","-","-","-","-","-","-"
"17","Jaxon Smith-Njigba","WR","SEA","11","WR3","5.4","275.3","15","18.35","2","0","0","0","0","0","2.8","14.7","0.0","131.2","91.7","1298.8","8.8","-","-","-","-","-"
"18","Caleb Williams","QB","CHI","10","QB8","82.9","272.9","15","18.19","4","506","308","3623","23.7","10","65.3","335.9","2.0","-","-","-","-","-","-","-","-","-"
"19","Saquon Barkley","RB","PHI","10","RB10","19.5","272.8","15","18.19","3","0","0","0","0","0","295.7","1323.5","10.1","51.5","40.7","291.7","1.8","-","-","-","-","-"
"20","De'Von Achane","RB","MIA","6","RB8","16.2","272.5","15","18.17","3","0","0","0","0","0","241.1","1197.8","6.1","70.1","58.9","415.6","2.7","-","-","-","-","-"
"21","Jaxson Dart","QB","NYG","8","QB7","80.6","272.4","14.5","18.79","4","428","274","3015","18.7","9","100.3","559.3","5.6","-","-","-","-","-","-","-","-","-"
"22","Patrick Mahomes","QB","KC","5","QB12","100.1","271.9","15","18.13","4","515","336","3708","25.0","11","55.2","313.0","1.0","-","-","-","-","-","-","-","-","-"
"23","Matthew Stafford","QB","LA","11","QB14","115.2","271.6","15","18.10","4","522","340","4015","29.5","10","25.2","23.3","0.4","-","-","-","-","-","-","-","-","-"
"24","Bo Nix","QB","DEN","10","QB15","118.7","270.8","15","18.05","4","533","343","3584","23.8","11","69.5","307.8","2.3","-","-","-","-","-","-","-","-","-"
"25","James Cook","RB","BUF","7","RB5","9.7","268.0","15","17.87","3","0","0","0","0","0","277.0","1367.4","10.5","39.8","32.4","278.1","1.6","-","-","-","-","-"
"26","Amon-Ra St. Brown","WR","DET","6","WR5","11.2","267.1","15","17.81","3","0","0","0","0","0","3.3","18.8","0.1","137.9","94.8","1210.7","8.2","-","-","-","-","-"
"27","Malik Willis","QB","MIA","6","QB18","137.8","265.7","15","17.71","4","400","270","2814","16.5","11","114.5","757.9","4.2","-","-","-","-","-","-","-","-","-"
"28","Ashton Jeanty","RB","LV","13","RB7","15.4","265.1","15","17.67","3","0","0","0","0","0","251.5","1040.0","8.0","72.6","58.7","389.6","2.7","-","-","-","-","-"
"29","Tyler Shough","QB","NO","8","QB21","144.4","264.9","15","17.66","5","523","348","3695","20.8","10","63.8","298.6","2.9","-","-","-","-","-","-","-","-","-"
"30","Jared Goff","QB","DET","6","QB16","122.0","262.4","15","17.49","5","513","346","3958","27.1","8","21.2","43.9","0.3","-","-","-","-","-","-","-","-","-"
"31","Kyler Murray","QB","MIN","6","QB20","142.2","259.6","14","18.54","5","463","310","3252","20.9","9","71.4","414.6","2.7","-","-","-","-","-","-","-","-","-"
"32","Jordan Love","QB","GB","11","QB17","124.8","255.3","15","17.02","5","470","303","3546","24.7","8","41.6","181.1","1.2","-","-","-","-","-","-","-","-","-"
"33","CeeDee Lamb","WR","DAL","14","WR4","10.6","252.3","15","16.82","3","0","0","0","0","0","2.2","12.9","0.1","132.0","88.3","1179.1","7.5","-","-","-","-","-"
"34","Justin Jefferson","WR","MIN","6","WR6","12.4","251.7","15","16.78","4","0","0","0","0","0","2.2","10.2","0.1","134.2","89.2","1160.5","7.6","-","-","-","-","-"
"35","Baker Mayfield","QB","TB","10","QB19","140.9","251.4","15","16.76","5","489","308","3451","23.9","12","53.0","255.4","1.1","-","-","-","-","-","-","-","-","-"
"36","Sam Darnold","QB","SEA","11","QB23","165.3","247.2","15","16.48","6","470","307","3732","23.3","12","40.8","140.0","0.8","-","-","-","-","-","-","-","-","-"
"37","C.J. Stroud","QB","HST","8","QB22","163.4","245.0","15","16.33","6","493","315","3517","22.1","12","48.5","216.7","1.5","-","-","-","-","-","-","-","-","-"
"38","Derrick Henry","RB","BLT","13","RB13","24.6","243.9","15","16.26","4","0","0","0","0","0","275.6","1364.2","12.4","19.5","15.9","158.2","0.4","-","-","-","-","-"
"39","Kenneth Walker III","RB","KC","5","RB6","14.6","242.7","15","16.18","4","0","0","0","0","0","239.8","1070.2","9.4","47.0","39.2","308.4","1.7","-","-","-","-","-"
"40","Chase Brown","RB","CIN","6","RB12","22.2","239.0","15","15.93","4","0","0","0","0","0","205.9","892.4","6.6","66.0","55.5","386.5","2.8","-","-","-","-","-"
"41","Rashee Rice","WR","KC","5","WR13","32.7","237.3","14.5","16.37","4","0","0","0","0","0","5.8","28.8","0.3","121.6","87.3","1020.8","7.4","-","-","-","-","-"
"42","Omarion Hampton","RB","LAC","7","RB9","18.8","235.2","15","15.68","4","0","0","0","0","0","230.6","1014.9","7.8","55.3","45.9","315.0","1.8","-","-","-","-","-"
"43","Breece Hall","RB","NYJ","13","RB17","32.3","232.6","15","15.50","4","0","0","0","0","0","242.2","1071.6","5.8","53.0","45.4","353.6","1.9","-","-","-","-","-"
"44","Drake London","WR","ATL","11","WR7","14.1","232.2","15","15.48","5","0","0","0","0","0","-","-","-","133.6","86.4","1055.2","6.8","-","-","-","-","-"
"45","Josh Jacobs","RB","GB","11","RB14","27.6","231.7","14","16.55","4","0","0","0","0","0","251.0","1054.8","11.0","40.2","33.5","222.2","1.0","-","-","-","-","-"
"46","Jacoby Brissett","QB","ARZ","14","QB28","200.9","230.3","14","16.45","7","469","303","3284","20.6","8","42.0","188.3","1.5","-","-","-","-","-","-","-","-","-"
"47","Jeremiyah Love","RB","ARZ","14","RB11","19.7","229.1","15","15.27","4","0","0","0","0","0","220.6","1002.1","7.6","54.7","45.0","308.1","1.8","-","-","-","-","-"
"48","Geno Smith","QB","NYJ","13","QB120","999.0","224.7","15","14.98","7","479","317","3370","21.1","14","48.9","171.6","1.0","-","-","-","-","-","-","-","-","-"
"49","Javonte Williams","RB","DAL","14","RB19","38.3","223.8","15","14.92","5","0","0","0","0","0","249.6","1097.9","8.7","43.6","36.1","177.2","1.5","-","-","-","-","-"
"50","Cam Ward","QB","TEN","9","QB24","165.9","220.9","15","14.72","7","504","316","3277","19.7","10","41.9","176.6","1.2","-","-","-","-","-","-","-","-","-"
"51","Chris Olave","WR","NO","8","WR11","26.4","219.3","15","14.62","5","0","0","0","0","0","1.3","6.5","0.0","125.1","81.9","1034.1","5.6","-","-","-","-","-"
"52","Cam Skattebo","RB","NYG","8","RB21","48.7","218.3","15","14.55","5","0","0","0","0","0","221.8","926.7","8.0","50.6","41.7","272.9","1.7","-","-","-","-","-"
"53","Nico Collins","WR","HST","8","WR9","21.1","218.1","15","14.54","5","0","0","0","0","0","0.7","4.0","0.0","116.9","74.6","1059.5","6.2","-","-","-","-","-"
"54","Kyren Williams","RB","LA","11","RB16","32.2","217.7","15","14.51","5","0","0","0","0","0","226.9","1043.2","8.9","38.3","30.6","218.2","1.4","-","-","-","-","-"
"55","David Montgomery","RB","HST","8","RB23","56.3","217.7","15","14.51","5","0","0","0","0","0","263.2","1115.0","8.6","36.7","29.9","218.0","0.7","-","-","-","-","-"
"56","Tee Higgins","WR","CIN","6","WR14","35.5","217.2","15","14.48","5","0","0","0","0","0","-","-","-","107.4","69.9","974.2","8.4","-","-","-","-","-"
"57","George Pickens","WR","DAL","14","WR10","23.1","217.2","14.5","14.98","5","0","0","0","0","0","1.7","9.2","0.1","111.9","74.6","1023.8","6.6","-","-","-","-","-"
"58","Garrett Wilson","WR","NYJ","13","WR16","40.9","217.1","15","14.47","6","0","0","0","0","0","2.4","9.7","0.0","125.7","82.9","966.1","6.2","-","-","-","-","-"
"59","A.J. Brown","WR","NE","11","WR12","30.8","216.4","15","14.43","6","0","0","0","0","0","2.5","13.1","0.1","106.8","70.1","1058.9","6.5","-","-","-","-","-"
"60","Brock Bowers","TE","LV","13","TE2","20.2","214.5","15","14.30","1","0","0","0","0","0","3.6","8.5","0.0","113.1","85.6","916.1","6.1","-","-","-","-","-"
"61","Aaron Rodgers","QB","PIT","9","QB75","999.0","212.3","15","14.15","8","479","313","3136","21.8","8","19.0","68.9","0.4","-","-","-","-","-","-","-","-","-"
"62","DeVonta Smith","WR","PHI","10","WR20","44.9","212.0","15","14.13","6","0","0","0","0","0","-","-","-","118.2","79.3","961.6","6.1","-","-","-","-","-"
"63","Bryce Young","QB","CAR","5","QB26","194.2","211.6","15","14.10","8","462","293","2984","18.9","10","46.0","223.9","1.1","-","-","-","-","-","-","-","-","-"
"64","Zay Flowers","WR","BLT","13","WR19","43.8","211.4","15","14.10","6","0","0","0","0","0","5.6","33.2","0.1","105.7","71.4","1030.0","5.6","-","-","-","-","-"
"65","Bucky Irving","RB","TB","10","RB15","31.6","207.1","14.5","14.28","6","0","0","0","0","0","218.1","908.4","6.4","42.2","35.4","321.1","1.9","-","-","-","-","-"
"66","Quinshon Judkins","RB","CLV","11","RB22","55.0","206.1","15","13.74","6","0","0","0","0","0","271.1","1010.5","7.5","38.3","30.3","239.2","1.1","-","-","-","-","-"
"67","Daniel Jones","QB","IND","13","QB27","195.1","206.0","12","17.17","8","402","266","2883","17.8","9","42.8","162.2","2.3","-","-","-","-","-","-","-","-","-"
"68","Davante Adams","WR","LA","11","WR23","46.9","205.9","15","13.73","6","0","0","0","0","0","-","-","-","117.3","69.6","874.4","8.2","-","-","-","-","-"
"69","D'Andre Swift","RB","CHI","10","RB25","65.1","202.9","15","13.53","6","0","0","0","0","0","206.4","956.4","7.0","39.7","31.8","261.1","1.4","-","-","-","-","-"
"70","Trey McBride","TE","ARZ","14","TE1","18.7","201.7","15","13.45","1","0","0","0","0","0","-","-","-","118.7","90.8","775.8","5.6","-","-","-","-","-"
"71","Bhayshul Tuten","RB","JAX","7","RB24","60.4","201.6","15","13.44","6","0","0","0","0","0","235.8","985.5","8.2","34.4","27.3","203.3","1.3","-","-","-","-","-"
"72","Rhamondre Stevenson","RB","NE","11","RB30","82.7","201.1","15","13.40","6","0","0","0","0","0","182.6","791.7","6.5","45.9","38.8","332.7","2.1","-","-","-","-","-"
"73","Ladd McConkey","WR","LAC","7","WR18","41.9","198.2","15","13.22","7","0","0","0","0","0","-","-","-","106.8","70.0","947.7","5.7","-","-","-","-","-"
"74","Terry McLaurin","WR","WAS","7","WR25","56.6","197.7","15","13.18","7","0","0","0","0","0","-","-","-","102.7","65.9","958.6","6.0","-","-","-","-","-"
"75","Jameson Williams","WR","DET","6","WR24","51.6","195.4","15","13.03","7","0","0","0","0","0","6.0","32.4","0.2","88.6","57.2","974.3","6.1","-","-","-","-","-"
"76","Mike Evans","WR","SF","8","WR26","57.8","194.7","15","12.98","7","0","0","0","0","0","-","-","-","98.5","62.1","863.3","7.7","-","-","-","-","-"
"77","Travis Etienne","RB","NO","8","RB18","36.7","194.2","15","12.95","6","0","0","0","0","0","204.1","879.1","6.5","39.3","33.3","261.9","1.5","-","-","-","-","-"
"78","Tony Pollard","RB","TEN","9","RB31","85.6","193.9","15","12.93","6","0","0","0","0","0","220.4","965.7","6.1","42.9","34.9","210.9","1.0","-","-","-","-","-"
"79","Emeka Egbuka","WR","TB","10","WR21","45.8","193.2","15","12.88","7","0","0","0","0","0","1.8","10.1","0.0","113.8","65.7","882.9","6.4","-","-","-","-","-"
"80","Tyler Warren","TE","IND","13","TE4","50.1","192.8","15","12.86","2","0","0","0","0","0","4.7","8.8","0.7","105.3","77.7","798.3","5.1","-","-","-","-","-"
"81","Chuba Hubbard","RB","CAR","5","RB28","74.9","192.4","15","12.83","6","0","0","0","0","0","225.9","864.3","6.7","44.6","37.4","215.7","1.3","-","-","-","-","-"
"82","Jaylen Waddle","WR","DEN","10","WR22","46.2","187.8","15","12.52","7","0","0","0","0","0","1.7","10.2","0.0","104.8","65.9","888.0","5.4","-","-","-","-","-"
"83","Colston Loveland","TE","CHI","10","TE3","41.2","186.0","15","12.40","2","0","0","0","0","0","0.8","3.9","0.0","104.2","73.1","796.2","5.5","-","-","-","-","-"
"84","Christian Watson","WR","GB","11","WR30","68.4","185.5","14","13.25","7","0","0","0","0","0","1.6","8.9","0.1","92.6","57.1","894.8","6.3","-","-","-","-","-"
"85","Tetairoa McMillan","WR","CAR","5","WR15","37.3","185.0","15","12.34","7","0","0","0","0","0","-","-","-","105.5","66.4","858.6","5.5","-","-","-","-","-"
"86","Jaylen Warren","RB","PIT","9","RB27","74.8","184.4","15","12.29","7","0","0","0","0","0","168.8","767.9","5.1","46.1","40.0","287.9","1.5","-","-","-","-","-"
"87","DJ Moore","WR","BUF","7","WR27","59.3","184.1","15","12.27","7","0","0","0","0","0","8.2","48.3","0.2","104.8","67.9","776.6","5.5","-","-","-","-","-"
"88","Brian Thomas Jr.","WR","JAX","7","WR32","69.6","182.5","15","12.17","8","0","0","0","0","0","2.5","15.8","0.2","101.6","63.0","841.4","5.4","-","-","-","-","-"
"89","Parker Washington","WR","JAX","7","WR40","89.1","182.5","15","12.16","8","0","0","0","0","0","5.6","28.7","0.2","100.2","63.4","837.0","5.3","-","-","-","-","-"
"90","Jakobi Meyers","WR","JAX","7","WR39","87.6","182.3","15","12.15","8","0","0","0","0","0","3.5","17.5","0.1","103.3","69.8","817.0","4.8","-","-","-","-","-"
"91","Rome Odunze","WR","CHI","10","WR29","64.2","181.7","15","12.11","8","0","0","0","0","0","-","-","-","109.1","62.0","840.7","6.0","-","-","-","-","-"
"92","DK Metcalf","WR","PIT","9","WR33","74.4","180.4","15","12.03","8","0","0","0","0","0","1.3","7.8","0.0","104.1","64.7","809.4","5.7","-","-","-","-","-"
"93","Michael Pittman","WR","PIT","9","WR45","102.9","180.1","15","12.01","8","0","0","0","0","0","-","-","-","116.6","78.0","723.5","5.0","-","-","-","-","-"
"94","Courtland Sutton","WR","DEN","10","WR36","77.9","176.1","15","11.74","8","0","0","0","0","0","-","-","-","98.2","61.5","798.5","5.9","-","-","-","-","-"
"95","Luther Burden III","WR","CHI","10","WR17","41.1","174.6","15","11.64","8","0","0","0","0","0","6.7","35.3","0.0","94.3","63.2","806.7","4.6","-","-","-","-","-"
"96","TreVeyon Henderson","RB","NE","11","RB20","47.8","172.6","15","11.51","7","0","0","0","0","0","173.3","785.6","5.9","34.2","29.2","231.9","1.1","-","-","-","-","-"
"97","Carnell Tate","WR","TEN","9","WR28","62.9","171.7","15","11.45","8","0","0","0","0","0","-","-","-","105.8","68.2","752.2","4.8","-","-","-","-","-"
"98","Rico Dowdle","RB","PIT","9","RB32","88.1","170.1","15","11.34","7","0","0","0","0","0","176.7","785.1","5.2","38.7","32.4","218.2","1.1","-","-","-","-","-"
"99","Kenny Gainwell","RB","TB","10","RB36","106.9","168.1","15","11.20","8","0","0","0","0","0","138.4","589.2","4.1","52.0","42.6","318.8","1.9","-","-","-","-","-"
"100","Jayden Reed","WR","GB","11","WR48","116.0","167.8","15","11.19","8","0","0","0","0","0","11.8","76.7","0.4","81.1","55.9","734.7","4.7","-","-","-","-","-"
"101","Aaron Jones","RB","MIN","6","RB37","108.8","167.0","14","11.93","8","0","0","0","0","0","163.1","676.2","3.3","50.8","42.4","285.7","1.6","-","-","-","-","-"
"102","Deshaun Watson","QB","CLV","11","QB68","999.0","166.4","12","13.86","9","391","242","2407","14.4","11","42.4","211.2","0.7","-","-","-","-","-","-","-","-","-"
"103","Jordyn Tyson","WR","NO","8","WR31","69.0","165.4","14.5","11.40","9","0","0","0","0","0","-","-","-","101.5","66.4","748.2","4.2","-","-","-","-","-"
"104","Kyle Pitts","TE","ATL","11","TE7","71.3","164.6","15","10.98","3","0","0","0","0","0","-","-","-","93.9","65.4","749.6","4.1","-","-","-","-","-"
"105","Alec Pierce","WR","IND","13","WR38","83.6","163.9","14","11.71","9","0","0","0","0","0","-","-","-","95.0","54.8","813.3","4.7","-","-","-","-","-"
"106","Sam LaPorta","TE","DET","6","TE8","76.4","163.6","14","11.68","3","0","0","0","0","0","-","-","-","81.3","63.2","697.4","5.1","-","-","-","-","-"
"107","Jordan Addison","WR","MIN","6","WR43","100.7","163.6","15","10.91","9","0","0","0","0","0","2.5","16.7","0.1","90.0","57.4","757.5","4.8","-","-","-","-","-"
"108","Travis Kelce","TE","KC","5","TE14","107.1","163.2","15","10.88","3","0","0","0","0","0","-","-","-","88.4","65.9","713.2","4.4","-","-","-","-","-"
"109","Wan'Dale Robinson","WR","TEN","9","WR46","103.0","161.0","15","10.73","9","0","0","0","0","0","2.7","14.2","0.0","100.4","67.3","716.3","3.4","-","-","-","-","-"
"110","Josh Downs","WR","IND","13","WR49","125.1","160.2","15","10.68","9","0","0","0","0","0","1.4","7.0","0.0","94.0","64.5","702.6","4.2","-","-","-","-","-"
"111","Jadarian Price","RB","SEA","11","RB29","80.3","159.3","15","10.62","8","0","0","0","0","0","211.4","917.7","6.2","21.4","17.8","118.2","0.5","-","-","-","-","-"
"112","Quentin Johnston","WR","LAC","7","WR44","102.6","158.7","15","10.58","9","0","0","0","0","0","2.4","11.4","0.1","91.2","57.5","683.2","5.3","-","-","-","-","-"
"113","Harold Fannin Jr.","TE","CLV","11","TE5","62.6","158.1","15","10.54","3","0","0","0","0","0","4.4","12.0","0.2","95.6","68.0","649.7","3.8","-","-","-","-","-"
"114","Chris Godwin Jr.","WR","TB","10","WR41","92.6","157.2","15","10.48","9","0","0","0","0","0","-","-","-","87.7","61.3","710.9","4.2","-","-","-","-","-"
"115","Dallas Goedert","TE","PHI","10","TE15","109.1","157.1","15","10.48","3","0","0","0","0","0","-","-","-","82.4","63.1","662.3","4.7","-","-","-","-","-"
"116","Romeo Doubs","WR","NE","11","WR47","115.3","155.2","15","10.35","9","0","0","0","0","0","-","-","-","77.7","52.6","742.4","4.8","-","-","-","-","-"
"117","Fernando Mendoza","QB","LV","13","QB25","169.5","155.1","10","15.51","9","324","206","2230","13.2","7","32.7","146.4","1.3","-","-","-","-","-","-","-","-","-"
"118","Jake Ferguson","TE","DAL","14","TE12","104.0","154.5","15","10.30","3","0","0","0","0","0","-","-","-","78.9","62.1","603.6","5.4","-","-","-","-","-"
"119","Marvin Harrison Jr.","WR","ARZ","14","WR34","75.8","154.2","15","10.28","4","0","0","0","0","0","-","-","-","99.9","58.8","691.6","4.4","-","-","-","-","-"
"120","Makai Lemon","WR","PHI","10","WR35","76.6","152.8","15","10.18","9","0","0","0","0","0","-","-","-","88.4","58.7","695.4","4.2","-","-","-","-","-"
"121","Malik Nabers","WR","NYG","8","WR8","19.2","151.4","11","13.77","9","0","0","0","0","0","-","-","-","88.8","56.3","678.5","4.6","-","-","-","-","-"
"122","Mark Andrews","TE","BLT","13","TE16","110.7","151.4","15","10.09","3","0","0","0","0","0","3.8","6.1","0.2","77.4","57.1","591.0","5.7","-","-","-","-","-"
"123","Tucker Kraft","TE","GB","11","TE6","67.3","150.0","14","10.71","3","0","0","0","0","0","1.9","5.4","0.0","74.0","56.3","624.7","5.2","-","-","-","-","-"
"124","Cooper Kupp","WR","SEA","11","WR93","235.2","148.6","15","9.90","10","0","0","0","0","0","0.2","0.5","0.0","78.0","54.0","737.9","3.5","-","-","-","-","-"
"125","Michael Wilson","WR","ARZ","14","WR37","80.2","147.2","15","9.81","10","0","0","0","0","0","-","-","-","91.9","57.2","661.6","4.0","-","-","-","-","-"
"126","Xavier Worthy","WR","KC","5","WR53","134.9","147.0","15","9.80","10","0","0","0","0","0","12.8","73.6","0.4","81.9","51.3","606.6","4.2","-","-","-","-","-"
"127","Brenton Strange","TE","JAX","7","TE19","128.8","146.2","15","9.75","4","0","0","0","0","0","-","-","-","78.1","59.1","625.2","4.1","-","-","-","-","-"
"128","RJ Harvey","RB","DEN","10","RB26","68.4","144.0","15","9.60","9","0","0","0","0","0","120.1","471.3","3.5","53.9","44.5","234.2","1.5","-","-","-","-","-"
"129","Rachaad White","RB","WAS","7","RB41","127.2","142.9","15","9.53","9","0","0","0","0","0","134.1","540.8","4.2","37.2","33.3","238.0","1.2","-","-","-","-","-"
"130","Stefon Diggs","WR","FA","","-","845.0","142.1","15","9.48","10","0","0","0","0","0","-","-","-","79.2","54.6","651.2","3.8","-","-","-","-","-"
"131","Jayden Higgins","WR","HST","8","WR50","131.1","141.7","15","9.45","10","0","0","0","0","0","-","-","-","83.4","53.2","645.2","4.0","-","-","-","-","-"
"132","Khalil Shakir","WR","BUF","7","WR51","133.8","141.5","15","9.44","10","0","0","0","0","0","0.7","3.9","0.0","74.9","56.1","632.8","3.7","-","-","-","-","-"
"133","Blake Corum","RB","LA","11","RB35","98.3","140.6","15","9.38","9","0","0","0","0","0","164.6","759.7","6.3","17.5","13.8","100.1","0.6","-","-","-","-","-"
"134","Isaiah Likely","TE","NYG","8","TE17","117.3","140.2","15","9.35","4","0","0","0","0","0","-","-","-","78.7","58.3","607.1","3.6","-","-","-","-","-"
"135","Kyle Monangai","RB","CHI","10","RB33","89.5","140.0","15","9.33","9","0","0","0","0","0","155.0","668.2","4.9","27.4","20.5","184.0","0.9","-","-","-","-","-"
"136","Isiah Pacheco","RB","DET","6","RB55","167.2","139.2","15","9.28","9","0","0","0","0","0","148.3","651.2","6.0","25.2","20.9","127.8","0.8","-","-","-","-","-"
"137","Deebo Samuel Sr.","WR","FA","","-","880.0","139.1","15","9.28","10","0","0","0","0","0","15.3","68.6","0.5","72.3","50.2","602.3","3.2","-","-","-","-","-"
"138","Ricky Pearsall","WR","SF","8","WR42","99.8","137.4","15","9.16","10","0","0","0","0","0","2.6","12.6","0.0","74.2","47.5","672.2","3.6","-","-","-","-","-"
"139","Hunter Henry","TE","NE","11","TE13","106.2","136.9","15","9.13","4","0","0","0","0","0","-","-","-","69.6","52.0","576.1","4.6","-","-","-","-","-"
"140","Dalton Schultz","TE","HST","8","TE21","137.0","136.5","15","9.10","4","0","0","0","0","0","-","-","-","76.2","57.3","581.2","3.6","-","-","-","-","-"
"141","Dalton Kincaid","TE","BUF","7","TE10","97.1","134.2","14.5","9.26","4","0","0","0","0","0","-","-","-","69.1","52.0","574.3","4.2","-","-","-","-","-"
"142","Pat Freiermuth","TE","PIT","9","TE134","999.0","133.7","15","8.91","4","0","0","0","0","0","-","-","-","73.3","55.5","544.2","4.0","-","-","-","-","-"
"143","Jerry Jeudy","WR","CLV","11","WR64","173.5","133.6","15","8.90","10","0","0","0","0","0","0.6","3.4","0.0","88.5","52.9","589.0","3.6","-","-","-","-","-"
"144","Juwan Johnson","TE","NO","8","TE20","135.3","133.3","15","8.88","4","0","0","0","0","0","-","-","-","72.2","54.5","601.1","3.2","-","-","-","-","-"
"145","Matthew Golden","WR","GB","11","WR52","134.1","132.6","15","8.84","11","0","0","0","0","0","7.0","36.4","0.1","68.3","43.9","615.7","3.9","-","-","-","-","-"
"146","Kenyon Sadiq","TE","NYJ","13","TE18","118.2","131.5","15","8.77","4","0","0","0","0","0","-","-","-","75.3","57.1","541.9","3.5","-","-","-","-","-"
"147","T.J. Hockenson","TE","MIN","6","TE22","141.2","131.3","15","8.75","4","0","0","0","0","0","-","-","-","74.9","57.4","518.9","3.7","-","-","-","-","-"
"148","George Kittle","TE","SF","8","TE11","97.4","131.0","11.5","11.39","5","0","0","0","0","0","0.6","1.9","0.0","62.1","48.2","538.9","4.8","-","-","-","-","-"
"149","Jauan Jennings","WR","MIN","6","WR56","146.3","130.5","15","8.70","11","0","0","0","0","0","-","-","-","72.9","47.6","608.0","3.7","-","-","-","-","-"
"150","Ryan Flournoy","WR","DAL","14","WR84","227.6","129.8","15","8.65","11","0","0","0","0","0","2.6","14.5","0.0","64.7","44.1","610.2","3.9","-","-","-","-","-"
"151","Jalen McMillan","WR","TB","10","WR61","163.7","129.7","14","9.27","11","0","0","0","0","0","2.4","13.2","0.0","69.1","43.7","594.1","4.2","-","-","-","-","-"
"152","KC Concepcion","WR","CLV","11","WR55","143.2","128.6","15","8.57","11","0","0","0","0","0","-","-","-","84.2","52.5","563.8","3.4","-","-","-","-","-"
"153","Tre Tucker","WR","LV","13","WR76","207.2","127.5","15","8.50","11","0","0","0","0","0","7.5","43.6","0.2","67.2","41.3","596.0","3.5","-","-","-","-","-"
"154","Tua Tagovailoa","QB","ATL","11","QB32","236.5","127.3","9","14.14","10","295","193","2034","11.9","9","20.6","60.7","0.4","-","-","-","-","-","-","-","-","-"
"155","Jalen Nailor","WR","LV","13","WR62","166.5","127.2","15","8.48","11","0","0","0","0","0","2.4","12.4","0.0","70.9","44.6","599.0","3.6","-","-","-","-","-"
"156","Omar Cooper Jr.","WR","NYJ","13","WR58","149.3","125.9","15","8.39","11","0","0","0","0","0","-","-","-","70.9","46.4","583.5","3.6","-","-","-","-","-"
"157","Jalen Coker","WR","CAR","5","WR54","136.3","125.7","14","8.98","11","0","0","0","0","0","-","-","-","73.8","49.9","585.5","2.9","-","-","-","-","-"
"158","Cade Otton","TE","TB","10","TE26","162.7","125.1","15","8.34","5","0","0","0","0","0","-","-","-","76.6","55.6","487.2","3.5","-","-","-","-","-"
